"","S6785","S6791","S6793","S6795","S6796","S6797","S6798","S6806","S6816","S6821","S6835","S6836","S6861","S6862","S6866","S6867","S6872","S6931","S6955","S7041","S7054"
"S6785",1,0.999959026514396,0.999915884364372,0.999971393850626,0.999915884364372,0.999915884364372,0.999945927818378,0.999914211875323,0.999814029926256,0.999783188307192,0.999685660747868,0.999635158722311,0.999397682957068,0.999397682957068,0.999356315648309,0.999356315648309,0.999256854577027,0.998538136364276,0.998538136364276,0.998631241732178,0.997948103022637
"S6791",0.999959026514396,1,0.999972409096432,0.999958920699281,0.999972409096432,0.999972409096432,0.999958243639596,0.99993054891906,0.999843013125208,0.999814285467874,0.999745703899931,0.999718884794851,0.999504581529708,0.999504581529708,0.999513078497551,0.999513078497551,0.99938424606708,0.998702536492515,0.998702536492515,0.998742520652025,0.99808788516139
"S6793",0.999915884364372,0.999972409096432,1,0.999956231268629,1,1,0.999954174234294,0.999947164004151,0.999862763162893,0.999876922813252,0.999816076912214,0.999798504035965,0.999603951739991,0.999603951739991,0.999604781475235,0.999604781475235,0.999506916918872,0.99888661527409,0.99888661527409,0.998902351350035,0.998302151954229
"S6795",0.999971393850626,0.999958920699281,0.999956231268629,1,0.999956231268629,0.999956231268629,0.999961695165913,0.99995141397622,0.999878514702741,0.999875439746992,0.999784655922924,0.999721594251586,0.999504112503581,0.999504112503581,0.999454644736164,0.999454644736164,0.99936693561868,0.99868830186285,0.99868830186285,0.99876122117843,0.998137024686073
"S6796",0.999915884364372,0.999972409096432,1,0.999956231268629,1,1,0.999954174234294,0.999947164004151,0.999862763162893,0.999876922813252,0.999816076912214,0.999798504035965,0.999603951739991,0.999603951739991,0.999604781475235,0.999604781475235,0.999506916918872,0.99888661527409,0.99888661527409,0.998902351350035,0.998302151954229
"S6797",0.999915884364372,0.999972409096432,1,0.999956231268629,1,1,0.999954174234294,0.999947164004151,0.999862763162893,0.999876922813252,0.999816076912214,0.999798504035965,0.999603951739991,0.999603951739991,0.999604781475235,0.999604781475235,0.999506916918872,0.99888661527409,0.99888661527409,0.998902351350035,0.998302151954229
"S6798",0.999945927818378,0.999958243639596,0.999954174234294,0.999961695165913,0.999954174234294,0.999954174234294,1,0.999953373584596,0.999903557243904,0.999903756308838,0.999806598533627,0.999795794302834,0.999600038972397,0.999600038972397,0.999570168128419,0.999570168128419,0.999498166511543,0.998886155112345,0.998886155112345,0.998947207348547,0.998311877439861
"S6806",0.999914211875323,0.99993054891906,0.999947164004151,0.99995141397622,0.999947164004151,0.999947164004151,0.999953373584596,1,0.99991284148219,0.999945208525939,0.999875928317568,0.999863393125615,0.999681720028425,0.999681720028425,0.999653835144439,0.999653835144439,0.999565974033445,0.998999600378663,0.998999600378663,0.999028780012458,0.998462414124744
"S6816",0.999814029926256,0.999843013125208,0.999862763162893,0.999878514702741,0.999862763162893,0.999862763162893,0.999903557243904,0.99991284148219,1,0.999956907640305,0.99995493736447,0.999911401991319,0.999808528455662,0.999808528455662,0.999754132544583,0.999754132544583,0.999717175864328,0.999154818204995,0.999154818204995,0.999279476647243,0.998736647547908
"S6821",0.999783188307192,0.999814285467874,0.999876922813252,0.999875439746992,0.999876922813252,0.999876922813252,0.999903756308838,0.999945208525939,0.999956907640305,1,0.999951556918478,0.999934656498739,0.999809817891782,0.999809817891782,0.999750429823651,0.999750429823651,0.999726382418226,0.99923814206408,0.99923814206408,0.999297926447645,0.998797029544675
"S6835",0.999685660747868,0.999745703899931,0.999816076912214,0.999784655922924,0.999816076912214,0.999816076912214,0.999806598533627,0.999875928317568,0.99995493736447,0.999951556918478,1,0.9999542227562,0.999867716365253,0.999867716365253,0.999825658137409,0.999825658137409,0.999809483777599,0.999315145843781,0.999315145843781,0.999393038307239,0.998916052699168
"S6836",0.999635158722311,0.999718884794851,0.999798504035965,0.999721594251586,0.999798504035965,0.999798504035965,0.999795794302834,0.999863393125615,0.999911401991319,0.999934656498739,0.9999542227562,1,0.999951591546552,0.999951591546552,0.999934112049583,0.999934112049583,0.999906058839228,0.999514218483298,0.999514218483298,0.999556181130436,0.999105945056082
"S6861",0.999397682957068,0.999504581529708,0.999603951739991,0.999504112503581,0.999603951739991,0.999603951739991,0.999600038972397,0.999681720028425,0.999808528455662,0.999809817891782,0.999867716365253,0.999951591546552,1,1,0.999972774547571,0.999972774547571,0.999975369445049,0.999706883476161,0.999706883476161,0.999766877670464,0.999417662056162
"S6862",0.999397682957068,0.999504581529708,0.999603951739991,0.999504112503581,0.999603951739991,0.999603951739991,0.999600038972397,0.999681720028425,0.999808528455662,0.999809817891782,0.999867716365253,0.999951591546552,1,1,0.999972774547571,0.999972774547571,0.999975369445049,0.999706883476161,0.999706883476161,0.999766877670464,0.999417662056162
"S6866",0.999356315648309,0.999513078497551,0.999604781475235,0.999454644736164,0.999604781475235,0.999604781475235,0.999570168128419,0.999653835144439,0.999754132544583,0.999750429823651,0.999825658137409,0.999934112049583,0.999972774547571,0.999972774547571,1,1,0.999951935151276,0.999661650226704,0.999661650226704,0.999679142649988,0.999296664601563
"S6867",0.999356315648309,0.999513078497551,0.999604781475235,0.999454644736164,0.999604781475235,0.999604781475235,0.999570168128419,0.999653835144439,0.999754132544583,0.999750429823651,0.999825658137409,0.999934112049583,0.999972774547571,0.999972774547571,1,1,0.999951935151276,0.999661650226704,0.999661650226704,0.999679142649988,0.999296664601563
"S6872",0.999256854577027,0.99938424606708,0.999506916918872,0.99936693561868,0.999506916918872,0.999506916918872,0.999498166511543,0.999565974033445,0.999717175864328,0.999726382418226,0.999809483777599,0.999906058839228,0.999975369445049,0.999975369445049,0.999951935151276,0.999951935151276,1,0.999795537624989,0.999795537624989,0.999845112982879,0.999525498218347
"S6931",0.998538136364276,0.998702536492515,0.99888661527409,0.99868830186285,0.99888661527409,0.99888661527409,0.998886155112345,0.998999600378663,0.999154818204995,0.99923814206408,0.999315145843781,0.999514218483298,0.999706883476161,0.999706883476161,0.999661650226704,0.999661650226704,0.999795537624989,1,1,0.999921115107494,0.999875118469975
"S6955",0.998538136364276,0.998702536492515,0.99888661527409,0.99868830186285,0.99888661527409,0.99888661527409,0.998886155112345,0.998999600378663,0.999154818204995,0.99923814206408,0.999315145843781,0.999514218483298,0.999706883476161,0.999706883476161,0.999661650226704,0.999661650226704,0.999795537624989,1,1,0.999921115107494,0.999875118469975
"S7041",0.998631241732178,0.998742520652025,0.998902351350035,0.99876122117843,0.998902351350035,0.998902351350035,0.998947207348547,0.999028780012458,0.999279476647243,0.999297926447645,0.999393038307239,0.999556181130436,0.999766877670464,0.999766877670464,0.999679142649988,0.999679142649988,0.999845112982879,0.999921115107494,0.999921115107494,1,0.999876456550657
"S7054",0.997948103022637,0.99808788516139,0.998302151954229,0.998137024686073,0.998302151954229,0.998302151954229,0.998311877439861,0.998462414124744,0.998736647547908,0.998797029544675,0.998916052699168,0.999105945056082,0.999417662056162,0.999417662056162,0.999296664601563,0.999296664601563,0.999525498218347,0.999875118469975,0.999875118469975,0.999876456550657,1
