"","S7300","S7303","S7304","S7305","S7323","S7328","S7329","S7332","S7346","S7347","S7350","S7352"
"S7300",1,-0.140077559973759,-0.427772150589592,-0.12716038250881,0.420840108086884,0.481071057707353,0.145386639858069,0.113500585200334,0.486639091000453,-0.212381199267893,0.178655322061641,0.225371819645092
"S7303",-0.140077559973759,1,0.379623043518503,0.5349117750887,0.256071555658144,0.219494575312743,0.385080857384412,0.265179225952129,-0.205974016039351,-0.160931747563188,-0.352001271186299,-0.273896594893522
"S7304",-0.427772150589592,0.379623043518503,1,-0.0556357177210213,0.0593824064369525,0.27275124562485,0.639509922695769,0.325698932946368,-0.0570468463760763,0.086741551204671,0.214511005601666,0.382621285954753
"S7305",-0.12716038250881,0.5349117750887,-0.0556357177210213,1,0.202460613031096,-0.228246575677884,-0.166229364409631,0.231018714965761,-0.0943162971722269,-0.0150264537161935,-0.288872367693459,-0.0431264917313419
"S7323",0.420840108086884,0.256071555658144,0.0593824064369525,0.202460613031096,1,0.711225158158205,0.236116686642648,0.70433627805766,0.68164675206794,-0.241154391038312,0.452444528969139,-0.108721509610172
"S7328",0.481071057707353,0.219494575312743,0.27275124562485,-0.228246575677884,0.711225158158205,1,0.677634703458188,0.418676019850809,0.562115350669159,-0.453492585670048,0.595408560047577,0.148141954217425
"S7329",0.145386639858069,0.385080857384412,0.639509922695769,-0.166229364409631,0.236116686642648,0.677634703458188,1,-0.0193677795640698,0.0284090738238894,-0.579130726618403,0.140821848552004,0.361241409472881
"S7332",0.113500585200334,0.265179225952129,0.325698932946368,0.231018714965761,0.70433627805766,0.418676019850809,-0.0193677795640698,1,0.718694519834961,0.343411591412873,0.452566188869996,0.140630843440672
"S7346",0.486639091000453,-0.205974016039351,-0.0570468463760763,-0.0943162971722269,0.68164675206794,0.562115350669159,0.0284090738238894,0.718694519834961,1,-0.0290035179720881,0.506364258924659,0.327477726257014
"S7347",-0.212381199267893,-0.160931747563188,0.086741551204671,-0.0150264537161935,-0.241154391038312,-0.453492585670048,-0.579130726618403,0.343411591412873,-0.0290035179720881,1,0.132541094178345,0.0463697277482348
"S7350",0.178655322061641,-0.352001271186299,0.214511005601666,-0.288872367693459,0.452444528969139,0.595408560047577,0.140821848552004,0.452566188869996,0.506364258924659,0.132541094178345,1,0.283887763647595
"S7352",0.225371819645092,-0.273896594893522,0.382621285954753,-0.0431264917313419,-0.108721509610172,0.148141954217425,0.361241409472881,0.140630843440672,0.327477726257014,0.0463697277482348,0.283887763647595,1
