"","S10089","S10329","S10459","S8637","S8762","S8891","S9167","S9315","S9449","S9583","S9721","S9965"
"S10089",1,0.992883613542951,0.993695508742194,0.31137129367758,0.993875344169064,0.982727421046896,NA,0.982846246464739,0.405147319786847,0.188376818738859,0.318894464254615,-0.276167220185324
"S10329",0.992883613542951,1,0.999895470799428,0.291909875467766,0.999853052265353,0.996869951240021,NA,0.996430628186963,0.373411641214137,0.179275856754093,0.292146219062023,-0.311365923763902
"S10459",0.993695508742194,0.999895470799428,1,0.289826414175411,0.999996179907693,0.995884944071457,NA,0.996161956678012,0.379061665186127,0.178258437956513,0.296674263403941,-0.304209390610251
"S8637",0.31137129367758,0.291909875467766,0.289826414175411,1,0.289655280860732,0.266656655242185,NA,0.243119679795139,0.0556901319508519,0.941207515954548,0.632188010730733,0.2718801483434
"S8762",0.993875344169064,0.999853052265353,0.999996179907693,0.289655280860732,1,0.995668766802927,NA,0.996073787923029,0.380106569959223,0.178184374846733,0.29765412363152,-0.302917813581649
"S8891",0.982727421046896,0.996869951240021,0.995884944071457,0.266656655242185,0.995668766802927,1,NA,0.997986900832697,0.34040144538189,0.154945077726881,0.259287505998728,-0.361012231672014
"S9167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S9315",0.982846246464739,0.996430628186963,0.996161956678012,0.243119679795139,0.996073787923029,0.997986900832697,NA,1,0.353746155087834,0.139540696527639,0.276021765694369,-0.338074735866254
"S9449",0.405147319786847,0.373411641214137,0.379061665186127,0.0556901319508519,0.380106569959223,0.34040144538189,NA,0.353746155087834,1,-0.0402505116319774,-0.180020574955774,-0.125852645376467
"S9583",0.188376818738859,0.179275856754093,0.178258437956513,0.941207515954548,0.178184374846733,0.154945077726881,NA,0.139540696527639,-0.0402505116319774,1,0.618318527680224,0.30863890976268
"S9721",0.318894464254615,0.292146219062023,0.296674263403941,0.632188010730733,0.29765412363152,0.259287505998728,NA,0.276021765694369,-0.180020574955774,0.618318527680224,1,0.646694735926274
"S9965",-0.276167220185324,-0.311365923763902,-0.304209390610251,0.2718801483434,-0.302917813581649,-0.361012231672014,NA,-0.338074735866254,-0.125852645376467,0.30863890976268,0.646694735926274,1
