"","S1283","S1362","S374","S439","S553","S560","S592","S609","S660","S969"
"S1283",1,0.905977393075956,0.431291629821163,0.668543693337951,0.488908726292132,0.747810155505624,0.803426084063818,0.824726078564398,0.642070792016569,0.694260562220611
"S1362",0.905977393075956,1,0.276741601301943,0.515375688335399,0.320555952139707,0.612968052499007,0.619788281397975,0.685119423150593,0.553294007973391,0.558983837433211
"S374",0.431291629821163,0.276741601301943,1,0.938079801720394,0.96645608571663,0.878352143438668,0.783533045782734,0.766872281137631,0.378975769378349,0.9235801855362
"S439",0.668543693337951,0.515375688335399,0.938079801720394,1,0.92023674814218,0.981105762214509,0.93535662521097,0.924200763157627,0.54221877042466,0.963466723350636
"S553",0.488908726292132,0.320555952139707,0.96645608571663,0.92023674814218,1,0.890233005337368,0.80806717145237,0.795557088637281,0.410722737970927,0.952978513602483
"S560",0.747810155505624,0.612968052499007,0.878352143438668,0.981105762214509,0.890233005337368,1,0.971112851055205,0.970135411084317,0.572557471264368,0.970166520685548
"S592",0.803426084063818,0.619788281397975,0.783533045782734,0.93535662521097,0.80806717145237,0.971112851055205,1,0.990241380963303,0.668366908884058,0.917852674289179
"S609",0.824726078564398,0.685119423150593,0.766872281137631,0.924200763157627,0.795557088637281,0.970135411084317,0.990241380963303,1,0.706555508095836,0.924743391335368
"S660",0.642070792016569,0.553294007973391,0.378975769378349,0.54221877042466,0.410722737970927,0.572557471264368,0.668366908884058,0.706555508095836,1,0.556783407955326
"S969",0.694260562220611,0.558983837433211,0.9235801855362,0.963466723350636,0.952978513602483,0.970166520685548,0.917852674289179,0.924743391335368,0.556783407955326,1
