"","S1559","S1581","S1587","S1598","S1619","S1674","S417","S469","S491","S517","S561","S591","S666","S678"
"S1559",1,0.999547507317299,0.999485376224512,0.999448463620751,0.999448463620751,0.999690013921223,0.997770841603182,0.998079395316483,0.998079395316483,0.998228115809689,0.998228115809689,0.998228115809689,0.998118957597045,0.99836143997305
"S1581",0.999547507317299,1,0.999835920690561,0.999847553867787,0.999847553867787,0.999038377968105,0.996427370086024,0.996608439342733,0.996608439342733,0.997056434380146,0.997056434380146,0.997056434380146,0.996861610278602,0.997152458120434
"S1587",0.999485376224512,0.999835920690561,1,0.999915961399846,0.999915961399846,0.998903503052933,0.996946345380892,0.996900134353469,0.996900134353469,0.99741080914137,0.99741080914137,0.99741080914137,0.997106841777119,0.997545272927713
"S1598",0.999448463620751,0.999847553867787,0.999915961399846,1,1,0.998989871521457,0.99638427859296,0.996443675688096,0.996443675688096,0.996894827268059,0.996894827268059,0.996894827268059,0.996590067976619,0.997041472721252
"S1619",0.999448463620751,0.999847553867787,0.999915961399846,1,1,0.998989871521457,0.99638427859296,0.996443675688096,0.996443675688096,0.996894827268059,0.996894827268059,0.996894827268059,0.996590067976619,0.997041472721252
"S1674",0.999690013921223,0.999038377968105,0.998903503052933,0.998989871521457,0.998989871521457,1,0.998025574538731,0.998403007830684,0.998403007830684,0.998400218634867,0.998400218634867,0.998400218634867,0.998321496285832,0.998368263332447
"S417",0.997770841603182,0.996427370086024,0.996946345380892,0.99638427859296,0.99638427859296,0.998025574538731,1,0.999870495563584,0.999870495563584,0.999921887719817,0.999921887719817,0.999921887719817,0.999854231685632,0.999880709261233
"S469",0.998079395316483,0.996608439342733,0.996900134353469,0.996443675688096,0.996443675688096,0.998403007830684,0.999870495563584,1,1,0.999900318604445,0.999900318604445,0.999900318604445,0.999929526648249,0.999861587679002
"S491",0.998079395316483,0.996608439342733,0.996900134353469,0.996443675688096,0.996443675688096,0.998403007830684,0.999870495563584,1,1,0.999900318604445,0.999900318604445,0.999900318604445,0.999929526648249,0.999861587679002
"S517",0.998228115809689,0.997056434380146,0.99741080914137,0.996894827268059,0.996894827268059,0.998400218634867,0.999921887719817,0.999900318604445,0.999900318604445,1,1,1,0.999965701423417,0.999921727889289
"S561",0.998228115809689,0.997056434380146,0.99741080914137,0.996894827268059,0.996894827268059,0.998400218634867,0.999921887719817,0.999900318604445,0.999900318604445,1,1,1,0.999965701423417,0.999921727889289
"S591",0.998228115809689,0.997056434380146,0.99741080914137,0.996894827268059,0.996894827268059,0.998400218634867,0.999921887719817,0.999900318604445,0.999900318604445,1,1,1,0.999965701423417,0.999921727889289
"S666",0.998118957597045,0.996861610278602,0.997106841777119,0.996590067976619,0.996590067976619,0.998321496285832,0.999854231685632,0.999929526648249,0.999929526648249,0.999965701423417,0.999965701423417,0.999965701423417,1,0.999886251856919
"S678",0.99836143997305,0.997152458120434,0.997545272927713,0.997041472721252,0.997041472721252,0.998368263332447,0.999880709261233,0.999861587679002,0.999861587679002,0.999921727889289,0.999921727889289,0.999921727889289,0.999886251856919,1
