"","S1112","S1265","S1355","S1387","S1392","S1414","S1416"
"S1112",1,0.922020671623606,0.892754674306177,0.915445196571184,0.931551082245174,0.92474878659284,0.92474878659284
"S1265",0.922020671623606,1,0.937224355530507,0.99870776039918,0.996405492682915,0.995715783296399,0.995715783296399
"S1355",0.892754674306177,0.937224355530507,1,0.939460673093623,0.949099384499692,0.948329267779942,0.948329267779942
"S1387",0.915445196571184,0.99870776039918,0.939460673093623,1,0.996305088568632,0.996291810053882,0.996291810053882
"S1392",0.931551082245174,0.996405492682915,0.949099384499692,0.996305088568632,1,0.999075461630171,0.999075461630171
"S1414",0.92474878659284,0.995715783296399,0.948329267779942,0.996291810053882,0.999075461630171,1,1
"S1416",0.92474878659284,0.995715783296399,0.948329267779942,0.996291810053882,0.999075461630171,1,1
