"","S10015","S10038","S11887","S11924","S11928","S12211","S12290","S12298","S12306","S12317"
"S10015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S10038",NA,1,0.682027325997475,0.341253171042624,NA,0.974755230461565,0.982630900428075,NA,0.987768010719556,0.98255468487554
"S11887",NA,0.682027325997475,1,0.346410161513775,NA,0.752574854693604,0.737937104742989,NA,0.726609847199444,0.736946997348518
"S11924",NA,0.341253171042624,0.346410161513775,1,NA,0.381977402147425,0.351948755695822,NA,0.374284889226652,0.352863879450066
"S11928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S12211",NA,0.974755230461565,0.752574854693604,0.381977402147425,NA,1,0.997079487343617,NA,0.995497381863095,0.997129771262289
"S12290",NA,0.982630900428075,0.737937104742989,0.351948755695822,NA,0.997079487343617,1,NA,0.998846699310221,0.999993008365716
"S12298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S12306",NA,0.987768010719556,0.726609847199444,0.374284889226652,NA,0.995497381863095,0.998846699310221,NA,1,0.998897149073999
"S12317",NA,0.98255468487554,0.736946997348518,0.352863879450066,NA,0.997129771262289,0.999993008365716,NA,0.998897149073999,1
