"","S2805","S2867","S2896","S2966","S2976","S3039","S3090","S3103","S3109","S3115","S3149","S3151","S3154","S3165","S3176","S3191","S3217","S3224","S3253","S3269","S3271","S3282","S3338","S3346","S3410"
"S2805",1,0.988820226019318,0.948947707945609,0.891229052741241,0.979950661826014,0.867262350746549,0.880820895195731,0.865253597888597,0.865253597888597,0.865253597888597,0.986117786209514,0.985387353034416,0.986117786209514,0.930325725543809,0.990123143265744,0.990600085199184,0.751301424621879,0.99467234149677,0.0455250310348486,0.842951238696718,0.947705741079034,0.960727339533172,0.581582178899832,0.95176906535507,0.842626135179817
"S2867",0.988820226019318,1,0.955331369644506,0.911548005996639,0.974483175478783,0.891652788280803,0.892413957111319,0.8880994044812,0.8880994044812,0.8880994044812,0.961705952267097,0.960278327673908,0.961705952267097,0.893133003198553,0.96847308177878,0.968518351423609,0.79225694206417,0.985274074688664,0.12791422301906,0.843973830148673,0.964529038020225,0.944774438921096,0.578803741363063,0.93131589780192,0.804638046684589
"S2896",0.948947707945609,0.955331369644506,1,0.985683000654657,0.906456422158522,0.975155545878259,0.850308194702896,0.973409614693257,0.973409614693257,0.973409614693257,0.908195937525586,0.906998096684602,0.908195937525586,0.836424868980334,0.917790124382889,0.92171252567369,0.900478384758424,0.932978206280559,0.180882738844905,0.846117217950542,0.990004036540187,0.96183820470469,0.555903096847877,0.965034760057053,0.838388846360557
"S2966",0.891229052741241,0.911548005996639,0.985683000654657,1,0.837151308137972,0.997794199324173,0.802232794664723,0.997253548398371,0.997253548398371,0.997253548398371,0.832805522306879,0.831035066976081,0.832805522306879,0.738409736056521,0.847196864154703,0.849413895763552,0.957958792241223,0.869870273597908,0.249192100563873,0.80578886053243,0.974091441069971,0.917281348049769,0.508813325164082,0.925588430589912,0.790904678058036
"S2976",0.979950661826014,0.974483175478783,0.906456422158522,0.837151308137972,1,0.812230874443774,0.842150660098375,0.810389744697133,0.810389744697133,0.810389744697133,0.978344209152525,0.977176244179683,0.978344209152525,0.946731971715433,0.981710091832137,0.978474138825452,0.68523891435413,0.989256919943565,-0.0270949811526342,0.778643955989105,0.930195188606495,0.907639199577712,0.476770484445547,0.893999993187352,0.80719185248219
"S3039",0.867262350746549,0.891652788280803,0.975155545878259,0.997794199324173,0.812230874443774,1,0.774738904646123,0.999571800982839,0.999571800982839,0.999571800982839,0.805640351318046,0.803735715373603,0.805640351318046,0.705799660591753,0.821238573413885,0.821611925796873,0.969886962076198,0.847066209976321,0.282640892076957,0.786598160414769,0.964061172071336,0.899121572734931,0.479056907454651,0.908560043758715,0.766908163453601
"S3090",0.880820895195731,0.892413957111319,0.850308194702896,0.802232794664723,0.842150660098375,0.774738904646123,1,0.767097499851211,0.767097499851211,0.767097499851211,0.886870872284819,0.887097783458925,0.886870872284819,0.828576077828514,0.883430977064684,0.897230110854315,0.643689786458946,0.878996498087253,0.261177309130377,0.961677478010227,0.834811032525766,0.903283142653629,0.819214778224812,0.89294721348003,0.788625076539725
"S3103",0.865253597888597,0.8880994044812,0.973409614693257,0.997253548398371,0.810389744697133,0.999571800982839,0.767097499851211,1,1,1,0.803860813700078,0.80192476978724,0.803860813700078,0.701716386573743,0.820037234523877,0.819568849706583,0.971983904781308,0.84451035950506,0.266557302358692,0.776498256844618,0.962586483752312,0.894270726668322,0.463476430318501,0.905759282558711,0.768743624225202
"S3109",0.865253597888597,0.8880994044812,0.973409614693257,0.997253548398371,0.810389744697133,0.999571800982839,0.767097499851211,1,1,1,0.803860813700078,0.80192476978724,0.803860813700078,0.701716386573743,0.820037234523877,0.819568849706583,0.971983904781308,0.84451035950506,0.266557302358692,0.776498256844618,0.962586483752312,0.894270726668322,0.463476430318501,0.905759282558711,0.768743624225202
"S3115",0.865253597888597,0.8880994044812,0.973409614693257,0.997253548398371,0.810389744697133,0.999571800982839,0.767097499851211,1,1,1,0.803860813700078,0.80192476978724,0.803860813700078,0.701716386573743,0.820037234523877,0.819568849706583,0.971983904781308,0.84451035950506,0.266557302358692,0.776498256844618,0.962586483752312,0.894270726668322,0.463476430318501,0.905759282558711,0.768743624225202
