"","S1468","S1481","S1548","S1578","S3412","S3440","S5166","S5193","S5212","S5448","S5449","S5471","S5472","S5490","S5546"
"S1468",1,0.990216885233665,0.999680887679131,0.998661529240238,0.847587544313669,0.829394100002188,0.882118613455997,0.805507459760692,0.828082492644455,0.975696655791832,0.961586108945926,0.958952973718847,0.946700180102142,0.940689454605544,0.949432971321883
"S1481",0.990216885233665,1,0.988547773186029,0.993673865320389,0.905549650941734,0.894697794952994,0.921852241402359,0.87236948831763,0.875393947946539,0.995436273740989,0.987610390622757,0.98431151045773,0.977897098779951,0.974753727449136,0.974361308243586
"S1548",0.999680887679131,0.988547773186029,1,0.998442014740668,0.839926435109881,0.822043755626063,0.874298761606816,0.797181088950965,0.818575596415031,0.972847011426241,0.957446974390443,0.954164803261307,0.941741846373866,0.935388972727694,0.943869175824316
"S1578",0.998661529240238,0.993673865320389,0.998442014740668,1,0.863657677208438,0.847203632592786,0.890155453434871,0.823549305079797,0.838013693242357,0.982413101989804,0.969229514378034,0.9647271857579,0.955244604572289,0.950107402295491,0.953980656058208
"S3412",0.847587544313669,0.905549650941734,0.839926435109881,0.863657677208438,1,0.9948134874594,0.976312167814397,0.996323297604221,0.970946913909155,0.931769478811188,0.956148452009384,0.956337226161283,0.971878360816581,0.975395418304767,0.959153482299303
"S3440",0.829394100002188,0.894697794952994,0.822043755626063,0.847203632592786,0.9948134874594,1,0.955373016935299,0.996479437016147,0.946725462490311,0.923756999112976,0.947169705055853,0.945567317677541,0.962240627727938,0.967709686695381,0.942258650302072
"S5166",0.882118613455997,0.921852241402359,0.874298761606816,0.890155453434871,0.976312167814397,0.955373016935299,1,0.959647055931816,0.993127800740482,0.938015039156438,0.959251155138957,0.969615402688085,0.973120336477471,0.970780625593993,0.982899551137553
"S5193",0.805507459760692,0.87236948831763,0.797181088950965,0.823549305079797,0.996323297604221,0.996479437016147,0.959647055931816,1,0.958844513313679,0.903331667771102,0.932443350038409,0.932769003616826,0.952049441886875,0.957048843339018,0.934860458757234
"S5212",0.828082492644455,0.875393947946539,0.818575596415031,0.838013693242357,0.970946913909155,0.946725462490311,0.993127800740482,0.958844513313679,1,0.897340103957368,0.925640475679838,0.938745568858965,0.945141350498377,0.943865053047431,0.957628192702572
"S5448",0.975696655791832,0.995436273740989,0.972847011426241,0.982413101989804,0.931769478811188,0.923756999112976,0.938015039156438,0.903331667771102,0.897340103957368,1,0.996407456736437,0.990724168886725,0.988626900684785,0.987446311684451,0.9812796012261
"S5449",0.961586108945926,0.987610390622757,0.957446974390443,0.969229514378034,0.956148452009384,0.947169705055853,0.959251155138957,0.932443350038409,0.925640475679838,0.996407456736437,1,0.995960374469931,0.997365730543399,0.996798116056283,0.990606292552639
"S5471",0.958952973718847,0.98431151045773,0.954164803261307,0.9647271857579,0.956337226161283,0.945567317677541,0.969615402688085,0.932769003616826,0.938745568858965,0.990724168886725,0.995960374469931,1,0.996602400686042,0.993997179719586,0.996486929029837
"S5472",0.946700180102142,0.977897098779951,0.941741846373866,0.955244604572289,0.971878360816581,0.962240627727938,0.973120336477471,0.952049441886875,0.945141350498377,0.988626900684785,0.997365730543399,0.996602400686042,1,0.999103097003674,0.993739304884905
"S5490",0.940689454605544,0.974753727449136,0.935388972727694,0.950107402295491,0.975395418304767,0.967709686695381,0.970780625593993,0.957048843339018,0.943865053047431,0.987446311684451,0.996798116056283,0.993997179719586,0.999103097003674,1,0.990529729727033
"S5546",0.949432971321883,0.974361308243586,0.943869175824316,0.953980656058208,0.959153482299303,0.942258650302072,0.982899551137553,0.934860458757234,0.957628192702572,0.9812796012261,0.990606292552639,0.996486929029837,0.993739304884905,0.990529729727033,1
