"","S1468","S1481","S1548","S1578","S3412","S3440","S5166","S5193","S5212","S5448","S5449","S5471","S5472","S5490","S5546"
"S1468",1,0.996069072241441,0.999836581222466,0.999540688984978,0.954751275910063,0.951077346122272,0.961199596120548,0.944435618418626,0.938015326365073,0.991500418254937,0.987907132661082,0.98563946934252,0.983090838376487,0.98179708297438,0.981296435243119
"S1481",0.996069072241441,1,0.996134884504958,0.997704574480123,0.968464447442678,0.968074388835255,0.964778922161791,0.959258777222901,0.944440292536616,0.998677097842276,0.996751019671011,0.993325506074835,0.992901156780709,0.991749977977401,0.987262084361144
"S1548",0.999836581222466,0.996134884504958,1,0.99950952185824,0.953169831178456,0.950116086141104,0.958694342191207,0.943029679035675,0.934768535250785,0.991464492131807,0.987507364422809,0.985044148616129,0.98242853568269,0.980917385069386,0.980093230425566
"S1578",0.999540688984978,0.997704574480123,0.99950952185824,1,0.959515276963681,0.956376555884792,0.96214849620648,0.949266439816683,0.940016083673547,0.994409075405254,0.99101816253055,0.988074059539358,0.986432850117099,0.985221715869459,0.982937693738479
"S3412",0.954751275910063,0.968464447442678,0.953169831178456,0.959515276963681,1,0.998188630324685,0.986652898483085,0.998709118080309,0.985823752761841,0.97349117719669,0.982900023375605,0.987302298217465,0.99046246971975,0.991638911338344,0.989015084455818
"S3440",0.951077346122272,0.968074388835255,0.950116086141104,0.956376555884792,0.998188630324685,1,0.980285516558769,0.997831141000061,0.978891073220126,0.973351312816959,0.982770005508981,0.986859907458033,0.99020354585586,0.990539972984377,0.986895056533347
"S5166",0.961199596120548,0.964778922161791,0.958694342191207,0.96214849620648,0.986652898483085,0.980285516558769,1,0.985635979534021,0.9963755218326,0.965373818174698,0.973870891175323,0.985783744720631,0.981716796776965,0.982241256687268,0.993306909042655
"S5193",0.944435618418626,0.959258777222901,0.943029679035675,0.949266439816683,0.998709118080309,0.997831141000061,0.985635979534021,1,0.986476702730202,0.964156441439933,0.975532093343588,0.982429340289215,0.985200222685474,0.985935839840063,0.985498839795146
"S5212",0.938015326365073,0.944440292536616,0.934768535250785,0.940016083673547,0.985823752761841,0.978891073220126,0.9963755218326,0.986476702730202,1,0.947363354604424,0.958851731672459,0.973225948223501,0.970065842296317,0.97144241636011,0.983210684403717
"S5448",0.991500418254937,0.998677097842276,0.991464492131807,0.994409075405254,0.97349117719669,0.973351312816959,0.965373818174698,0.964156441439933,0.947363354604424,1,0.998648077280337,0.994020984878351,0.994962136325675,0.994517411552711,0.987330976581801
"S5449",0.987907132661082,0.996751019671011,0.987507364422809,0.99101816253055,0.982900023375605,0.982770005508981,0.973870891175323,0.975532093343588,0.958851731672459,0.998648077280337,1,0.996939881741302,0.998586288174613,0.998299967142975,0.99210987819392
"S5471",0.98563946934252,0.993325506074835,0.985044148616129,0.988074059539358,0.987302298217465,0.986859907458033,0.985783744720631,0.982429340289215,0.973225948223501,0.994020984878351,0.996939881741302,1,0.998557608938319,0.997648198052394,0.998334546344831
"S5472",0.983090838376487,0.992901156780709,0.98242853568269,0.986432850117099,0.99046246971975,0.99020354585586,0.981716796776965,0.985200222685474,0.970065842296317,0.994962136325675,0.998586288174613,0.998557608938319,1,0.99957657066869,0.995686287788259
"S5490",0.98179708297438,0.991749977977401,0.980917385069386,0.985221715869459,0.991638911338344,0.990539972984377,0.982241256687268,0.985935839840063,0.97144241636011,0.994517411552711,0.998299967142975,0.997648198052394,0.99957657066869,1,0.995026537800867
"S5546",0.981296435243119,0.987262084361144,0.980093230425566,0.982937693738479,0.989015084455818,0.986895056533347,0.993306909042655,0.985498839795146,0.983210684403717,0.987330976581801,0.99210987819392,0.998334546344831,0.995686287788259,0.995026537800867,1
