"","S6720","S6728","S6742","S7053","S7179","S7181","S7186","S7203","S7313","S7315","S7327","S7331"
"S6720",1,1,0.999664607427938,0.99521773700367,0.994147799690295,0.99367447532596,0.993949510737209,0.993638107257614,0.99252725649942,0.99252725649942,0.99201299443485,0.992827687536536
"S6728",1,1,0.999664607427938,0.99521773700367,0.994147799690295,0.99367447532596,0.993949510737209,0.993638107257614,0.99252725649942,0.99252725649942,0.99201299443485,0.992827687536536
"S6742",0.999664607427938,0.999664607427938,1,0.99679338056084,0.995959270029942,0.995513990165817,0.995770809198471,0.995483789421995,0.994707256711677,0.994707256711677,0.994169121087799,0.994928508630172
"S7053",0.99521773700367,0.99521773700367,0.99679338056084,1,0.999892845340261,0.999736429006122,0.999838548270457,0.999748617188068,0.999280783955646,0.999280783955646,0.999105560639744,0.99932963794871
"S7179",0.994147799690295,0.994147799690295,0.995959270029942,0.999892845340261,1,0.999904851784829,0.999954177685962,0.999917630159299,0.999662871902551,0.999662871902551,0.999540594775268,0.999688158626271
"S7181",0.99367447532596,0.99367447532596,0.995513990165817,0.999736429006122,0.999904851784829,1,0.999883414472525,0.99994572170645,0.999707598938633,0.999707598938633,0.999563875775657,0.999661925082309
"S7186",0.993949510737209,0.993949510737209,0.995770809198471,0.999838548270457,0.999954177685962,0.999883414472525,1,0.999951218031207,0.999618365108098,0.999618365108098,0.999503301308032,0.999631274305066
"S7203",0.993638107257614,0.993638107257614,0.995483789421995,0.999748617188068,0.999917630159299,0.99994572170645,0.999951218031207,1,0.99971181798778,0.99971181798778,0.999586976717037,0.999675968636107
"S7313",0.99252725649942,0.99252725649942,0.994707256711677,0.999280783955646,0.999662871902551,0.999707598938633,0.999618365108098,0.99971181798778,1,1,0.999929768989581,0.999951961690504
"S7315",0.99252725649942,0.99252725649942,0.994707256711677,0.999280783955646,0.999662871902551,0.999707598938633,0.999618365108098,0.99971181798778,1,1,0.999929768989581,0.999951961690504
"S7327",0.99201299443485,0.99201299443485,0.994169121087799,0.999105560639744,0.999540594775268,0.999563875775657,0.999503301308032,0.999586976717037,0.999929768989581,0.999929768989581,1,0.999948675344991
"S7331",0.992827687536536,0.992827687536536,0.994928508630172,0.99932963794871,0.999688158626271,0.999661925082309,0.999631274305066,0.999675968636107,0.999951961690504,0.999951961690504,0.999948675344991,1
