"","S1558","S2467","S2515","S2523","S2528","S2541","S2543","S2545","S2552","S3159","S3175","S3257","S3260","S3270","S3283","S3867","S4857","S4863","S4864"
"S1558",1,0.127182358788529,0.692487256685945,-0.0760087567887772,0.457248926707876,-0.253161972270541,0.141521865772198,-0.431220203503317,-0.395384021719522,0.23060309893326,-0.413431616076571,0.34906400401498,0.681834398930755,0.326188374148768,0.203551107125592,0.140743644255522,0.0216766789647389,0.611076464752172,0.150419780446263
"S2467",0.127182358788529,1,-0.14264183930991,0.20811210630527,-0.0416009537493404,-0.0267821303371156,0.0182475799897195,0.463305182181635,0.304669521678586,0.159583777415889,0.228328339306534,-0.170689743447321,0.303773167480961,0.371793606961358,-0.154270499813174,0.488064438081565,-0.51731420694903,-0.354440975909151,0.356896418376063
"S2515",0.692487256685945,-0.14264183930991,1,-0.260622612041476,0.69761025123853,-0.188165757174074,0.397329163329725,-0.405678420791908,-0.224352015065435,0.335992629918431,-0.627743183142144,0.152849924004987,0.752638592193632,-0.274681135027945,0.0651700903702274,-0.185074727291865,-0.0918112287965861,0.373196621844036,-0.134078281946542
"S2523",-0.0760087567887772,0.20811210630527,-0.260622612041476,1,-0.156736691101906,0.345531046654697,-0.406419287461404,0.0359790829473054,0.183737028535362,0.287550073105249,0.427660585341565,-0.249318118744818,-0.235215264471089,0.476890996841592,-0.247256774391671,-0.00150452363353695,0.348257299353199,-0.390684205316024,0.260707872743416
"S2528",0.457248926707876,-0.0416009537493404,0.69761025123853,-0.156736691101906,1,0.0221374243322025,-0.0605609021086536,-0.183506290557857,-0.00297927211983969,0.0830356742726185,-0.421531843141436,-0.366167926924705,0.260627782254329,-0.351603214828436,-0.286530058906226,0.0282184918376668,0.101592740434514,0.0222512852143853,-0.187362450058441
"S2541",-0.253161972270541,-0.0267821303371156,-0.188165757174074,0.345531046654697,0.0221374243322025,1,0.228544204146798,-0.220409901369411,-0.15084771548018,0.0746073534464585,0.359409813109491,-0.793993874830109,-0.44357831574329,0.128068103359415,-0.133645639871783,-0.688392645902543,0.202848947190935,-0.535792586739694,-0.749635539843962
"S2543",0.141521865772198,0.0182475799897195,0.397329163329725,-0.406419287461404,-0.0605609021086536,0.228544204146798,1,-0.111122788183449,-0.14333373968122,0.427719015089791,-0.0811648349567247,-0.0173362128757175,0.407866511237279,-0.141100355577238,0.493419531816872,-0.528570704086082,-0.255227135217086,0.150628852035441,-0.546454433683261
"S2545",-0.431220203503317,0.463305182181635,-0.405678420791908,0.0359790829473054,-0.183506290557857,-0.220409901369411,-0.111122788183449,1,0.279959759179882,0.383100662785664,0.30185519429131,-0.197998438647567,-0.0729694633788237,-0.288322398201869,-0.392889535820619,0.347009296617522,-0.127601300639807,-0.517483844388748,0.395723670673575
"S2552",-0.395384021719522,0.304669521678586,-0.224352015065435,0.183737028535362,-0.00297927211983969,-0.15084771548018,-0.14333373968122,0.279959759179882,1,-0.176497452020627,0.426240772485786,-0.123027165935393,-0.240997276609142,0.0925238152808583,0.240892829030239,0.453739869562179,-0.0256878373105806,-0.149107366228337,0.263915728102909
"S3159",0.23060309893326,0.159583777415889,0.335992629918431,0.287550073105249,0.0830356742726185,0.0746073534464585,0.427719015089791,0.383100662785664,-0.176497452020627,1,0.0347345583281537,-0.121237872492597,0.407893188660609,-0.137985989421094,-0.0981581340207397,-0.266409377177968,0.162727242711496,-0.159150816033009,0.037142125935867
"S3175",-0.413431616076571,0.228328339306534,-0.627743183142144,0.427660585341565,-0.421531843141436,0.359409813109491,-0.0811648349567247,0.30185519429131,0.426240772485786,0.0347345583281537,1,-0.311672744421552,-0.47243715757913,0.528989055947945,0.131237471394172,-0.0839447571281425,0.479029689893679,-0.312104196385633,0.0973584901824201
"S3257",0.34906400401498,-0.170689743447321,0.152849924004987,-0.249318118744818,-0.366167926924705,-0.793993874830109,-0.0173362128757175,-0.197998438647567,-0.123027165935393,-0.121237872492597,-0.311672744421552,1,0.444263943817585,0.190144578024845,0.441288637388799,0.358974588771024,-0.143371226271498,0.755388174832856,0.557568558190656
"S3260",0.681834398930755,0.303773167480961,0.752638592193632,-0.235215264471089,0.260627782254329,-0.44357831574329,0.407866511237279,-0.0729694633788237,-0.240997276609142,0.407893188660609,-0.47243715757913,0.444263943817585,1,-0.018080209200544,0.0336171712280236,0.0737725040552391,-0.409625035275038,0.31190286804706,0.286677971125174
"S3270",0.326188374148768,0.371793606961358,-0.274681135027945,0.476890996841592,-0.351603214828436,0.128068103359415,-0.141100355577238,-0.288322398201869,0.0925238152808583,-0.137985989421094,0.528989055947945,0.190144578024845,-0.018080209200544,1,0.37529186610591,0.183510271817326,0.200249166183524,0.240698943940343,0.283062285223276
"S3283",0.203551107125592,-0.154270499813174,0.0651700903702274,-0.247256774391671,-0.286530058906226,-0.133645639871783,0.493419531816872,-0.392889535820619,0.240892829030239,-0.0981581340207397,0.131237471394172,0.441288637388799,0.0336171712280236,0.37529186610591,1,0.0151704090863387,0.0725905677102683,0.717200626763576,-0.150287842634481
"S3867",0.140743644255522,0.488064438081565,-0.185074727291865,-0.00150452363353695,0.0282184918376668,-0.688392645902543,-0.528570704086082,0.347009296617522,0.453739869562179,-0.266409377177968,-0.0839447571281425,0.358974588771024,0.0737725040552391,0.183510271817326,0.0151704090863387,1,-0.281678546112386,0.202995874875632,0.736152192163125
"S4857",0.0216766789647389,-0.51731420694903,-0.0918112287965861,0.348257299353199,0.101592740434514,0.202848947190935,-0.255227135217086,-0.127601300639807,-0.0256878373105806,0.162727242711496,0.479029689893679,-0.143371226271498,-0.409625035275038,0.200249166183524,0.0725905677102683,-0.281678546112386,1,0.149812593108181,-0.0191443025312519
"S4863",0.611076464752172,-0.354440975909151,0.373196621844036,-0.390684205316024,0.0222512852143853,-0.535792586739694,0.150628852035441,-0.517483844388748,-0.149107366228337,-0.159150816033009,-0.312104196385633,0.755388174832856,0.31190286804706,0.240698943940343,0.717200626763576,0.202995874875632,0.149812593108181,1,0.146444287772126
"S4864",0.150419780446263,0.356896418376063,-0.134078281946542,0.260707872743416,-0.187362450058441,-0.749635539843962,-0.546454433683261,0.395723670673575,0.263915728102909,0.037142125935867,0.0973584901824201,0.557568558190656,0.286677971125174,0.283062285223276,-0.150287842634481,0.736152192163125,-0.0191443025312519,0.146444287772126,1
