"","S1112","S1117","S1209","S1265","S1355","S1387","S1392","S1414","S1416"
"S1112",1,0.415684050720096,0.793716713605526,0.073140143253172,0.400613694394922,-0.148924067256013,0.315451988537161,0.300326283404704,0.162716631516649
"S1117",0.415684050720096,1,0.00317690850736518,0.298420883958169,0.443018853742513,-0.193077359541542,0.271931172224254,0.210161232975239,0.221079057924863
"S1209",0.793716713605526,0.00317690850736518,1,0.0471413808795177,0.116893739188672,0.0593832372811688,0.220363598993377,0.368906013570287,-0.0327397972192101
"S1265",0.073140143253172,0.298420883958169,0.0471413808795177,1,-0.0914908692579192,0.163507100854753,-0.45835191648241,-0.416052906481546,-0.651538358419743
"S1355",0.400613694394922,0.443018853742513,0.116893739188672,-0.0914908692579192,1,-0.056073244757275,0.645276330950798,0.321123493235984,0.431973879822596
"S1387",-0.148924067256013,-0.193077359541542,0.0593832372811688,0.163507100854753,-0.056073244757275,1,0.127756096315682,-0.377212303371342,-0.0787279195236196
"S1392",0.315451988537161,0.271931172224254,0.220363598993377,-0.45835191648241,0.645276330950798,0.127756096315682,1,0.541421246549159,0.33777396806543
"S1414",0.300326283404704,0.210161232975239,0.368906013570287,-0.416052906481546,0.321123493235984,-0.377212303371342,0.541421246549159,1,0.446902592623974
"S1416",0.162716631516649,0.221079057924863,-0.0327397972192101,-0.651538358419743,0.431973879822596,-0.0787279195236196,0.33777396806543,0.446902592623974,1
