"","S1041","S1060","S1081","S1100","S1111","S1121","S1129","S1173","S1191","S1208","S1213","S1215","S1266"
"S1041",1,0.88055062407332,0.812959810176378,0.827573854062126,0.819728069571885,0.793721285097272,0.789191359927728,0.785138027092511,0.783119344528267,0.827134428715067,0.811421799259174,0.806875434250443,0.777017460742972
"S1060",0.88055062407332,1,0.985013304351613,0.987130176576488,0.991675828353264,0.977901013007671,0.976263471942363,0.974607297188444,0.974069460999563,0.989325384884399,0.986799834820939,0.986097630271893,0.970874749740027
"S1081",0.812959810176378,0.985013304351613,1,0.996587421302871,0.993840097068139,0.994582339726567,0.99418834389222,0.993814727463456,0.994747758829426,0.994955816337462,0.992513476692509,0.991845619831666,0.992662736589582
"S1100",0.827573854062126,0.987130176576488,0.996587421302871,1,0.995802153766715,0.994143369688961,0.993579605267493,0.992651977001817,0.992014524029704,0.99712896298095,0.994541813418621,0.993846967035355,0.988590424798286
"S1111",0.819728069571885,0.991675828353264,0.993840097068139,0.995802153766715,1,0.99023112802958,0.989572409759715,0.988499783338183,0.987630079845528,0.997677202470888,0.998075718603133,0.99813079261689,0.984279631567315
"S1121",0.793721285097272,0.977901013007671,0.994582339726567,0.994143369688961,0.99023112802958,1,0.9999441182322,0.999809820145889,0.999238920660113,0.991260135624939,0.99033447515207,0.989939768325855,0.996580901076642
"S1129",0.789191359927728,0.976263471942363,0.99418834389222,0.993579605267493,0.989572409759715,0.9999441182322,1,0.999944669956583,0.999398699821397,0.990799839086669,0.990054046197906,0.989668075169662,0.996781858838966
"S1173",0.785138027092511,0.974607297188444,0.993814727463456,0.992651977001817,0.988499783338183,0.999809820145889,0.999944669956583,1,0.999565578992795,0.98984429616829,0.989222548622886,0.988852118762119,0.997145667168089
"S1191",0.783119344528267,0.974069460999563,0.994747758829426,0.992014524029704,0.987630079845528,0.999238920660113,0.999398699821397,0.999565578992795,1,0.988554598598525,0.987459672692341,0.98702354976433,0.998593199991871
"S1208",0.827134428715067,0.989325384884399,0.994955816337462,0.99712896298095,0.997677202470888,0.991260135624939,0.990799839086669,0.98984429616829,0.988554598598525,1,0.998935465091908,0.998356734790898,0.984781197991231
"S1213",0.811421799259174,0.986799834820939,0.992513476692509,0.994541813418621,0.998075718603133,0.99033447515207,0.990054046197906,0.989222548622886,0.987459672692341,0.998935465091908,1,0.999918470663589,0.983340538939518
"S1215",0.806875434250443,0.986097630271893,0.991845619831666,0.993846967035355,0.99813079261689,0.989939768325855,0.989668075169662,0.988852118762119,0.98702354976433,0.998356734790898,0.999918470663589,1,0.982930645688484
"S1266",0.777017460742972,0.970874749740027,0.992662736589582,0.988590424798286,0.984279631567315,0.996580901076642,0.996781858838966,0.997145667168089,0.998593199991871,0.984781197991231,0.983340538939518,0.982930645688484,1
