"","S7985","S7986","S7989","S8007","S8017","S8023","S8033","S8052","S8053","S8065","S8074"
"S7985",1,0.506644707149688,0.50419639101054,0.504516115836719,0.515374156452386,0.518785806333605,0.528052011018909,0.438261374101085,0.438261374101085,0.299088054433916,0.341069195501013
"S7986",0.506644707149688,1,0.999650435234336,0.999612462783744,0.987170761951676,0.984603579080304,0.979537131255221,0.90179286628089,0.90179286628089,0.925918958333339,0.906686676164481
"S7989",0.50419639101054,0.999650435234336,1,0.999998423563851,0.989848655948704,0.987396210946638,0.982424469322322,0.899403304542766,0.899403304542766,0.932126997187412,0.907974446632878
"S8007",0.504516115836719,0.999612462783744,0.999998423563851,1,0.990079699100409,0.987650090015786,0.982712170197952,0.898972855578984,0.898972855578984,0.932456895582971,0.907973930304264
"S8017",0.515374156452386,0.987170761951676,0.989848655948704,0.990079699100409,1,0.999832967542858,0.99862380751459,0.859835440174604,0.859835440174604,0.952086510825634,0.902979145414211
"S8023",0.518785806333605,0.984603579080304,0.987396210946638,0.987650090015786,0.999832967542858,1,0.999352868376859,0.853612775682024,0.853612775682024,0.952397940078364,0.901802570592035
"S8033",0.528052011018909,0.979537131255221,0.982424469322322,0.982712170197952,0.99862380751459,0.999352868376859,1,0.841625300226268,0.841625300226268,0.949833889337103,0.893193788283095
"S8052",0.438261374101085,0.90179286628089,0.899403304542766,0.898972855578984,0.859835440174604,0.853612775682024,0.841625300226268,1,1,0.776878683373072,0.844215252513759
"S8053",0.438261374101085,0.90179286628089,0.899403304542766,0.898972855578984,0.859835440174604,0.853612775682024,0.841625300226268,1,1,0.776878683373072,0.844215252513759
"S8065",0.299088054433916,0.925918958333339,0.932126997187412,0.932456895582971,0.952086510825634,0.952397940078364,0.949833889337103,0.776878683373072,0.776878683373072,1,0.917018335820689
"S8074",0.341069195501013,0.906686676164481,0.907974446632878,0.907973930304264,0.902979145414211,0.901802570592035,0.893193788283095,0.844215252513759,0.844215252513759,0.917018335820689,1
