"","S1593","S1597","S1599","S1606","S1611","S1760","S1798","S1800","S1806","S1818","S2102","S2109","S2113","S2119","S2136","S2598","S2784","S2785"
"S1593",1,0.999908268285417,1,0.999851570495648,0.999823185007246,0.999519517143868,0.999502844376267,0.999502844376267,0.999502844376267,0.999131540691159,0.999515356053032,0.99947180740744,0.999515356053032,0.999675697431236,0.999335641645959,0.998618989277147,0.997833380412267,0.997833380412267
"S1597",0.999908268285417,1,0.999908268285417,0.999870608888239,0.999913653965781,0.99953908672708,0.999558510762487,0.999558510762487,0.999558510762487,0.999197306380534,0.99948756555108,0.99947570923373,0.99948756555108,0.999673191396193,0.999466943266745,0.998606461500822,0.997768312159848,0.997768312159848
"S1599",1,0.999908268285417,1,0.999851570495648,0.999823185007246,0.999519517143868,0.999502844376267,0.999502844376267,0.999502844376267,0.999131540691159,0.999515356053032,0.99947180740744,0.999515356053032,0.999675697431236,0.999335641645959,0.998618989277147,0.997833380412267,0.997833380412267
"S1606",0.999851570495648,0.999870608888239,0.999851570495648,1,0.999849759512707,0.99981920407238,0.9997640673059,0.9997640673059,0.9997640673059,0.999512657321582,0.999726651530733,0.99974676833302,0.999726651530733,0.999807164238239,0.999551201113434,0.998673524027102,0.997878028785584,0.997878028785584
"S1611",0.999823185007246,0.999913653965781,0.999823185007246,0.999849759512707,1,0.999469737525099,0.999400275709597,0.999400275709597,0.999400275709597,0.999105386860528,0.99940535254167,0.999436854862865,0.99940535254167,0.999573575547044,0.999389016969319,0.998491845540258,0.997642373278999,0.997642373278999
"S1760",0.999519517143868,0.99953908672708,0.999519517143868,0.99981920407238,0.999469737525099,1,0.999944773823947,0.999944773823947,0.999944773823947,0.999743722414876,0.999607169829728,0.999685880822688,0.999607169829728,0.999616079599011,0.999405445174913,0.998248615487864,0.997354838567408,0.997354838567408
"S1798",0.999502844376267,0.999558510762487,0.999502844376267,0.9997640673059,0.999400275709597,0.999944773823947,1,1,1,0.999617036884403,0.999633558197041,0.999684599137592,0.999633558197041,0.999604567080427,0.999438622531974,0.998382419379487,0.997560841771397,0.997560841771397
"S1800",0.999502844376267,0.999558510762487,0.999502844376267,0.9997640673059,0.999400275709597,0.999944773823947,1,1,1,0.999617036884403,0.999633558197041,0.999684599137592,0.999633558197041,0.999604567080427,0.999438622531974,0.998382419379487,0.997560841771397,0.997560841771397
"S1806",0.999502844376267,0.999558510762487,0.999502844376267,0.9997640673059,0.999400275709597,0.999944773823947,1,1,1,0.999617036884403,0.999633558197041,0.999684599137592,0.999633558197041,0.999604567080427,0.999438622531974,0.998382419379487,0.997560841771397,0.997560841771397
"S1818",0.999131540691159,0.999197306380534,0.999131540691159,0.999512657321582,0.999105386860528,0.999743722414876,0.999617036884403,0.999617036884403,0.999617036884403,1,0.999321747160334,0.999425495345791,0.999321747160334,0.999383845143959,0.999431897537888,0.997660758069721,0.99659111770695,0.99659111770695
"S2102",0.999515356053032,0.99948756555108,0.999515356053032,0.999726651530733,0.99940535254167,0.999607169829728,0.999633558197041,0.999633558197041,0.999633558197041,0.999321747160334,1,0.999980463719549,1,0.999928760899599,0.99977105365379,0.999386268987815,0.998882576364454,0.998882576364454
"S2109",0.99947180740744,0.99947570923373,0.99947180740744,0.99974676833302,0.999436854862865,0.999685880822688,0.999684599137592,0.999684599137592,0.999684599137592,0.999425495345791,0.999980463719549,1,0.999980463719549,0.999906338438246,0.999778516866718,0.999268396598238,0.998725474144083,0.998725474144083
"S2113",0.999515356053032,0.99948756555108,0.999515356053032,0.999726651530733,0.99940535254167,0.999607169829728,0.999633558197041,0.999633558197041,0.999633558197041,0.999321747160334,1,0.999980463719549,1,0.999928760899599,0.99977105365379,0.999386268987815,0.998882576364454,0.998882576364454
"S2119",0.999675697431236,0.999673191396193,0.999675697431236,0.999807164238239,0.999573575547044,0.999616079599011,0.999604567080427,0.999604567080427,0.999604567080427,0.999383845143959,0.999928760899599,0.999906338438246,0.999928760899599,1,0.999743637474192,0.999373313061385,0.998739471248204,0.998739471248204
"S2136",0.999335641645959,0.999466943266745,0.999335641645959,0.999551201113434,0.999389016969319,0.999405445174913,0.999438622531974,0.999438622531974,0.999438622531974,0.999431897537888,0.99977105365379,0.999778516866718,0.99977105365379,0.999743637474192,1,0.99897594442587,0.998331814586238,0.998331814586238
"S2598",0.998618989277147,0.998606461500822,0.998618989277147,0.998673524027102,0.998491845540258,0.998248615487864,0.998382419379487,0.998382419379487,0.998382419379487,0.997660758069721,0.999386268987815,0.999268396598238,0.999386268987815,0.999373313061385,0.99897594442587,1,0.999829734522968,0.999829734522968
"S2784",0.997833380412267,0.997768312159848,0.997833380412267,0.997878028785584,0.997642373278999,0.997354838567408,0.997560841771397,0.997560841771397,0.997560841771397,0.99659111770695,0.998882576364454,0.998725474144083,0.998882576364454,0.998739471248204,0.998331814586238,0.999829734522968,1,1
"S2785",0.997833380412267,0.997768312159848,0.997833380412267,0.997878028785584,0.997642373278999,0.997354838567408,0.997560841771397,0.997560841771397,0.997560841771397,0.99659111770695,0.998882576364454,0.998725474144083,0.998882576364454,0.998739471248204,0.998331814586238,0.999829734522968,1,1
