"","S1468","S1481","S1548","S1578","S3412","S3440","S5166","S5193","S5212","S5448","S5449","S5471","S5472","S5490","S5546"
"S1468",1,0.997058775222874,0.999661889938793,0.999474276547198,0.953794834138152,0.951662456856024,0.950443163490397,0.938577692005859,0.935655554413091,0.99324865399309,0.991422231730773,0.989908553590127,0.987193994360553,0.984511267754514,0.985626637566533
"S1481",0.997058775222874,1,0.997309807469239,0.99876950691158,0.962085360687884,0.96096509514531,0.951523611333672,0.945805447130632,0.938025689049134,0.998697272426612,0.997813465893015,0.994574868276993,0.994150796927396,0.991426833375155,0.988505097530992
"S1548",0.999661889938793,0.997309807469239,1,0.99927216964838,0.951965627109354,0.949854699069415,0.948966012512739,0.936769836067136,0.933730118313522,0.993455147394331,0.991406773956773,0.990073389645808,0.986839162893893,0.983720180200774,0.985851616478632
"S1578",0.999474276547198,0.99876950691158,0.99927216964838,1,0.958049609062337,0.956349573684185,0.951100709312293,0.942314788918077,0.93715481294345,0.996154740379516,0.994566005116125,0.992455976298219,0.990597544289293,0.98797153175803,0.987323249384538
"S3412",0.953794834138152,0.962085360687884,0.951965627109354,0.958049609062337,1,0.998368884413558,0.984431309132279,0.997192760520265,0.985923137811409,0.966322302074818,0.975046241598311,0.981857957223056,0.98482298968307,0.988430247518368,0.983239711919344
"S3440",0.951662456856024,0.96096509514531,0.949854699069415,0.956349573684185,0.998368884413558,1,0.9777139343396,0.995818794901779,0.980408893231419,0.964790598174956,0.973749692219218,0.980539584485146,0.984202689235695,0.986816342330027,0.981056430551547
"S5166",0.950443163490397,0.951523611333672,0.948966012512739,0.951100709312293,0.984431309132279,0.9777139343396,1,0.98679239213545,0.997700899149438,0.951108434838106,0.960077754405919,0.974790450443386,0.970161930362742,0.973768427884792,0.983860495352958
"S5193",0.938577692005859,0.945805447130632,0.936769836067136,0.942314788918077,0.997192760520265,0.995818794901779,0.98679239213545,1,0.990336599311811,0.948845052819452,0.959857166459702,0.971307944752727,0.972930239287312,0.976772341717875,0.976181730944974
"S5212",0.935655554413091,0.938025689049134,0.933730118313522,0.93715481294345,0.985923137811409,0.980408893231419,0.997700899149438,0.990336599311811,1,0.939008322183822,0.949594593974959,0.966498111159217,0.962457083076647,0.967292708253571,0.976812770811249
"S5448",0.99324865399309,0.998697272426612,0.993455147394331,0.996154740379516,0.966322302074818,0.964790598174956,0.951108434838106,0.948845052819452,0.939008322183822,1,0.999115643876581,0.994562642780253,0.995713037396416,0.993924923284353,0.987198234084207
"S5449",0.991422231730773,0.997813465893015,0.991406773956773,0.994566005116125,0.975046241598311,0.973749692219218,0.960077754405919,0.959857166459702,0.949594593974959,0.999115643876581,1,0.99701404970192,0.998567341626052,0.997259282091449,0.991002994125635
"S5471",0.989908553590127,0.994574868276993,0.990073389645808,0.992455976298219,0.981857957223056,0.980539584485146,0.974790450443386,0.971307944752727,0.966498111159217,0.994562642780253,0.99701404970192,1,0.998373259595669,0.997435876637689,0.99819847156998
"S5472",0.987193994360553,0.994150796927396,0.986839162893893,0.990597544289293,0.98482298968307,0.984202689235695,0.970161930362742,0.972930239287312,0.962457083076647,0.995713037396416,0.998567341626052,0.998373259595669,1,0.999410994888583,0.994249832723384
"S5490",0.984511267754514,0.991426833375155,0.983720180200774,0.98797153175803,0.988430247518368,0.986816342330027,0.973768427884792,0.976772341717875,0.967292708253571,0.993924923284353,0.997259282091449,0.997435876637689,0.999410994888583,1,0.99385197164279
"S5546",0.985626637566533,0.988505097530992,0.985851616478632,0.987323249384538,0.983239711919344,0.981056430551547,0.983860495352958,0.976181730944974,0.976812770811249,0.987198234084207,0.991002994125635,0.99819847156998,0.994249832723384,0.99385197164279,1
