"","S1593","S1597","S1599","S1606","S1611","S1760","S1798","S1800","S1806","S1818","S2102","S2109","S2113","S2119","S2136","S2598","S2784","S2785"
"S1593",1,-0.208043586266821,0.65219035065683,0.418617225406413,0.646494062121235,0.692827724352124,0.00534161718897011,0.396603601500994,-0.0628871499527023,0.11086868358326,0.531957597544785,0.643244277440549,-0.137433870617994,-0.186485743071551,0.539464403029045,0.472028551205453,0.39969104256835,-0.0875243513597776
"S1597",-0.208043586266821,1,0.42533246719378,0.0298537023501321,0.0645581851668659,0.0108105562728727,0.180604359038974,0.399953812348584,-0.220132369333789,0.397897394296376,-0.0687583062855283,-0.42423049125258,-0.175658819044303,-0.561496595526259,0.132460468065178,-0.17498828704339,-0.0444910270582809,0.220311756017856
"S1599",0.65219035065683,0.42533246719378,1,0.229227080790789,0.729042565857556,0.393379946222323,0.146319679821524,0.396779850083744,-0.515476990628116,0.229780378169382,0.47510035812251,0.0983382243963736,-0.200694888870408,-0.557699435835939,0.39506847677855,0.349029607550668,0.12857820947755,-0.279720300771036
"S1606",0.418617225406413,0.0298537023501321,0.229227080790789,1,-0.026242450050312,0.814881563459862,0.102611501471253,0.111346857263217,-0.251701856933108,-0.344498613496922,-0.168222694499322,0.200575599093353,-0.352787707165849,-0.55166058327424,0.904547318561971,0.424576723021205,0.828264946124228,0.329743390953858
"S1611",0.646494062121235,0.0645581851668659,0.729042565857556,-0.026242450050312,1,0.0831343053378242,-0.129803238202543,0.128412687905901,-0.346427319137428,0.245670229384764,0.73222350739566,0.364169284733908,0.25775956434304,0.0654409297558582,0.0869044262886468,0.626952463692095,0.00437713189306261,-0.604474278410329
"S1760",0.692827724352124,0.0108105562728727,0.393379946222323,0.814881563459862,0.0831343053378242,1,0.186420264748487,0.555189362976407,0.0185507310838236,-0.119103049421494,0.115240310286395,0.3134596557644,-0.325981546294162,-0.548194339200238,0.910722454547908,0.324065983034857,0.717413965035844,0.310858157576385
"S1798",0.00534161718897011,0.180604359038974,0.146319679821524,0.102611501471253,-0.129803238202543,0.186420264748487,1,0.466327343546683,0.165415051014312,-0.258714275453249,-0.0623238993770518,-0.498123168123816,-0.478930643472588,-0.364777695298058,0.349418833151911,-0.45618143774966,-0.0975695094009776,-0.0329877785185186
"S1800",0.396603601500994,0.399953812348584,0.396779850083744,0.111346857263217,0.128412687905901,0.555189362976407,0.466327343546683,1,0.461702301696894,0.41616360550181,0.422661921357193,-0.109565293056828,-0.347897528934078,-0.293876442003253,0.432527333281944,-0.11694174087769,0.223888921676433,0.102447679803969
"S1806",-0.0628871499527023,-0.220132369333789,-0.515476990628116,-0.251701856933108,-0.346427319137428,0.0185507310838236,0.165415051014312,0.461702301696894,1,0.335640500177111,0.140492555205885,0.00851534960059159,-0.201858244132399,0.529353315635917,-0.159130500215923,-0.377445446641156,0.0570533577979881,0.223353006467998
"S1818",0.11086868358326,0.397897394296376,0.229780378169382,-0.344498613496922,0.245670229384764,-0.119103049421494,-0.258714275453249,0.41616360550181,0.335640500177111,1,0.558057737367273,0.217291350599146,-0.174568479349641,0.172521124728061,-0.220406798577726,0.0313577017770204,0.0782562034361684,0.0973335646259414
"S2102",0.531957597544785,-0.0687583062855283,0.47510035812251,-0.168222694499322,0.73222350739566,0.115240310286395,-0.0623238993770518,0.422661921357193,0.140492555205885,0.558057737367273,1,0.30279997372382,0.0655659779607252,0.286512754887581,0.0579589864046654,0.562278334238802,0.190562823535001,-0.593560510280296
"S2109",0.643244277440549,-0.42423049125258,0.0983382243963736,0.200575599093353,0.364169284733908,0.3134596557644,-0.498123168123816,-0.109565293056828,0.00851534960059159,0.217291350599146,0.30279997372382,1,0.247983385744105,0.162959960186847,0.1774859460145,0.45731058455758,0.277895629084499,0.224640438456177
"S2113",-0.137433870617994,-0.175658819044303,-0.200694888870408,-0.352787707165849,0.25775956434304,-0.325981546294162,-0.478930643472588,-0.347897528934078,-0.201858244132399,-0.174568479349641,0.0655659779607252,0.247983385744105,1,0.342157585106823,-0.352208889964302,0.305782184624142,-0.436324278090631,-0.28762627795898
"S2119",-0.186485743071551,-0.561496595526259,-0.557699435835939,-0.55166058327424,0.0654409297558582,-0.548194339200238,-0.364777695298058,-0.293876442003253,0.529353315635917,0.172521124728061,0.286512754887581,0.162959960186847,0.342157585106823,1,-0.653900405796603,0.0748282403594932,-0.213495900448788,-0.373824798870632
"S2136",0.539464403029045,0.132460468065178,0.39506847677855,0.904547318561971,0.0869044262886468,0.910722454547908,0.349418833151911,0.432527333281944,-0.159130500215923,-0.220406798577726,0.0579589864046654,0.1774859460145,-0.352208889964302,-0.653900405796603,1,0.371463085464987,0.744695690664617,0.257660492406456
"S2598",0.472028551205453,-0.17498828704339,0.349029607550668,0.424576723021205,0.626952463692095,0.324065983034857,-0.45618143774966,-0.11694174087769,-0.377445446641156,0.0313577017770204,0.562278334238802,0.45731058455758,0.305782184624142,0.0748282403594932,0.371463085464987,1,0.563924408898989,-0.431780500477222
"S2784",0.39969104256835,-0.0444910270582809,0.12857820947755,0.828264946124228,0.00437713189306261,0.717413965035844,-0.0975695094009776,0.223888921676433,0.0570533577979881,0.0782562034361684,0.190562823535001,0.277895629084499,-0.436324278090631,-0.213495900448788,0.744695690664617,0.563924408898989,1,0.21655666003001
"S2785",-0.0875243513597776,0.220311756017856,-0.279720300771036,0.329743390953858,-0.604474278410329,0.310858157576385,-0.0329877785185186,0.102447679803969,0.223353006467998,0.0973335646259414,-0.593560510280296,0.224640438456177,-0.28762627795898,-0.373824798870632,0.257660492406456,-0.431780500477222,0.21655666003001,1
