"","S8045","S8090","S8091","S8092","S8093","S8094","S8095","S8096","S8097","S8098","S8099","S8100","S8101","S8102","S8103","S8104","S8105","S8108","S8109","S8110","S8114","S8115","S8116","S8119","S8120","S8121","S8122","S8123","S8124","S8126","S8128","S8129","S8130","S8131","S8132","S8134","S8135","S8136","S8138"
"S8045",1,0.799663329050796,0.957298995505197,0.928269144880897,0.959767661174774,0.882970446676442,0.947102943379415,0.950138667802299,0.891786583474765,0.865143671705751,0.947561524742458,0.901973960076329,0.994046353988573,0.993571134458313,0.970948115485574,0.968402019642263,0.99829414170435,0.960728628907017,0.865227806252005,0.863365432416164,0.642022789344111,0.702379911768415,0.812147907388666,0.874898550302197,0.627394938644825,0.862468241542947,0.816315697515035,0.935293763960585,0.965734475450287,0.924005394170189,0.974717525482348,0.833021500712944,0.847383481800583,0.89207623849755,0.921659629807193,0.959491500354838,0.913279929219488,0.922157515105311,0.99931392762812
"S8090",0.799663329050796,1,0.87921516317273,0.934307952641758,0.876875629374852,0.864887590375892,0.902801721106716,0.909769544956037,0.903079057304739,0.895002236710491,0.857394032862553,0.887670540721835,0.837839304525784,0.8390583272196,0.871830467376624,0.881391628680125,0.814109459741368,0.882342774946708,0.931410989183694,0.895918063167045,0.88082586190437,0.882881133913877,0.88161845455991,0.891474971236283,0.85033072444741,0.874389033069625,0.876208021507077,0.81387060915408,0.731972260053995,0.765269308626727,0.856175514300501,0.742657082865638,0.740409971295728,0.785145236050326,0.781650326756623,0.908597774108903,0.800466499542842,0.774037488350435,0.811581344913019
"S8091",0.957298995505197,0.87921516317273,1,0.981781246174913,0.994844495038986,0.966696293223637,0.991735447451589,0.993242038301701,0.961833007276104,0.948000589481582,0.996402069815317,0.966681264525465,0.963621176818175,0.965600288595285,0.942020606478762,0.965717385281742,0.96324060446374,0.954883577057077,0.938914865683241,0.947066162804972,0.774475137885684,0.821623315231536,0.907611624807551,0.941161688786896,0.711869721108949,0.936318661814405,0.91199184268219,0.931235780888525,0.934576648497412,0.919751679757613,0.928910364541705,0.84078822550042,0.850024840474367,0.889630163335078,0.926758649427711,0.970071032817788,0.913943645462745,0.923474730859664,0.965738851483673
"S8092",0.928269144880897,0.934307952641758,0.981781246174913,1,0.988076770741934,0.943723936853888,0.996068384602874,0.99202185463133,0.96671058041146,0.946019253379214,0.975400710446851,0.9686569404874,0.952250174296858,0.94826452875833,0.948556106832176,0.95267479959243,0.941543107794733,0.949022766292151,0.962650898093395,0.945505454318143,0.805564743879445,0.841495229116752,0.909605269612993,0.935503135950807,0.745401316241292,0.931471922931906,0.909582667851742,0.914982259266137,0.875996364138254,0.889307976050079,0.937344052440446,0.776737277952293,0.78661322197516,0.870880173136109,0.885696165740447,0.961025281281631,0.891425068882723,0.887367994034526,0.936878913878221
"S8093",0.959767661174774,0.876875629374852,0.994844495038986,0.988076770741934,1,0.948376928298036,0.997472017316934,0.993462845524016,0.95900566057295,0.936964882034936,0.992837878642834,0.966688462569185,0.9701745868883,0.968101271013476,0.948362722168562,0.96366912790626,0.968796815374324,0.956715354845097,0.940153332063138,0.935927444457668,0.751391352074721,0.798796981521845,0.892915980267854,0.928089697634564,0.690472636605205,0.925988259248569,0.896074851051119,0.92996391033954,0.921419620190821,0.913597998540301,0.941136228936296,0.796725815292127,0.809008822853584,0.882791224091065,0.909499799836993,0.963842786521603,0.905424189700268,0.91191347825927,0.966763974381414
"S8094",0.882970446676442,0.864887590375892,0.966696293223637,0.943723936853888,0.948376928298036,1,0.950962018953204,0.961090814941229,0.980065545403206,0.986156757225279,0.975161581994455,0.978359618713143,0.887153587741831,0.892731781267934,0.856674997301873,0.894280113324415,0.889177648906095,0.880897066222046,0.951666685406266,0.985614057337349,0.865543097637415,0.908470885360984,0.96830405329212,0.979698830501889,0.768112595496118,0.980589923019243,0.973188320231498,0.921937109952445,0.89861356918571,0.909997064759509,0.839346414058835,0.848112068264004,0.863730404069801,0.902873222549678,0.928481997315492,0.914992377130175,0.923888904991539,0.928284667035231,0.895737191302227
"S8095",0.947102943379415,0.902801721106716,0.991735447451589,0.996068384602874,0.997472017316934,0.950962018953204,1,0.996279271486438,0.967615801619317,0.946599716566239,0.988592164857834,0.972876924889996,0.963759659122294,0.960310690453331,0.949419993232767,0.958978558456532,0.958725859911559,0.953813787711969,0.954848010174422,0.945753998633093,0.780335556923243,0.822858305314845,0.905700766945547,0.935289563336836,0.713030586649876,0.93339511809103,0.907456142132092,0.925822955895825,0.901548256424796,0.904724955651871,0.940741413670109,0.785180494861573,0.797401587299897,0.880095436967536,0.900528476867346,0.96343607212325,0.901715572029429,0.902596085750711,0.955028459978059
"S8096",0.950138667802299,0.909769544956037,0.993242038301701,0.99202185463133,0.993462845524016,0.961090814941229,0.996279271486438,1,0.976451990382602,0.960739596515321,0.988441876412927,0.979219263833553,0.962762906019473,0.964142181874118,0.949546055115441,0.966817497332589,0.960704214440908,0.962678826375325,0.965491805823769,0.960231554958262,0.809920526294945,0.848103996121364,0.923428777060176,0.948976231881376,0.717594425950856,0.945907421201047,0.925480028824557,0.924539168488629,0.905078400406982,0.898594855998482,0.942158136174874,0.80392573882128,0.815083488388941,0.88151140043036,0.902575498455603,0.974543641831764,0.904340351811154,0.903239963613662,0.958190334436337
"S8097",0.891786583474765,0.903079057304739,0.961833007276104,0.96671058041146,0.95900566057295,0.980065545403206,0.967615801619317,0.976451990382602,1,0.995513653907437,0.96868089123495,0.998582068809849,0.90429890469093,0.907407158972617,0.884180197786062,0.905645367690485,0.904891457615083,0.903037459855424,0.99019120628742,0.995357800397936,0.889712179221095,0.924866866071406,0.980027782904945,0.986073469167374,0.760872975304396,0.989992317195297,0.980787490964237,0.92614584187604,0.867360878739674,0.8914524969998,0.881480784012395,0.777374031647641,0.798634379238743,0.900801904771979,0.896300442674931,0.925803496634628,0.917672679536123,0.907035002630242,0.901839063780955
"S8098",0.865143671705751,0.895002236710491,0.948000589481582,0.946019253379214,0.936964882034936,0.986156757225279,0.946599716566239,0.960739596515321,0.995513653907437,1,0.955902373387589,0.990853831187267,0.87451737822926,0.880332099178666,0.853013624591977,0.884823340336266,0.876992088679735,0.879987333657467,0.982931053567755,0.999936222907079,0.9136518350307,0.946184294879887,0.990415701672224,0.990463769114664,0.777240051913295,0.993902329569208,0.99197143502555,0.913075840918951,0.854242622919687,0.879329708728003,0.847270691328113,0.79163484909622,0.812232456847321,0.895109124241686,0.893478111174279,0.910821149613697,0.911866102429283,0.900390113808158,0.877138662970489
