"","S3430","S3450","S4299","S4301","S4302","S4313","S4318","S4326","S4330","S4333","S4346","S4356","S4361","S4368","S4370","S4383","S460"
"S3430",1,NA,-0.5615333664653,-0.215768765251841,-0.271496925764418,0.576482485116802,0.34473283496575,0.404867598439569,-0.0552964618315723,-0.188147531808974,0.621344195341829,0.043516207375761,0.0511660701680868,0.515216369690401,0.209621131815711,0.0221378209528886,-0.2185482894136
"S3450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4299",-0.5615333664653,NA,1,-0.0267150307613368,0.213748399445436,-0.0486665969713134,-0.461335830914127,-0.224748492206853,-0.361522140764862,0.729179133365501,0.00940733169086467,0.229489826288819,0.0396019273021493,-0.450531308566323,0.13435642480595,-0.221566300057057,0.155961881354122
"S4301",-0.215768765251841,NA,-0.0267150307613368,1,0.881990232232067,-0.171121015481372,-0.210570546715566,0.0229936902554225,0.0392419504037146,-0.047258152778315,-0.0406684903620124,-0.259118714364606,0.44026212897242,-0.385280424637333,-0.238017341979886,0.236322303424002,0.313348700819241
"S4302",-0.271496925764418,NA,0.213748399445436,0.881990232232067,1,-0.357835850816221,-0.305041039470607,-0.139633519115755,-0.275554419945351,0.139347017281408,-0.135619702118649,-0.0461640145221975,0.412454638119245,-0.190032348511004,0.0869756611269226,0.101398506369899,0.299335486662478
"S4313",0.576482485116802,NA,-0.0486665969713134,-0.171121015481372,-0.357835850816221,1,0.0699762603503219,0.449941915450411,0.24064580938928,0.261518217779072,0.924801328319636,-0.297770409856669,0.0912501015415525,-0.340540256977272,-0.0374061724318092,-0.0802636386691658,-0.33248024259471
"S4318",0.34473283496575,NA,-0.461335830914127,-0.210570546715566,-0.305041039470607,0.0699762603503219,1,0.0887200919151132,0.669003953411701,-0.0355416184161088,0.0940135429453699,-0.578838436770908,0.45876648323793,0.388698807799782,0.134438682392472,0.147046539859924,-0.0844961519070657
"S4326",0.404867598439569,NA,-0.224748492206853,0.0229936902554225,-0.139633519115755,0.449941915450411,0.0887200919151132,1,0.158159054997751,0.110857835359859,0.337869554541008,0.047973763212843,-0.177575016363574,-0.0980522008632095,-0.406195558876404,0.0389764278625041,-0.0563495144751632
"S4330",-0.0552964618315723,NA,-0.361522140764862,0.0392419504037146,-0.275554419945351,0.24064580938928,0.669003953411701,0.158159054997751,1,-0.127671449731053,0.152444227209835,-0.861508205347015,0.389941230903089,-0.301878464806704,-0.3675473073998,-0.00629710379400574,-0.195099838022189
"S4333",-0.188147531808974,NA,0.729179133365501,-0.047258152778315,0.139347017281408,0.261518217779072,-0.0355416184161088,0.110857835359859,-0.127671449731053,1,0.283455420904348,-0.0961964902704291,0.22155453968381,-0.387936200360945,0.417968572699379,0.153966177427278,0.133212832131257
"S4346",0.621344195341829,NA,0.00940733169086467,-0.0406684903620124,-0.135619702118649,0.924801328319636,0.0940135429453699,0.337869554541008,0.152444227209835,0.283455420904348,1,-0.31536333943795,0.364218528161594,-0.234185311205514,0.125088687293283,-0.255428057257811,-0.206171617477894
"S4356",0.043516207375761,NA,0.229489826288819,-0.259118714364606,-0.0461640145221975,-0.297770409856669,-0.578838436770908,0.047973763212843,-0.861508205347015,-0.0961964902704291,-0.31536333943795,1,-0.631829911369116,0.395057394579506,0.00741533608117306,-0.0574187123361399,0.180390075919832
"S4361",0.0511660701680868,NA,0.0396019273021493,0.44026212897242,0.412454638119245,0.0912501015415525,0.45876648323793,-0.177575016363574,0.389941230903089,0.22155453968381,0.364218528161594,-0.631829911369116,1,-0.112684248792783,0.244594188279203,-0.114836833097368,0.388483686976569
"S4368",0.515216369690401,NA,-0.450531308566323,-0.385280424637333,-0.190032348511004,-0.340540256977272,0.388698807799782,-0.0980522008632095,-0.301878464806704,-0.387936200360945,-0.234185311205514,0.395057394579506,-0.112684248792783,1,0.364491983831998,-0.0273429098070386,-0.0240379004614663
"S4370",0.209621131815711,NA,0.13435642480595,-0.238017341979886,0.0869756611269226,-0.0374061724318092,0.134438682392472,-0.406195558876404,-0.3675473073998,0.417968572699379,0.125088687293283,0.00741533608117306,0.244594188279203,0.364491983831998,1,0.118075046209307,0.0984253900532635
"S4383",0.0221378209528886,NA,-0.221566300057057,0.236322303424002,0.101398506369899,-0.0802636386691658,0.147046539859924,0.0389764278625041,-0.00629710379400574,0.153966177427278,-0.255428057257811,-0.0574187123361399,-0.114836833097368,-0.0273429098070386,0.118075046209307,1,0.222257975150422
"S460",-0.2185482894136,NA,0.155961881354122,0.313348700819241,0.299335486662478,-0.33248024259471,-0.0844961519070657,-0.0563495144751632,-0.195099838022189,0.133212832131257,-0.206171617477894,0.180390075919832,0.388483686976569,-0.0240379004614663,0.0984253900532635,0.222257975150422,1
