"","S791","S804","S809","S831","S850","S864","S869","S891","S893","S911","S928"
"S791",1,0.999874199181395,1,0.999873518588272,0.99990388894801,0.99990388894801,0.99990388894801,0.99990388894801,0.99990388894801,0.99990388894801,0.999894596024469
"S804",0.999874199181395,1,0.999874199181395,0.999852545838888,0.999894104048743,0.999894104048743,0.999894104048743,0.999894104048743,0.999894104048743,0.999894104048743,0.999750830280939
"S809",1,0.999874199181395,1,0.999873518588272,0.99990388894801,0.99990388894801,0.99990388894801,0.99990388894801,0.99990388894801,0.99990388894801,0.999894596024469
"S831",0.999873518588272,0.999852545838888,0.999873518588272,1,0.999898085865319,0.999898085865319,0.999898085865319,0.999898085865319,0.999898085865319,0.999898085865319,0.999910447891375
"S850",0.99990388894801,0.999894104048743,0.99990388894801,0.999898085865319,1,1,1,1,1,1,0.999892584832624
"S864",0.99990388894801,0.999894104048743,0.99990388894801,0.999898085865319,1,1,1,1,1,1,0.999892584832624
"S869",0.99990388894801,0.999894104048743,0.99990388894801,0.999898085865319,1,1,1,1,1,1,0.999892584832624
"S891",0.99990388894801,0.999894104048743,0.99990388894801,0.999898085865319,1,1,1,1,1,1,0.999892584832624
"S893",0.99990388894801,0.999894104048743,0.99990388894801,0.999898085865319,1,1,1,1,1,1,0.999892584832624
"S911",0.99990388894801,0.999894104048743,0.99990388894801,0.999898085865319,1,1,1,1,1,1,0.999892584832624
"S928",0.999894596024469,0.999750830280939,0.999894596024469,0.999910447891375,0.999892584832624,0.999892584832624,0.999892584832624,0.999892584832624,0.999892584832624,0.999892584832624,1
