"","S6784","S6810","S6811","S6815","S6879","S6883","S6905","S6909","S6945","S7043","S7105"
"S6784",1,-0.151601438678735,-0.0894195196787135,-0.402511427726901,-0.521919560268295,0.126865311995549,0.553362615402618,-0.234892270135127,0.663642929023747,-0.13260408580732,NA
"S6810",-0.151601438678735,1,0.871037033532914,-0.0820230703982742,0.0315955616615689,0.16372924315812,0.212587703535528,0.269165218501721,0.32927785408187,0.336191680137523,NA
"S6811",-0.0894195196787135,0.871037033532914,1,-0.0809913243245857,-0.119049293339271,-0.133419076269232,0.323637933973212,0.277679431224007,0.450029735501525,0.493032959576654,NA
"S6815",-0.402511427726901,-0.0820230703982742,-0.0809913243245857,1,0.798836338136775,-0.164921496400957,0.13453888017423,-0.0890964566373578,-0.536255276552788,-0.155398004349241,NA
"S6879",-0.521919560268295,0.0315955616615689,-0.119049293339271,0.798836338136775,1,-0.175574848626431,-0.228991119442464,-0.363277594781699,-0.72732179279446,-0.233596401856577,NA
"S6883",0.126865311995549,0.16372924315812,-0.133419076269232,-0.164921496400957,-0.175574848626431,1,-0.162953992113652,0.0312255952274497,-0.0168636687165107,-0.391374373053198,NA
"S6905",0.553362615402618,0.212587703535528,0.323637933973212,0.13453888017423,-0.228991119442464,-0.162953992113652,1,0.0998502016392679,0.613371198549313,0.0386303480608555,NA
"S6909",-0.234892270135127,0.269165218501721,0.277679431224007,-0.0890964566373578,-0.363277594781699,0.0312255952274497,0.0998502016392679,1,0.424068124532869,0.683226026537836,NA
"S6945",0.663642929023747,0.32927785408187,0.450029735501525,-0.536255276552788,-0.72732179279446,-0.0168636687165107,0.613371198549313,0.424068124532869,1,0.410150966965124,NA
"S7043",-0.13260408580732,0.336191680137523,0.493032959576654,-0.155398004349241,-0.233596401856577,-0.391374373053198,0.0386303480608555,0.683226026537836,0.410150966965124,1,NA
"S7105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
