"","S10015","S10038","S11887","S11924","S11928","S12211","S12290","S12298","S12306","S12317"
"S10015",1,0.916148836934962,0.965090057019269,0.955619598075074,0.976812224797595,0.923427305702703,0.927834969030512,0.973609358025881,0.930156090489453,0.92787623937751
"S10038",0.916148836934962,1,0.959778093361698,0.88776980501205,0.944486220682455,0.970465048122515,0.982405545461084,0.928059301091733,0.988318136214646,0.982538937342149
"S11887",0.965090057019269,0.959778093361698,1,0.96791065835561,0.995554220257878,0.931155059770824,0.945319509569644,0.98475398215238,0.953544132192159,0.945512234934195
"S11924",0.955619598075074,0.88776980501205,0.96791065835561,1,0.97116826433722,0.883592393962002,0.897881589512603,0.98955857656291,0.905471992117691,0.898106141116971
"S11928",0.976812224797595,0.944486220682455,0.995554220257878,0.97116826433722,1,0.930278878670092,0.940710007999647,0.987185236679864,0.946717088691142,0.940847641024979
"S12211",0.923427305702703,0.970465048122515,0.931155059770824,0.883592393962002,0.930278878670092,1,0.99757848441548,0.918273451262981,0.994026305102001,0.997516047286758
"S12290",0.927834969030512,0.982405545461084,0.945319509569644,0.897881589512603,0.940710007999647,0.99757848441548,1,0.930909848051296,0.999051373044579,0.999999447522434
"S12298",0.973609358025881,0.928059301091733,0.98475398215238,0.98955857656291,0.987185236679864,0.918273451262981,0.930909848051296,1,0.938136413233235,0.931112995637159
"S12306",0.930156090489453,0.988318136214646,0.953544132192159,0.905471992117691,0.946717088691142,0.994026305102001,0.999051373044579,0.938136413233235,1,0.999094467117876
"S12317",0.92787623937751,0.982538937342149,0.945512234934195,0.898106141116971,0.940847641024979,0.997516047286758,0.999999447522434,0.931112995637159,0.999094467117876,1
