"","S416","S419","S420","S4396","S4402","S4408","S482","S484"
"S416",1,0.966170075603732,0.402764960114965,0.984213580398299,0.912938998240864,0.93691642816531,0.916183624625289,0.656194850661875
"S419",0.966170075603732,1,0.510432036029333,0.9807333148255,0.826729172779158,0.839382232449071,0.938702359014984,0.723257021919253
"S420",0.402764960114965,0.510432036029333,1,0.49374073547647,0.198302803650595,0.179317078436914,0.416119758467031,0.792410675728303
"S4396",0.984213580398299,0.9807333148255,0.49374073547647,1,0.890029719835562,0.893841639832365,0.893433885930943,0.692353108795168
"S4402",0.912938998240864,0.826729172779158,0.198302803650595,0.890029719835562,1,0.973061184097741,0.730871020645704,0.362439869533003
"S4408",0.93691642816531,0.839382232449071,0.179317078436914,0.893841639832365,0.973061184097741,1,0.791478276671132,0.401860116359467
"S482",0.916183624625289,0.938702359014984,0.416119758467031,0.893433885930943,0.730871020645704,0.791478276671132,1,0.70115601827876
"S484",0.656194850661875,0.723257021919253,0.792410675728303,0.692353108795168,0.362439869533003,0.401860116359467,0.70115601827876,1
