"","S1034","S1087","S11286","S1199","S1236","S1275","S2447","S2462","S2483","S2494","S2751","S2806","S2928","S2992","S3042","S3058","S3189","S3209","S3383","S3473","S3680","S479","S5707","S6137","S6354","S663","S690"
"S1034",1,0.999845294857752,0.997384828088443,0.999845294857752,0.999819411965941,0.999761241160428,0.999443179930463,0.999443179930463,0.999406005917283,0.999406005917283,0.999563989814516,0.999446742847658,0.999485183095108,0.999099498412321,0.998955504066957,0.998955504066957,0.998499985195684,0.998483064883924,0.99850794320776,0.997736798842723,0.996185581424391,0.999617540325187,0.984864502971277,0.987502080072323,0.987502080072323,0.999939075083217,0.999939075083217
"S1087",0.999845294857752,1,0.997366939067814,1,0.999722477225285,0.999891211691584,0.999592940524338,0.999592940524338,0.999586164501585,0.999586164501585,0.99971293305547,0.999623001705322,0.999591242062627,0.999343694164446,0.999125107411569,0.999125107411569,0.998787948113155,0.99884259159569,0.998773921422465,0.998140647001446,0.996848177846623,0.999678387096972,0.98670788780613,0.98887227089102,0.98887227089102,0.999842117443803,0.999842117443803
"S11286",0.997384828088443,0.997366939067814,1,0.997366939067814,0.997964499281152,0.997171328264504,0.996288456434184,0.996288456434184,0.996398505665663,0.996398505665663,0.996144832294637,0.996156151154866,0.996160221187205,0.995563772737951,0.995619036931599,0.995619036931599,0.99524043902996,0.99515953701519,0.994744567543628,0.994251546115376,0.992813807037773,0.997865275359931,0.983934535640738,0.985185524887213,0.985185524887213,0.997375482516321,0.997375482516321
"S1199",0.999845294857752,1,0.997366939067814,1,0.999722477225285,0.999891211691584,0.999592940524338,0.999592940524338,0.999586164501585,0.999586164501585,0.99971293305547,0.999623001705322,0.999591242062627,0.999343694164446,0.999125107411569,0.999125107411569,0.998787948113155,0.99884259159569,0.998773921422465,0.998140647001446,0.996848177846623,0.999678387096972,0.98670788780613,0.98887227089102,0.98887227089102,0.999842117443803,0.999842117443803
"S1236",0.999819411965941,0.999722477225285,0.997964499281152,0.999722477225285,1,0.999735756749018,0.999532787134074,0.999532787134074,0.999576541489443,0.999576541489443,0.999434531388471,0.999361959014875,0.999395734949356,0.998884480857442,0.998811642679618,0.998811642679618,0.998452726144628,0.998443647881691,0.99819411422856,0.997577608042575,0.996045747882733,0.999812589867783,0.985361799929916,0.987670496554419,0.987670496554419,0.999789319698779,0.999789319698779
"S1275",0.999761241160428,0.999891211691584,0.997171328264504,0.999891211691584,0.999735756749018,1,0.999809247943648,0.999809247943648,0.999667752810127,0.999667752810127,0.999818581493718,0.999755154987264,0.999588332320333,0.999445884718555,0.999269655038495,0.999269655038495,0.998912970514923,0.998929005516121,0.99879421968165,0.998197848685128,0.996994338884222,0.999689578775586,0.987146149152948,0.989497972939092,0.989497972939092,0.999763782875073,0.999763782875073
"S2447",0.999443179930463,0.999592940524338,0.996288456434184,0.999592940524338,0.999532787134074,0.999809247943648,1,1,0.999840380463378,0.999840380463378,0.999866630402934,0.999821918433048,0.999654425933968,0.999444789861134,0.999378544152643,0.999378544152643,0.999043571036591,0.999163669025221,0.998945380607709,0.998550875113938,0.99741603190057,0.999517300411725,0.988089870995186,0.990433259022566,0.990433259022566,0.999479642265594,0.999479642265594
"S2462",0.999443179930463,0.999592940524338,0.996288456434184,0.999592940524338,0.999532787134074,0.999809247943648,1,1,0.999840380463378,0.999840380463378,0.999866630402934,0.999821918433048,0.999654425933968,0.999444789861134,0.999378544152643,0.999378544152643,0.999043571036591,0.999163669025221,0.998945380607709,0.998550875113938,0.99741603190057,0.999517300411725,0.988089870995186,0.990433259022566,0.990433259022566,0.999479642265594,0.999479642265594
"S2483",0.999406005917283,0.999586164501585,0.996398505665663,0.999586164501585,0.999576541489443,0.999667752810127,0.999840380463378,0.999840380463378,1,1,0.99981099916021,0.99979909343407,0.999840127465123,0.999511949382996,0.999459286272334,0.999459286272334,0.999296277888415,0.999390028659385,0.9991193263852,0.9987696333755,0.997684357835535,0.99948443617192,0.988423871637402,0.990524583672033,0.990524583672033,0.999457260114766,0.999457260114766
"S2494",0.999406005917283,0.999586164501585,0.996398505665663,0.999586164501585,0.999576541489443,0.999667752810127,0.999840380463378,0.999840380463378,1,1,0.99981099916021,0.99979909343407,0.999840127465123,0.999511949382996,0.999459286272334,0.999459286272334,0.999296277888415,0.999390028659385,0.9991193263852,0.9987696333755,0.997684357835535,0.99948443617192,0.988423871637402,0.990524583672033,0.990524583672033,0.999457260114766,0.999457260114766
