"","S7985","S7986","S7989","S8007","S8017","S8023","S8033","S8052","S8053","S8065","S8074"
"S7985",1,0.363244507347151,0.345450920756068,0.344708041654094,0.366754361089193,0.37220336081275,0.384982276730843,0.785079898117747,0.785079898117747,NA,0.571428571428571
"S7986",0.363244507347151,1,0.998340130520767,0.998219563939802,0.984887827098367,0.982367606352764,0.97457641693813,0.612546231864714,0.612546231864714,NA,0.333293126120312
"S7989",0.345450920756068,0.998340130520767,1,0.999996852578728,0.987217023760752,0.98413539932869,0.975225593050882,0.613876224948897,0.613876224948897,NA,0.311953000287509
"S8007",0.344708041654094,0.998219563939802,0.999996852578728,1,0.987280924629464,0.984186509342237,0.975237539407204,0.613807247032421,0.613807247032421,NA,0.311146497611999
"S8017",0.366754361089193,0.984887827098367,0.987217023760752,0.987280924629464,1,0.999704162784414,0.99716317156295,0.625338241878998,0.625338241878998,NA,0.304161350017688
"S8023",0.37220336081275,0.982367606352764,0.98413539932869,0.984186509342237,0.999704162784414,1,0.998651615623848,0.626079377284836,0.626079377284836,NA,0.302262115576128
"S8033",0.384982276730843,0.97457641693813,0.975225593050882,0.975237539407204,0.99716317156295,0.998651615623848,1,0.625077762331721,0.625077762331721,NA,0.296050089362396
"S8052",0.785079898117747,0.612546231864714,0.613876224948897,0.613807247032421,0.625338241878998,0.626079377284836,0.625077762331721,1,1,NA,0.684856932400588
"S8053",0.785079898117747,0.612546231864714,0.613876224948897,0.613807247032421,0.625338241878998,0.626079377284836,0.625077762331721,1,1,NA,0.684856932400588
"S8065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8074",0.571428571428571,0.333293126120312,0.311953000287509,0.311146497611999,0.304161350017688,0.302262115576128,0.296050089362396,0.684856932400588,0.684856932400588,NA,1
