"","S3430","S3450","S4299","S4301","S4302","S4313","S4318","S4326","S4330","S4333","S4346","S4356","S4361","S4368","S4370","S4383","S460"
"S3430",1,0.995189618678591,0.987700661965098,0.988476276890431,0.991435143011217,0.995637769562664,0.993769537733271,0.992352828908192,0.990414326827638,0.990325297926323,0.993325239990776,0.989603350561606,0.993454189206701,0.995375461829941,0.998999785859411,0.989057082740791,0.976117728909651
"S3450",0.995189618678591,1,0.993231497869728,0.991142328278817,0.991303333970443,0.997743738850829,0.997415911565764,0.997204768836597,0.990049717337134,0.996481646999254,0.986306846549031,0.974385398514816,0.979898934470103,0.987884595210557,0.996913121684398,0.987954096479132,0.985128325673662
"S4299",0.987700661965098,0.993231497869728,1,0.998977032407516,0.997763609693695,0.997272799616426,0.998573794384575,0.998193279427849,0.997318451222814,0.998831920378647,0.990637804192102,0.969176131645431,0.976455452298921,0.989323577240302,0.992013677585244,0.99676788912044,0.997659609095198
"S4301",0.988476276890431,0.991142328278817,0.998977032407516,1,0.999399233717259,0.996963940336421,0.997547680116059,0.99631022127151,0.999378930423663,0.997087214880618,0.994445041631972,0.975592551179386,0.981854984647623,0.992984088673724,0.992677044346017,0.998927854223154,0.995840651753641
"S4302",0.991435143011217,0.991303333970443,0.997763609693695,0.999399233717259,1,0.997353866155639,0.99735315828739,0.995737487678992,0.999821714308396,0.996214368059664,0.997017172603168,0.98044390072501,0.986702511294576,0.99607812525146,0.994753157321335,0.999549891246473,0.993014987784519
"S4313",0.995637769562664,0.997743738850829,0.997272799616426,0.996963940336421,0.997353866155639,1,0.999423811207775,0.999021964130091,0.996470939090411,0.998641095286009,0.99338310977851,0.979656192883261,0.985595927225876,0.993905981479304,0.998359798425623,0.995433761336691,0.990981260967207
"S4318",0.993769537733271,0.997415911565764,0.998573794384575,0.997547680116059,0.99735315828739,0.999423811207775,1,0.99957328160476,0.996656980147513,0.999408678625391,0.9923653100986,0.976469252701303,0.982499004984313,0.992201471193862,0.996649384810682,0.995506653920666,0.993476737861068
"S4326",0.992352828908192,0.997204768836597,0.998193279427849,0.99631022127151,0.995737487678992,0.999021964130091,0.99957328160476,1,0.99472523239664,0.999631634218772,0.989524422155479,0.972714034384871,0.979143717315088,0.989466140782136,0.995628292988577,0.993683345580113,0.994017337946879
"S4330",0.990414326827638,0.990049717337134,0.997318451222814,0.999378930423663,0.999821714308396,0.996470939090411,0.996656980147513,0.99472523239664,1,0.995334100190238,0.997342154919796,0.981224220877037,0.986886435748261,0.996068262756293,0.993689162503815,0.999639001922804,0.992622795551793
"S4333",0.990325297926323,0.996481646999254,0.998831920378647,0.997087214880618,0.996214368059664,0.998641095286009,0.999408678625391,0.999631634218772,0.995334100190238,1,0.98903466860404,0.970168942574862,0.977159675083691,0.988788868371386,0.994471692359814,0.994371998518246,0.995371536221225
"S4346",0.993325239990776,0.986306846549031,0.990637804192102,0.994445041631972,0.997017172603168,0.99338310977851,0.9923653100986,0.989524422155479,0.997342154919796,0.98903466860404,1,0.991066077712814,0.995339320588131,0.999521314345858,0.994301516930053,0.997158391157974,0.982196265109588
"S4356",0.989603350561606,0.974385398514816,0.969176131645431,0.975592551179386,0.98044390072501,0.979656192883261,0.976469252701303,0.972714034384871,0.981224220877037,0.970168942574862,0.991066077712814,1,0.998298731194212,0.992265734648978,0.986499581470264,0.979967574166531,0.955193874290097
"S4361",0.993454189206701,0.979898934470103,0.976455452298921,0.981854984647623,0.986702511294576,0.985595927225876,0.982499004984313,0.979143717315088,0.986886435748261,0.977159675083691,0.995339320588131,0.998298731194212,1,0.99687138651521,0.991626350325831,0.986555256620107,0.96323321933572
"S4368",0.995375461829941,0.987884595210557,0.989323577240302,0.992984088673724,0.99607812525146,0.993905981479304,0.992201471193862,0.989466140782136,0.996068262756293,0.988788868371386,0.999521314345858,0.992265734648978,0.99687138651521,1,0.99604375975801,0.99593407114858,0.979560239177015
"S4370",0.998999785859411,0.996913121684398,0.992013677585244,0.992677044346017,0.994753157321335,0.998359798425623,0.996649384810682,0.995628292988577,0.993689162503815,0.994471692359814,0.994301516930053,0.986499581470264,0.991626350325831,0.99604375975801,1,0.992614216718745,0.982384661353886
"S4383",0.989057082740791,0.987954096479132,0.99676788912044,0.998927854223154,0.999549891246473,0.995433761336691,0.995506653920666,0.993683345580113,0.999639001922804,0.994371998518246,0.997158391157974,0.979967574166531,0.986555256620107,0.99593407114858,0.992614216718745,1,0.992617244498996
"S460",0.976117728909651,0.985128325673662,0.997659609095198,0.995840651753641,0.993014987784519,0.990981260967207,0.993476737861068,0.994017337946879,0.992622795551793,0.995371536221225,0.982196265109588,0.955193874290097,0.96323321933572,0.979560239177015,0.982384661353886,0.992617244498996,1
