"","S1562","S1566","S1628","S1633","S1681","S1743","S1750","S1761","S1808","S1838","S2162","S2163"
"S1562",1,1,0.99993487824766,0.999970722003098,0.999960333770493,0.999960333770493,0.999952051737389,0.999952051737389,0.999984628652027,0.999951114537628,0.999092887683241,0.999094085185771
"S1566",1,1,0.99993487824766,0.999970722003098,0.999960333770493,0.999960333770493,0.999952051737389,0.999952051737389,0.999984628652027,0.999951114537628,0.999092887683241,0.999094085185771
"S1628",0.99993487824766,0.99993487824766,1,0.999949684873806,0.999917523810948,0.999917523810948,0.999921363578101,0.999921363578101,0.999958508099084,0.999955162463559,0.999102327984785,0.999039641579452
"S1633",0.999970722003098,0.999970722003098,0.999949684873806,1,0.999975151632131,0.999975151632131,0.999971069736501,0.999971069736501,0.999965544619057,0.999966134201961,0.999036548448548,0.999016311659533
"S1681",0.999960333770493,0.999960333770493,0.999917523810948,0.999975151632131,1,1,0.999962200114428,0.999962200114428,0.999961101606131,0.999956275190655,0.998916182698101,0.998873023598099
"S1743",0.999960333770493,0.999960333770493,0.999917523810948,0.999975151632131,1,1,0.999962200114428,0.999962200114428,0.999961101606131,0.999956275190655,0.998916182698101,0.998873023598099
"S1750",0.999952051737389,0.999952051737389,0.999921363578101,0.999971069736501,0.999962200114428,0.999962200114428,1,1,0.999966064241364,0.999948897001717,0.999020051831006,0.99903236545062
"S1761",0.999952051737389,0.999952051737389,0.999921363578101,0.999971069736501,0.999962200114428,0.999962200114428,1,1,0.999966064241364,0.999948897001717,0.999020051831006,0.99903236545062
"S1808",0.999984628652027,0.999984628652027,0.999958508099084,0.999965544619057,0.999961101606131,0.999961101606131,0.999966064241364,0.999966064241364,1,0.99996067920727,0.999125180259205,0.999114553654773
"S1838",0.999951114537628,0.999951114537628,0.999955162463559,0.999966134201961,0.999956275190655,0.999956275190655,0.999948897001717,0.999948897001717,0.99996067920727,1,0.998845504801077,0.998827935016883
"S2162",0.999092887683241,0.999092887683241,0.999102327984785,0.999036548448548,0.998916182698101,0.998916182698101,0.999020051831006,0.999020051831006,0.999125180259205,0.998845504801077,1,0.999949906736111
"S2163",0.999094085185771,0.999094085185771,0.999039641579452,0.999016311659533,0.998873023598099,0.998873023598099,0.99903236545062,0.99903236545062,0.999114553654773,0.998827935016883,0.999949906736111,1
