"","S6785","S6791","S6793","S6795","S6796","S6797","S6798","S6806","S6816","S6821","S6835","S6836","S6861","S6862","S6866","S6867","S6872","S6931","S6955","S7041","S7054"
"S6785",1,NA,0.231900160975362,NA,0.418330013267038,0.418330013267038,0.418330013267038,NA,0.427617987059879,NA,0.11616030457616,NA,0.587872163461324,0.607071965753531,0.325166238571545,0.38575837490523,0.310529501704059,0.364937972129928,0.0690065559342354,0.0713369937623687,0.62242751332868
"S6791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6793",0.231900160975362,NA,1,NA,0.433276616933921,0.433276616933921,0.433276616933921,NA,0.327590393538008,NA,0.974010291144123,NA,0.507121344625055,0.559692475816265,0.636338924687529,0.408099812939392,0.614895218245146,0.695342958960567,0.509050671615963,0.934643981192212,0.602234335273738
"S6795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6796",0.418330013267038,NA,0.433276616933921,NA,1,1,1,NA,0.670820393249937,NA,0.390784865367449,NA,0.941539782056375,0.928254513437878,0.834297687626513,0.516397779494322,0.288675134594813,0.844144919525842,0.346410161513775,0.343183314854007,0.899954554635398
"S6797",0.418330013267038,NA,0.433276616933921,NA,1,1,1,NA,0.670820393249937,NA,0.390784865367449,NA,0.941539782056375,0.928254513437878,0.834297687626513,0.516397779494322,0.288675134594813,0.844144919525842,0.346410161513775,0.343183314854007,0.899954554635398
"S6798",0.418330013267038,NA,0.433276616933921,NA,1,1,1,NA,0.670820393249937,NA,0.390784865367449,NA,0.941539782056375,0.928254513437878,0.834297687626513,0.516397779494322,0.288675134594813,0.844144919525842,0.346410161513775,0.343183314854007,0.899954554635398
"S6806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6816",0.427617987059879,NA,0.327590393538008,NA,0.670820393249937,0.670820393249937,0.670820393249937,NA,1,NA,0.220590163086276,NA,0.769865678012845,0.751930031988439,0.64888568452305,0.346410161513775,0.335658556671309,0.610446689965899,0.516397779494322,0.101679567673333,0.653451587728665
"S6821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6835",0.11616030457616,NA,0.974010291144123,NA,0.390784865367449,0.390784865367449,0.390784865367449,NA,0.220590163086276,NA,1,NA,0.453496046219187,0.49554937325885,0.535589690090752,0.343165991100164,0.545407714479831,0.652996618826931,0.494700558829986,0.974368856218462,0.525449765268363
"S6836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6861",0.587872163461324,NA,0.507121344625055,NA,0.941539782056375,0.941539782056375,0.941539782056375,NA,0.769865678012845,NA,0.453496046219187,NA,1,0.986344444731807,0.793935334904765,0.47623088190061,0.361046596637657,0.825335978730629,0.419868794966265,0.389779724427046,0.91494714729589
"S6862",0.607071965753531,NA,0.559692475816265,NA,0.928254513437878,0.928254513437878,0.928254513437878,NA,0.751930031988439,NA,0.49554937325885,NA,0.986344444731807,1,0.851312876194199,0.553964148766515,0.434809503924968,0.883927555858251,0.455033201781943,0.40856680968118,0.91915579665465
"S6866",0.325166238571545,NA,0.636338924687529,NA,0.834297687626513,0.834297687626513,0.834297687626513,NA,0.64888568452305,NA,0.535589690090752,NA,0.793935334904765,0.851312876194199,1,0.585366132238559,0.586395471608374,0.912095667099825,0.565452776193789,0.438993725343865,0.803281733533836
"S6867",0.38575837490523,NA,0.408099812939392,NA,0.516397779494322,0.516397779494322,0.516397779494322,NA,0.346410161513775,NA,0.343165991100164,NA,0.47623088190061,0.553964148766515,0.585366132238559,1,0.559016994374947,0.741982233216269,0.260874597374975,0.256962307662302,0.701670819780879
"S6872",0.310529501704059,NA,0.614895218245146,NA,0.288675134594813,0.288675134594813,0.288675134594813,NA,0.335658556671309,NA,0.545407714479831,NA,0.361046596637657,0.434809503924968,0.586395471608374,0.559016994374947,1,0.642910050732864,0.833333333333333,0.482647540198127,0.484560532171974
"S6931",0.364937972129928,NA,0.695342958960567,NA,0.844144919525842,0.844144919525842,0.844144919525842,NA,0.610446689965899,NA,0.652996618826931,NA,0.825335978730629,0.883927555858251,0.912095667099825,0.741982233216269,0.642910050732864,1,0.611801499890951,0.544583688420192,0.853586589999565
"S6955",0.0690065559342354,NA,0.509050671615963,NA,0.346410161513775,0.346410161513775,0.346410161513775,NA,0.516397779494322,NA,0.494700558829986,NA,0.419868794966265,0.455033201781943,0.565452776193789,0.260874597374975,0.833333333333333,0.611801499890951,1,0.404047580784306,0.350284722052029
"S7041",0.0713369937623687,NA,0.934643981192212,NA,0.343183314854007,0.343183314854007,0.343183314854007,NA,0.101679567673333,NA,0.974368856218462,NA,0.389779724427046,0.40856680968118,0.438993725343865,0.256962307662302,0.482647540198127,0.544583688420192,0.404047580784306,1,0.490748749611807
"S7054",0.62242751332868,NA,0.602234335273738,NA,0.899954554635398,0.899954554635398,0.899954554635398,NA,0.653451587728665,NA,0.525449765268363,NA,0.91494714729589,0.91915579665465,0.803281733533836,0.701670819780879,0.484560532171974,0.853586589999565,0.350284722052029,0.490748749611807,1
