"","S6809","S6812","S6817","S6831","S6833","S6837","S6840","S6841","S6842","S6844","S6850","S6851","S6853","S6855","S6857","S6859","S6860","S6863","S6869","S6870","S6882","S6897","S6898","S6900","S6959","S6964"
"S6809",1,0.889162163654466,0.871476261749397,0.984044327115508,0.831743144139075,0.619751175114083,0.91086830549693,0.940692614417646,0.787328694277746,0.727944287939699,0.895362307706676,0.914117426639154,0.916629822872701,0.14444192250467,0.809398207066512,0.809419116851757,0.942811079116691,0.946705426356589,0.92438946137741,0.974171395951819,0.961958766783986,0.960220707037123,0.797907036845573,0.965048825004464,0.979755639151002,0.972132544019702
"S6812",0.889162163654466,1,0.996154703871995,0.926831766236195,0.938295614003032,0.754815365409928,0.943272102751054,0.98893209423365,0.868958007602663,0.843493939981557,0.954371016122467,0.983548449805261,0.988438942208443,0.253237735332715,0.955770864491195,0.955785181729138,0.974491462353899,0.94251510372258,0.96590952673882,0.926722067538148,0.941334929369601,0.933103057928178,0.950061626880844,0.929948297989948,0.868880273366041,0.915197965081284
"S6817",0.871476261749397,0.996154703871995,1,0.912936322777602,0.942427651140026,0.789092736718002,0.94629260808196,0.979479351060715,0.890907138056058,0.86797770159323,0.964267124470954,0.979329313151795,0.983777551791665,0.300243371285002,0.950076949332209,0.950076900015336,0.972964036132176,0.930055902153705,0.96281861446327,0.912765738984361,0.931462711423294,0.929062504919361,0.946423334052551,0.919968389070009,0.856609512130615,0.912340293274835
"S6831",0.984044327115508,0.926831766236195,0.912936322777602,1,0.84003416482028,0.638305645879315,0.92798139970987,0.959239380750273,0.792535693688614,0.749737906978514,0.908873492646942,0.938746690376982,0.942080577781834,0.106388655029014,0.856153983473107,0.856187810376159,0.97103750499057,0.977792950338515,0.951426179536328,0.980995199630277,0.987915154034368,0.983192077133945,0.845589763447793,0.980542302739376,0.970483492626189,0.986866242822873
"S6833",0.831743144139075,0.938295614003032,0.942427651140026,0.84003416482028,1,0.819626353722122,0.947135758120695,0.939693874860057,0.948369329191142,0.930874512702057,0.94917355834584,0.963035125137704,0.962582184616382,0.529337279015121,0.862524678911992,0.862555938409347,0.897148269288895,0.830733381078787,0.898961614194368,0.878431895116236,0.87654668961363,0.879905593398674,0.854489751982504,0.867462759261772,0.814604654145032,0.846101476128647
"S6837",0.619751175114083,0.754815365409928,0.789092736718002,0.638305645879315,0.819626353722122,1,0.805329595162006,0.735325608489121,0.834366738194153,0.904554717397282,0.828019770004559,0.745119703432732,0.755846034704797,0.541408053536098,0.726885137103078,0.72677089797776,0.709316889561066,0.627159632977868,0.748113295264609,0.649477539602469,0.649629084904253,0.670612494612019,0.734269285115202,0.645108774728468,0.648990259943351,0.702691873017445
"S6840",0.91086830549693,0.943272102751054,0.94629260808196,0.92798139970987,0.947135758120695,0.805329595162006,1,0.958712505058146,0.940622733491257,0.878128079839082,0.978961468198079,0.976474404278707,0.974351710466142,0.41945443178792,0.857716175737023,0.85770963360678,0.94893233057141,0.923711531924921,0.943244212259447,0.945528663153199,0.952942222263539,0.951516642027354,0.850456736581128,0.951810081027593,0.920386828109464,0.948730512740402
"S6841",0.940692614417646,0.98893209423365,0.979479351060715,0.959239380750273,0.939693874860057,0.735325608489121,0.958712505058146,1,0.877049484001539,0.838584021171207,0.96271043698388,0.987265323286837,0.992119338240686,0.245789040787203,0.936010941344684,0.936033976419302,0.981586141212748,0.958438281282024,0.97802409697673,0.956945871623065,0.966572941026127,0.954426525650197,0.928187289124561,0.954552631883474,0.91403920058248,0.945507570759084
"S6842",0.787328694277746,0.868958007602663,0.890907138056058,0.792535693688614,0.948369329191142,0.834366738194153,0.940622733491257,0.877049484001539,1,0.925876547709498,0.954859223093312,0.911361476996987,0.907718318920757,0.626453975601368,0.782592004642494,0.782563000767511,0.869040991660037,0.786143931536699,0.860333252147401,0.823815244029022,0.838944071375449,0.845035335314601,0.781685263749511,0.833846158562996,0.77848054268279,0.835653515044235
"S6844",0.727944287939699,0.843493939981557,0.86797770159323,0.749737906978514,0.930874512702057,0.904554717397282,0.878128079839082,0.838584021171207,0.925876547709498,1,0.896873627656822,0.862905767235834,0.867921331276503,0.576600485312883,0.806851136492698,0.806856284491776,0.818299502983575,0.72975682329433,0.830683699789547,0.780096726656776,0.77679813029089,0.797847927189213,0.806480660875867,0.767906092713129,0.728014626716997,0.790687804413347
