"","S7985","S7986","S7989","S8007","S8017","S8023","S8033","S8052","S8053","S8065","S8074"
"S7985",1,0.999944039036593,0.999879725800587,0.99985108474177,0.99985108474177,0.999755407752019,0.999494902977576,0.999356258089213,0.999356258089213,0.998913741820779,0.998842568522197
"S7986",0.999944039036593,1,0.999912674758109,0.999846462722638,0.999846462722638,0.999733910494544,0.999545095913522,0.999231460140641,0.999231460140641,0.998784779387386,0.998702212787272
"S7989",0.999879725800587,0.999912674758109,1,0.999924126572292,0.999924126572292,0.999902179205927,0.999776141112359,0.999543898943867,0.999543898943867,0.999147056325364,0.999072350086298
"S8007",0.99985108474177,0.999846462722638,0.999924126572292,1,1,0.999796901312581,0.999602048517861,0.99944498491731,0.99944498491731,0.998946025755548,0.998905505646874
"S8017",0.99985108474177,0.999846462722638,0.999924126572292,1,1,0.999796901312581,0.999602048517861,0.99944498491731,0.99944498491731,0.998946025755548,0.998905505646874
"S8023",0.999755407752019,0.999733910494544,0.999902179205927,0.999796901312581,0.999796901312581,1,0.99983543820688,0.999780128098517,0.999780128098517,0.999531293103304,0.99941988257715
"S8033",0.999494902977576,0.999545095913522,0.999776141112359,0.999602048517861,0.999602048517861,0.99983543820688,1,0.999762119172852,0.999762119172852,0.999611648984123,0.999577017755706
"S8052",0.999356258089213,0.999231460140641,0.999543898943867,0.99944498491731,0.99944498491731,0.999780128098517,0.999762119172852,1,1,0.999881838846962,0.999884158208407
"S8053",0.999356258089213,0.999231460140641,0.999543898943867,0.99944498491731,0.99944498491731,0.999780128098517,0.999762119172852,1,1,0.999881838846962,0.999884158208407
"S8065",0.998913741820779,0.998784779387386,0.999147056325364,0.998946025755548,0.998946025755548,0.999531293103304,0.999611648984123,0.999881838846962,0.999881838846962,1,0.999936774075633
"S8074",0.998842568522197,0.998702212787272,0.999072350086298,0.998905505646874,0.998905505646874,0.99941988257715,0.999577017755706,0.999884158208407,0.999884158208407,0.999936774075633,1
