"","S6784","S6810","S6811","S6815","S6879","S6883","S6905","S6909","S6945","S7043","S7105"
"S6784",1,0.139293772992328,0.137873312269336,0.22155443947562,0.190918381994632,0.233447078544357,0.245514068077075,0.245514068077075,0.23516495784745,0.265947356119748,0.369329674053428
"S6810",0.139293772992328,1,0.999993748338497,0.91542047103132,0.986437024312867,0.964135513468695,0.989084529547381,0.989084529547381,0.862469363586071,0.948943977329699,0.873161483738638
"S6811",0.137873312269336,0.999993748338497,1,0.916239824132513,0.986555329044021,0.964452866137344,0.988989028701371,0.988989028701371,0.863310333745542,0.949258680933343,0.87323160270628
"S6815",0.22155443947562,0.91542047103132,0.916239824132513,1,0.941214080666867,0.979089751181119,0.914830583982235,0.914830583982235,0.95647763005077,0.955805022523386,0.893748351712408
"S6879",0.190918381994632,0.986437024312867,0.986555329044021,0.941214080666867,1,0.986699067773921,0.989354910242164,0.989354910242164,0.910532869245422,0.969679021269762,0.909228353807854
"S6883",0.233447078544357,0.964135513468695,0.964452866137344,0.979089751181119,0.986699067773921,1,0.968182364588699,0.968182364588699,0.954449012959218,0.980806383909546,0.931530244212439
"S6905",0.245514068077075,0.989084529547381,0.988989028701371,0.914830583982235,0.989354910242164,0.968182364588699,1,1,0.877332151463222,0.966781174677646,0.915244087403149
"S6909",0.245514068077075,0.989084529547381,0.988989028701371,0.914830583982235,0.989354910242164,0.968182364588699,1,1,0.877332151463222,0.966781174677646,0.915244087403149
"S6945",0.23516495784745,0.862469363586071,0.863310333745542,0.95647763005077,0.910532869245422,0.954449012959218,0.877332151463222,0.877332151463222,1,0.940080388281496,0.939637651606345
"S7043",0.265947356119748,0.948943977329699,0.949258680933343,0.955805022523386,0.969679021269762,0.980806383909546,0.966781174677646,0.966781174677646,0.940080388281496,1,0.960527122241077
"S7105",0.369329674053428,0.873161483738638,0.87323160270628,0.893748351712408,0.909228353807854,0.931530244212439,0.915244087403149,0.915244087403149,0.939637651606345,0.960527122241077,1
