"","S7985","S7986","S7989","S8007","S8017","S8023","S8033","S8052","S8053","S8065","S8074"
"S7985",1,0.999907227775827,0.999898483175861,0.999893605177869,0.999893605177869,0.999789227198823,0.999583670473936,0.999434751203049,0.999434751203049,0.999028707190454,0.998997343855685
"S7986",0.999907227775827,1,0.999890268060468,0.999939763535041,0.999939763535041,0.99988450066561,0.999695151441734,0.999602615804055,0.999602615804055,0.999327623868244,0.999244977580179
"S7989",0.999898483175861,0.999890268060468,1,0.99989530981339,0.99989530981339,0.99989947584201,0.999776590565473,0.999705344137752,0.999705344137752,0.99930670377305,0.999314399710203
"S8007",0.999893605177869,0.999939763535041,0.99989530981339,1,1,0.999929995075366,0.9997882215315,0.999631662017367,0.999631662017367,0.999465166415785,0.999380387868162
"S8017",0.999893605177869,0.999939763535041,0.99989530981339,1,1,0.999929995075366,0.9997882215315,0.999631662017367,0.999631662017367,0.999465166415785,0.999380387868162
"S8023",0.999789227198823,0.99988450066561,0.99989947584201,0.999929995075366,0.999929995075366,1,0.999927585987606,0.999815768971383,0.999815768971383,0.99960282999708,0.999587038830382
"S8033",0.999583670473936,0.999695151441734,0.999776590565473,0.9997882215315,0.9997882215315,0.999927585987606,1,0.999887683050943,0.999887683050943,0.999708575947201,0.999734707232501
"S8052",0.999434751203049,0.999602615804055,0.999705344137752,0.999631662017367,0.999631662017367,0.999815768971383,0.999887683050943,1,1,0.999774913036315,0.999837493868865
"S8053",0.999434751203049,0.999602615804055,0.999705344137752,0.999631662017367,0.999631662017367,0.999815768971383,0.999887683050943,1,1,0.999774913036315,0.999837493868865
"S8065",0.999028707190454,0.999327623868244,0.99930670377305,0.999465166415785,0.999465166415785,0.99960282999708,0.999708575947201,0.999774913036315,0.999774913036315,1,0.999946615721753
"S8074",0.998997343855685,0.999244977580179,0.999314399710203,0.999380387868162,0.999380387868162,0.999587038830382,0.999734707232501,0.999837493868865,0.999837493868865,0.999946615721753,1
