"","S1283","S1362","S374","S439","S553","S560","S592","S609","S660","S969"
"S1283",1,0.985550680847553,0.988320899561445,0.964670988298969,0.982879883117191,0.949783742748286,0.951679242360036,0.95102409474761,0.905413244713445,0.984335219831502
"S1362",0.985550680847553,1,0.968855500765454,0.9626169950452,0.961802744298992,0.950665086033925,0.951752461128479,0.947428733645023,0.912569597068906,0.974658055324132
"S374",0.988320899561445,0.968855500765454,1,0.982581054058132,0.996264613336561,0.968104409259837,0.973032398031548,0.973606149625969,0.920789191312248,0.993460026418514
"S439",0.964670988298969,0.9626169950452,0.982581054058132,1,0.972144482257851,0.992938828591341,0.994318756547695,0.995608598468193,0.949105203447518,0.98949411091869
"S553",0.982879883117191,0.961802744298992,0.996264613336561,0.972144482257851,1,0.956832475204617,0.966289948889644,0.965305865966653,0.920539308384366,0.990548812162578
"S560",0.949783742748286,0.950665086033925,0.968104409259837,0.992938828591341,0.956832475204617,1,0.996308465714696,0.997734766879966,0.973324629797186,0.974187389757134
"S592",0.951679242360036,0.951752461128479,0.973032398031548,0.994318756547695,0.966289948889644,0.996308465714696,1,0.998722845904849,0.973769120137054,0.981520058947047
"S609",0.95102409474761,0.947428733645023,0.973606149625969,0.995608598468193,0.965305865966653,0.997734766879966,0.998722845904849,1,0.968811719672421,0.980741454634168
"S660",0.905413244713445,0.912569597068906,0.920789191312248,0.949105203447518,0.920539308384366,0.973324629797186,0.973769120137054,0.968811719672421,1,0.932205557328829
"S969",0.984335219831502,0.974658055324132,0.993460026418514,0.98949411091869,0.990548812162578,0.974187389757134,0.981520058947047,0.980741454634168,0.932205557328829,1
