"","S1835","S1849","S1852","S1908","S2071","S2168","S2201","S2267","S2301","S2308","S2446","S2472","S2749"
"S1835",1,0.988953964355236,0.487967698150589,-0.158644995665203,0.879522639496697,0.955454965340309,0.965480191333373,0.947656431541164,0.917990369080667,0.896625086252972,0.93396768747858,0.905976438411154,0.814767395869658
"S1849",0.988953964355236,1,0.47386224133445,-0.194812889348006,0.870673817209568,0.98445477217051,0.981541257693865,0.952210138180247,0.941407916345394,0.923730046897684,0.955433010993998,0.932931417094451,0.861898890956851
"S1852",0.487967698150589,0.47386224133445,1,0.648900312600316,0.771493868700188,0.383428014195629,0.326470174283285,0.470350357499611,0.216281197204667,0.186172942687949,0.231868423724946,0.163725258239473,0.195513039131812
"S1908",-0.158644995665203,-0.194812889348006,0.648900312600316,1,0.260409173923496,-0.313057420767398,-0.373577054102037,-0.159379259406463,-0.482207763795767,-0.504818454792135,-0.423533531024019,-0.505325244246475,-0.499155824809772
"S2071",0.879522639496697,0.870673817209568,0.771493868700188,0.260409173923496,1,0.799970629239856,0.77048454411365,0.862720594015051,0.681010177506074,0.644776801482424,0.703921852504328,0.654002939868466,0.581973615949332
"S2168",0.955454965340309,0.98445477217051,0.383428014195629,-0.313057420767398,0.799970629239856,1,0.987804336498561,0.914795157137884,0.965818808857678,0.956039296324998,0.978916448896979,0.964850403452631,0.922104124962113
"S2201",0.965480191333373,0.981541257693865,0.326470174283285,-0.373577054102037,0.77048454411365,0.987804336498561,1,0.930258991193181,0.985765056220759,0.97479128360852,0.979224383113937,0.979763113914179,0.917046391816495
"S2267",0.947656431541164,0.952210138180247,0.470350357499611,-0.159379259406463,0.862720594015051,0.914795157137884,0.930258991193181,1,0.893535006244846,0.859483710341244,0.880237167779891,0.86942952026932,0.746040179149455
"S2301",0.917990369080667,0.941407916345394,0.216281197204667,-0.482207763795767,0.681010177506074,0.965818808857678,0.985765056220759,0.893535006244846,1,0.996851261151074,0.965034074048337,0.989198465784311,0.948439192530085
"S2308",0.896625086252972,0.923730046897684,0.186172942687949,-0.504818454792135,0.644776801482424,0.956039296324998,0.97479128360852,0.859483710341244,0.996851261151074,1,0.957681898741382,0.986982317319906,0.965382412782011
"S2446",0.93396768747858,0.955433010993998,0.231868423724946,-0.423533531024019,0.703921852504328,0.978916448896979,0.979224383113937,0.880237167779891,0.965034074048337,0.957681898741382,1,0.979097427240915,0.904638231200257
"S2472",0.905976438411154,0.932931417094451,0.163725258239473,-0.505325244246475,0.654002939868466,0.964850403452631,0.979763113914179,0.86942952026932,0.989198465784311,0.986982317319906,0.979097427240915,1,0.94629773319401
"S2749",0.814767395869658,0.861898890956851,0.195513039131812,-0.499155824809772,0.581973615949332,0.922104124962113,0.917046391816495,0.746040179149455,0.948439192530085,0.965382412782011,0.904638231200257,0.94629773319401,1
