"","S2679","S3237","S3782","S4441","S5116","S5561","S6024","S675"
"S2679",1,0.459858149408145,-0.414299577435858,0.353162211708301,0.204475934734079,-0.0913529858812735,0.257701534004581,NA
"S3237",0.459858149408145,1,-0.228174954035762,-0.0891963611414558,-0.365686119052669,0.0574243790577999,0.141787619727997,NA
"S3782",-0.414299577435858,-0.228174954035762,1,-0.174354904381783,0.373141399230285,-0.462851934457317,-0.403353867563042,NA
"S4441",0.353162211708301,-0.0891963611414558,-0.174354904381783,1,-0.00110876814600199,-0.115095507601607,0.083778299907544,NA
"S5116",0.204475934734079,-0.365686119052669,0.373141399230285,-0.00110876814600199,1,-0.693713219455953,0.2111384593391,NA
"S5561",-0.0913529858812735,0.0574243790577999,-0.462851934457317,-0.115095507601607,-0.693713219455953,1,0.0588914070083591,NA
"S6024",0.257701534004581,0.141787619727997,-0.403353867563042,0.083778299907544,0.2111384593391,0.0588914070083591,1,NA
"S675",NA,NA,NA,NA,NA,NA,NA,NA
