"","S1112","S1117","S1209","S1265","S1355","S1387","S1392","S1414","S1416"
"S1112",1,0.215314600368405,0.0295646810376073,0.436374631282,0.0739081244527709,0.616816817475205,-0.037225629747889,0.0441955851210618,-0.364588719705566
"S1117",0.215314600368405,1,0.496034202885251,0.00860271856132171,-0.158758744675626,-0.105385501764773,-0.14943211395857,0.161153705703926,0.293251669886191
"S1209",0.0295646810376073,0.496034202885251,1,-0.00406434872601987,0.0280750602731343,0.241079920266188,0.0283298262829856,0.119453704424066,0.348511324919967
"S1265",0.436374631282,0.00860271856132171,-0.00406434872601987,1,-0.0573632413601759,-0.0318162785956829,0.288847579699952,0.448807408805733,-0.252325528214591
"S1355",0.0739081244527709,-0.158758744675626,0.0280750602731343,-0.0573632413601759,1,0.0763890685780819,0.544629067781841,0.212413525719004,-0.0825001514621986
"S1387",0.616816817475205,-0.105385501764773,0.241079920266188,-0.0318162785956829,0.0763890685780819,1,0.181705797837981,-0.27790128006943,0.0935862368866415
"S1392",-0.037225629747889,-0.14943211395857,0.0283298262829856,0.288847579699952,0.544629067781841,0.181705797837981,1,0.442509577248819,0.319783234434621
"S1414",0.0441955851210618,0.161153705703926,0.119453704424066,0.448807408805733,0.212413525719004,-0.27790128006943,0.442509577248819,1,0.217464313566949
"S1416",-0.364588719705566,0.293251669886191,0.348511324919967,-0.252325528214591,-0.0825001514621986,0.0935862368866415,0.319783234434621,0.217464313566949,1
