"","S6784","S6810","S6811","S6815","S6879","S6883","S6905","S6909","S6945","S7043","S7105"
"S6784",1,0.999469323763472,0.99948755945634,0.999469323763472,0.997608735147923,0.997868140923507,0.996689120426399,0.996689120426399,0.996441530098855,0.99602518448523,0.993977975963962
"S6810",0.999469323763472,1,0.999904825351658,1,0.99912105212909,0.999250441909028,0.998599543271358,0.998599543271358,0.998345645911924,0.998120326648412,0.996556934973798
"S6811",0.99948755945634,0.999904825351658,1,0.999904825351658,0.998982676662331,0.999196238663618,0.998481771876966,0.998481771876966,0.99812981409904,0.997928942978276,0.996337621036862
"S6815",0.999469323763472,1,0.999904825351658,1,0.99912105212909,0.999250441909028,0.998599543271358,0.998599543271358,0.998345645911924,0.998120326648412,0.996556934973798
"S6879",0.997608735147923,0.99912105212909,0.998982676662331,0.99912105212909,1,0.999951025307245,0.999890860233221,0.999890860233221,0.999833851371982,0.999780567567196,0.999090756941941
"S6883",0.997868140923507,0.999250441909028,0.999196238663618,0.999250441909028,0.999951025307245,1,0.99982066549624,0.99982066549624,0.999734349358097,0.999653588560538,0.99884858288469
"S6905",0.996689120426399,0.998599543271358,0.998481771876966,0.998599543271358,0.999890860233221,0.99982066549624,1,1,0.999915761645876,0.999945278795354,0.999473236060335
"S6909",0.996689120426399,0.998599543271358,0.998481771876966,0.998599543271358,0.999890860233221,0.99982066549624,1,1,0.999915761645876,0.999945278795354,0.999473236060335
"S6945",0.996441530098855,0.998345645911924,0.99812981409904,0.998345645911924,0.999833851371982,0.999734349358097,0.999915761645876,0.999915761645876,1,0.999957159838929,0.999593010532481
"S7043",0.99602518448523,0.998120326648412,0.997928942978276,0.998120326648412,0.999780567567196,0.999653588560538,0.999945278795354,0.999945278795354,0.999957159838929,1,0.99971280667069
"S7105",0.993977975963962,0.996556934973798,0.996337621036862,0.996556934973798,0.999090756941941,0.99884858288469,0.999473236060335,0.999473236060335,0.999593010532481,0.99971280667069,1
