"","S6809","S6812","S6817","S6831","S6833","S6837","S6840","S6841","S6842","S6844","S6850","S6851","S6853","S6855","S6857","S6859","S6860","S6863","S6869","S6870","S6882","S6897","S6898","S6900","S6959","S6964"
"S6809",1,-0.149071198499986,-0.1,NA,-0.522092563786624,NA,NA,-0.276432802575278,NA,NA,NA,-0.42236839574996,-0.486925840548177,NA,-0.41134071578286,-0.411709791917395,NA,-0.1,-0.0766064266294869,NA,-0.1,NA,-0.408564367298529,-0.239045721866879,NA,NA
"S6812",-0.149071198499986,1,0.670820393249937,NA,0.209539519031237,NA,NA,0.595229110444319,NA,NA,NA,0.592592592592593,0.604888488592748,NA,0.313567743544305,0.314701645770826,NA,0.670820393249937,0.639509462505696,NA,0.670820393249937,NA,0.304525899487901,0.623609564462324,NA,NA
"S6817",-0.1,0.670820393249937,1,NA,0.361448698006125,NA,NA,0.737154140200741,NA,NA,NA,0.670820393249937,0.788356122792286,NA,0.536198084029015,0.537142485296135,NA,1,0.934598404879741,NA,1,NA,0.550673712445843,0.418330013267038,NA,NA
"S6831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6833",-0.522092563786624,0.209539519031237,0.361448698006125,NA,1,NA,NA,0.592096453789738,NA,NA,NA,0.868092293129412,0.735655988160975,NA,0.785970815616339,0.786151863328435,NA,0.361448698006125,0.412262809332599,NA,0.361448698006125,NA,0.776185815311996,0.600019200921649,NA,NA
"S6837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6841",-0.276432802575278,0.595229110444319,0.737154140200741,NA,0.592096453789738,NA,NA,1,NA,NA,NA,0.847056811016916,0.92583575224218,NA,0.804464420641892,0.805108986769831,NA,0.737154140200741,0.875296540616615,NA,0.737154140200741,NA,0.811862814058331,0.752578675669711,NA,NA
"S6842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6851",-0.42236839574996,0.592592592592593,0.670820393249937,NA,0.868092293129412,NA,NA,0.847056811016916,NA,NA,NA,1,0.921734839760378,NA,0.805708346599327,0.806396782434984,NA,0.670820393249937,0.723254749262395,NA,0.670820393249937,NA,0.798387466918279,0.786935878964361,NA,NA
"S6853",-0.486925840548177,0.604888488592748,0.788356122792286,NA,0.735655988160975,NA,NA,0.92583575224218,NA,NA,NA,0.921734839760378,1,NA,0.862523295937051,0.863346937615529,NA,0.788356122792286,0.838398960761659,NA,0.788356122792286,NA,0.863311363425192,0.665128794568432,NA,NA
"S6855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6857",-0.41134071578286,0.313567743544305,0.536198084029015,NA,0.785970815616339,NA,NA,0.804464420641892,NA,NA,NA,0.805708346599327,0.862523295937051,NA,1,0.999997447087038,NA,0.536198084029015,0.665639783504571,NA,0.536198084029015,NA,0.997359956759743,0.530157959072021,NA,NA
"S6859",-0.411709791917395,0.314701645770826,0.537142485296135,NA,0.786151863328435,NA,NA,0.805108986769831,NA,NA,NA,0.806396782434984,0.863346937615529,NA,0.999997447087038,1,NA,0.537142485296135,0.666386177060418,NA,0.537142485296135,NA,0.997321732935712,0.531079118354614,NA,NA
"S6860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6863",-0.1,0.670820393249937,1,NA,0.361448698006125,NA,NA,0.737154140200741,NA,NA,NA,0.670820393249937,0.788356122792286,NA,0.536198084029015,0.537142485296135,NA,1,0.934598404879741,NA,1,NA,0.550673712445843,0.418330013267038,NA,NA
"S6869",-0.0766064266294869,0.639509462505696,0.934598404879741,NA,0.412262809332599,NA,NA,0.875296540616615,NA,NA,NA,0.723254749262395,0.838398960761659,NA,0.665639783504571,0.666386177060418,NA,0.934598404879741,1,NA,0.934598404879741,NA,0.689386923675484,0.521904498768702,NA,NA
"S6870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6882",-0.1,0.670820393249937,1,NA,0.361448698006125,NA,NA,0.737154140200741,NA,NA,NA,0.670820393249937,0.788356122792286,NA,0.536198084029015,0.537142485296135,NA,1,0.934598404879741,NA,1,NA,0.550673712445843,0.418330013267038,NA,NA
"S6897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
