"","S1283","S1362","S374","S439","S553","S560","S592","S609","S660","S969"
"S1283",1,0.98026376749654,0.984569348480427,0.962667241043887,0.977741536538211,0.951612474375395,0.952345632043656,0.951353151854995,0.908607107710892,0.980816500833412
"S1362",0.98026376749654,1,0.956829075699062,0.9547711823457,0.945819199119231,0.9532414836675,0.948051108119208,0.945138240910552,0.924408678405706,0.960184842736288
"S374",0.984569348480427,0.956829075699062,1,0.983622171018396,0.995715409462178,0.969724758742327,0.975178931669381,0.975420973631939,0.923854498827621,0.995563982583405
"S439",0.962667241043887,0.9547711823457,0.983622171018396,1,0.970489075584911,0.99295220194784,0.994748689360921,0.995682899094414,0.949261848106896,0.990521161692308
"S553",0.977741536538211,0.945819199119231,0.995715409462178,0.970489075584911,1,0.954832268986253,0.965487064931346,0.963823723002181,0.918710105822636,0.990245388978832
"S560",0.951612474375395,0.9532414836675,0.969724758742327,0.99295220194784,0.954832268986253,1,0.995709644030239,0.997819836801386,0.972527654407206,0.976122363482997
"S592",0.952345632043656,0.948051108119208,0.975178931669381,0.994748689360921,0.965487064931346,0.995709644030239,1,0.998582923633511,0.97206716033016,0.982306573313003
"S609",0.951353151854995,0.945138240910552,0.975420973631939,0.995682899094414,0.963823723002181,0.997819836801386,0.998582923633511,1,0.967432127393204,0.981465406822754
"S660",0.908607107710892,0.924408678405706,0.923854498827621,0.949261848106896,0.918710105822636,0.972527654407206,0.97206716033016,0.967432127393204,1,0.932474007822237
"S969",0.980816500833412,0.960184842736288,0.995563982583405,0.990521161692308,0.990245388978832,0.976122363482997,0.982306573313003,0.981465406822754,0.932474007822237,1
