"","S1095","S1657","S2075","S4061","S4714","S5118","S522","S5934","S8253"
"S1095",1,-0.472672881076725,0.00361964470535604,0.0010936689481651,0.286808713681952,0.390545957495515,0.202327665928989,0.0812112856128688,0.376763667399165
"S1657",-0.472672881076725,1,0.651471347311511,0.658078566085175,-0.290687421918917,-0.370880868767499,-0.436578080757762,-0.0603266819298344,-0.396687878006582
"S2075",0.00361964470535604,0.651471347311511,1,0.987051433175238,0.346709865212738,-0.181398540747128,-0.197443528591059,-0.0740624877787349,-0.222229106624618
"S4061",0.0010936689481651,0.658078566085175,0.987051433175238,1,0.371550503059934,-0.26818837015478,-0.143687744532468,-0.0581415256665429,-0.305008717728167
"S4714",0.286808713681952,-0.290687421918917,0.346709865212738,0.371550503059934,1,-0.326564550988763,0.664681339789241,0.191955905876597,-0.33536249630575
"S5118",0.390545957495515,-0.370880868767499,-0.181398540747128,-0.26818837015478,-0.326564550988763,1,-0.22030684776642,-0.0764191430113424,0.998553485161133
"S522",0.202327665928989,-0.436578080757762,-0.197443528591059,-0.143687744532468,0.664681339789241,-0.22030684776642,1,0.536768436889613,-0.210365155411464
"S5934",0.0812112856128688,-0.0603266819298344,-0.0740624877787349,-0.0581415256665429,0.191955905876597,-0.0764191430113424,0.536768436889613,1,-0.0814786585744324
"S8253",0.376763667399165,-0.396687878006582,-0.222229106624618,-0.305008717728167,-0.33536249630575,0.998553485161133,-0.210365155411464,-0.0814786585744324,1
