"","S3430","S3450","S4299","S4301","S4302","S4313","S4318","S4326","S4330","S4333","S4346","S4356","S4361","S4368","S4370","S4383","S460"
"S3430",1,NA,0.0764084135561449,-0.0787710046946118,-0.0771011087377599,0.32557430676221,0.162980582619424,0.473856360262478,0.122300732554077,-0.319675999132072,-0.56641034793318,-0.0623551754922483,-0.343519021806521,-0.0317354576358489,0.374673382781126,-0.195496032848766,-0.00391073157870316
"S3450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4299",0.0764084135561449,NA,1,-0.185961584121029,-0.206326456256477,0.669772754123377,-0.169538085177746,-0.328094868463196,0.0838772990262622,0.413708743539754,-0.261664383473119,-0.458881413620191,-0.29383738810918,-0.640716343668692,0.0515726637586485,-0.424736657685889,0.0371345283329961
"S4301",-0.0787710046946118,NA,-0.185961584121029,1,0.906193614524138,0.065564127252271,0.216723138873826,0.0530928601132496,-0.103123560436268,-0.550170512132179,-0.0571907733099515,0.166850721946058,0.329318906997938,0.398925545952331,0.0737787161226604,0.276632087392213,0.210473001266319
"S4302",-0.0771011087377599,NA,-0.206326456256477,0.906193614524138,1,0.206181458754168,0.128079877152599,0.184660001461126,-0.311062682078676,-0.453819071083816,-0.142452909010416,0.0611932091105068,0.354244330767209,0.206408523861951,-0.302812969038862,0.218445764496809,0.263650606529666
"S4313",0.32557430676221,NA,0.669772754123377,0.065564127252271,0.206181458754168,1,-0.303169405722669,0.167876750230553,0.0630899979656273,0.0421807812781749,-0.737963346729189,-0.245722099048954,-0.193731718483823,-0.790347183758266,-0.250914523731089,0.00327673142446135,0.145512651979799
"S4318",0.162980582619424,NA,-0.169538085177746,0.216723138873826,0.128079877152599,-0.303169405722669,1,0.145152583629485,-0.664115010090133,-0.188491124668778,-0.0197991696382135,-0.538394360489941,-0.464030474763851,0.333488466997833,0.481039539385877,-0.0955530444450999,0.209789288585226
"S4326",0.473856360262478,NA,-0.328094868463196,0.0530928601132496,0.184660001461126,0.167876750230553,0.145152583629485,1,-0.0990417546616061,-0.731981599751059,-0.357154706066622,0.0439674185335846,0.0637262192258853,-0.0381507970662639,-0.0756425777385796,0.103896910484783,-0.0809802978100436
"S4330",0.122300732554077,NA,0.0838772990262622,-0.103123560436268,-0.311062682078676,0.0630899979656273,-0.664115010090133,-0.0990417546616061,1,-0.171139701127884,0.115287901827457,0.774549140410516,0.39577516135893,0.010425292897245,0.28696992557355,0.0539021562726404,-0.313478815125178
"S4333",-0.319675999132072,NA,0.413708743539754,-0.550170512132179,-0.453819071083816,0.0421807812781749,-0.188491124668778,-0.731981599751059,-0.171139701127884,1,0.12999808574664,-0.375312107073282,-0.270937777604912,-0.33526592320698,-0.286163918463435,-0.16069176738867,0.252151486237414
"S4346",-0.56641034793318,NA,-0.261664383473119,-0.0571907733099515,-0.142452909010416,-0.737963346729189,-0.0197991696382135,-0.357154706066622,0.115287901827457,0.12999808574664,1,0.352770153907913,0.58989277519833,0.525022648435806,-0.0147490247928476,-0.35772707082901,-0.0796155612572102
"S4356",-0.0623551754922483,NA,-0.458881413620191,0.166850721946058,0.0611932091105068,-0.245722099048954,-0.538394360489941,0.0439674185335846,0.774549140410516,-0.375312107073282,0.352770153907913,1,0.705257064713411,0.315169034073395,0.0355665396926771,0.172584502399204,-0.257172572086081
"S4361",-0.343519021806521,NA,-0.29383738810918,0.329318906997938,0.354244330767209,-0.193731718483823,-0.464030474763851,0.0637262192258853,0.39577516135893,-0.270937777604912,0.58989277519833,0.705257064713411,1,0.349283973563187,-0.36122102022339,-0.00499873708672609,0.136900954106586
"S4368",-0.0317354576358489,NA,-0.640716343668692,0.398925545952331,0.206408523861951,-0.790347183758266,0.333488466997833,-0.0381507970662639,0.010425292897245,-0.33526592320698,0.525022648435806,0.315169034073395,0.349283973563187,1,0.352255840481089,0.124306301168953,0.150809456552257
"S4370",0.374673382781126,NA,0.0515726637586485,0.0737787161226604,-0.302812969038862,-0.250914523731089,0.481039539385877,-0.0756425777385796,0.28696992557355,-0.286163918463435,-0.0147490247928476,0.0355665396926771,-0.36122102022339,0.352255840481089,1,-0.067192006324336,-0.175638104368151
"S4383",-0.195496032848766,NA,-0.424736657685889,0.276632087392213,0.218445764496809,0.00327673142446135,-0.0955530444450999,0.103896910484783,0.0539021562726404,-0.16069176738867,-0.35772707082901,0.172584502399204,-0.00499873708672609,0.124306301168953,-0.067192006324336,1,0.304043009031194
"S460",-0.00391073157870316,NA,0.0371345283329961,0.210473001266319,0.263650606529666,0.145512651979799,0.209789288585226,-0.0809802978100436,-0.313478815125178,0.252151486237414,-0.0796155612572102,-0.257172572086081,0.136900954106586,0.150809456552257,-0.175638104368151,0.304043009031194,1
