"","S1245","S2548","S3048","S3785","S3908","S4024","S5899","S7644"
"S1245",1,0.999589244205004,0.994422598216397,0.999637268543854,0.995977656895337,0.998965455738204,0.997366143310823,0.996767941083227
"S2548",0.999589244205004,1,0.995559592948132,0.999283873756566,0.996420357569285,0.999337694888385,0.997921266626777,0.997895997885216
"S3048",0.994422598216397,0.995559592948132,1,0.995368818418051,0.999239642627816,0.996062875297851,0.998945730053556,0.999245492355848
"S3785",0.999637268543854,0.999283873756566,0.995368818418051,1,0.996353183713503,0.998510495524254,0.997511824267118,0.997403677711255
"S3908",0.995977656895337,0.996420357569285,0.999239642627816,0.996353183713503,1,0.996929033198418,0.999292078565897,0.998596702009466
"S4024",0.998965455738204,0.999337694888385,0.996062875297851,0.998510495524254,0.996929033198418,1,0.998614352034079,0.997587383893909
"S5899",0.997366143310823,0.997921266626777,0.998945730053556,0.997511824267118,0.999292078565897,0.998614352034079,1,0.998940270412559
"S7644",0.996767941083227,0.997895997885216,0.999245492355848,0.997403677711255,0.998596702009466,0.997587383893909,0.998940270412559,1
