"","S1112","S1265","S1355","S1387","S1392","S1414","S1416"
"S1112",1,0.934563253257759,0.901378265936465,0.924375306018508,0.936479499806366,0.928500690276102,0.928500690276102
"S1265",0.934563253257759,1,0.936897167923432,0.998430594892323,0.995820100900731,0.995423626177276,0.995423626177276
"S1355",0.901378265936465,0.936897167923432,1,0.937887388400016,0.946302410990596,0.946195028440394,0.946195028440394
"S1387",0.924375306018508,0.998430594892323,0.937887388400016,1,0.995988871837984,0.99622151717624,0.99622151717624
"S1392",0.936479499806366,0.995820100900731,0.946302410990596,0.995988871837984,1,0.999105705352016,0.999105705352016
"S1414",0.928500690276102,0.995423626177276,0.946195028440394,0.99622151717624,0.999105705352016,1,1
"S1416",0.928500690276102,0.995423626177276,0.946195028440394,0.99622151717624,0.999105705352016,1,1
