"","S10203","S10328","S10458","S10580","S10806","S10918","S11151","S11264","S11383","S11384","S11498","S11618","S11784","S11804","S11816","S11830","S11849","S11872","S11988","S1296","S1298","S1664","S1697","S176","S3234","S4287","S4401","S4573","S4668","S5110","S5557","S5610","S5646","S6018","S6120","S6165","S6923","S8633","S8702","S8888","S9019","S9163","S9165","S9269","S9272","S9313","S936","S9445","S9447","S9840","S995","S9964"
"S10203",1,0.998918224795586,0.973053847047305,0.972981137747161,0.972833877239806,0.971273045779022,0.984614616158923,0.985365803818127,0.985365803818127,0.987390932339089,0.981460206162977,0.985365803818127,0.99107891800268,0.980497195960835,0.990897420525184,0.991196310227002,0.991065772453761,0.991196310227002,0.97846932780867,0.992573734741366,0.987729028554953,0.94295145745522,0.94295145745522,0.969132558394566,0.988319265224131,0.920691739868645,0.920965240623147,0.875812018049985,0.875812018049985,0.993974965069527,0.993328657872346,0.894187155823139,0.890470252210175,0.992798989921118,0.911833984466205,0.911833984466205,0.993328657872346,0.995362274296133,0.865802278966731,0.995100513123784,0.995982289932569,0.99584420574289,0.972152810610243,0.87669406354067,0.87669406354067,0.968237494465094,0.959455351775099,0.996040450815804,0.972152810610243,0.999959753553842,0.957781831849156,0.999867139576161
"S10328",0.998918224795586,1,0.974383162447007,0.974501553037646,0.974327782889819,0.972806943292118,0.986932202137741,0.987547667914855,0.987547667914855,0.988119787259549,0.981385650879133,0.987547667914855,0.992623099118032,0.980148500940323,0.992504515134323,0.992665596034829,0.992566158926866,0.992665596034829,0.97822943550178,0.995084421130419,0.98775009194633,0.942830793762662,0.942830793762662,0.970959831445733,0.988157740595097,0.918305889483103,0.918643090781197,0.867194155421039,0.867194155421039,0.996008866372777,0.995640089552766,0.887290365535949,0.883444831852976,0.995276306776777,0.908696199469033,0.908696199469033,0.995640089552766,0.994449552871966,0.855006528412225,0.994254962150512,0.995093616482995,0.994936632799071,0.970692082370631,0.867583336424676,0.867583336424676,0.966688564857151,0.961295665528954,0.99517267000962,0.970692082370631,0.998695316887899,0.959339619838578,0.999360422738259
"S10458",0.973053847047305,0.974383162447007,1,0.999961140852901,0.999943547304783,0.999893601230314,0.941579289373465,0.942689253918305,0.942689253918305,0.949012093995557,0.941521325837548,0.942689253918305,0.951710230935448,0.940249090125115,0.95314509408022,0.952369096715851,0.951663708346224,0.952369096715851,0.937004976428205,0.959299390467536,0.952748946160619,0.981497719804457,0.981497719804457,0.999308881550033,0.95131358737958,0.953414356855485,0.952773092682657,0.911713220853977,0.911713220853977,0.959160998108583,0.959757607568935,0.929345596593856,0.926035340953221,0.959764438225925,0.946314250206606,0.946314250206606,0.959757607568935,0.98895001033133,0.879092590580056,0.989513643294733,0.987315087111479,0.984990897252237,0.932829868389271,0.864402444052301,0.864402444052301,0.928724672556221,0.994641317737121,0.985521675100497,0.932829868389271,0.973168796361323,0.993783848604667,0.973420962673743
"S10580",0.972981137747161,0.974501553037646,0.999961140852901,1,0.999945922525154,0.999896626419077,0.941821085522794,0.942883929156947,0.942883929156947,0.948805984890497,0.941151015746015,0.942883929156947,0.951808791821376,0.93983414598126,0.953263820580322,0.952445021127538,0.951735744375351,0.952445021127538,0.936637401878149,0.9597792863532,0.952428356693588,0.980793475473978,0.980793475473978,0.999195565799045,0.951013291540308,0.952182078478051,0.951528059516487,0.909522748312848,0.909522748312848,0.959566645899771,0.960205179393635,0.927528389346883,0.924233349422001,0.960256426737963,0.945009078243529,0.945009078243529,0.960205179393635,0.988948933340067,0.876484399865975,0.989504577926044,0.987349268124902,0.985015252400543,0.932195622775468,0.861956028565764,0.861956028565764,0.928046018474781,0.994457279743496,0.9855419101884,0.932195622775468,0.973073082140398,0.993560606405407,0.973378597952314
"S10806",0.972833877239806,0.974327782889819,0.999943547304783,0.999945922525154,1,0.999901133339305,0.941721053590511,0.942782008132274,0.942782008132274,0.947850812965846,0.940031780823462,0.942782008132274,0.951770282388172,0.938653195075125,0.953266803043739,0.952448054303932,0.951708973894687,0.952448054303932,0.935368681573473,0.959708100207999,0.951485265403154,0.980064710410087,0.980064710410087,0.999067980452025,0.95007841197432,0.951354054225038,0.950728011794267,0.910035053938661,0.910035053938661,0.959475442610406,0.960146540330415,0.927660885823187,0.924342602764158,0.960217792357326,0.944598897362634,0.944598897362634,0.960146540330415,0.988940595721939,0.876493069249747,0.989417226026315,0.987386575386918,0.985233416529819,0.930874890776892,0.861522357354298,0.861522357354298,0.926626328091393,0.993881632652919,0.985708738427813,0.930874890776892,0.972940286026294,0.992949085690084,0.973225033408998
"S10918",0.971273045779022,0.972806943292118,0.999893601230314,0.999896626419077,0.999901133339305,1,0.94043228149451,0.941528569127045,0.941528569127045,0.946084419261112,0.938262769509029,0.941528569127045,0.950265076839523,0.93692360409967,0.951800207826689,0.950965256722282,0.950216673429831,0.950965256722282,0.93359998254529,0.958028423152338,0.949758692646685,0.98014313025042,0.98014313025042,0.999120171984587,0.948309052129549,0.950890974404522,0.950241953991762,0.909347042199783,0.909347042199783,0.957674693087344,0.958424450824327,0.927019432665515,0.92373638670788,0.958470313472918,0.943925824009273,0.943925824009273,0.958424450824327,0.987840391875842,0.875654312202671,0.988343132025266,0.986248802316071,0.984019156493977,0.929258431597421,0.860292408035593,0.860292408035593,0.924959978865778,0.993944048150621,0.984580880391854,0.929258431597421,0.971411221702836,0.992981392668214,0.971609841803014
"S11151",0.984614616158923,0.986932202137741,0.941579289373465,0.941821085522794,0.941721053590511,0.94043228149451,1,0.999966510790712,0.999966510790712,0.979109450911797,0.970252910591868,0.999966510790712,0.998829892112287,0.969044142042023,0.998766793295498,0.998755814439427,0.99884394676718,0.998755814439427,0.967452520776903,0.995718206280951,0.974689830720708,0.890634815367522,0.890634815367522,0.934747364066889,0.976145875836825,0.8579324772949,0.858786273897919,0.797101292797981,0.797101292797981,0.995472729510826,0.99563837144996,0.820791779216553,0.815771123086439,0.995302984496222,0.84600435402238,0.84600435402238,0.99563837144996,0.971943843642753,0.800104230723258,0.970918990932036,0.974450761672013,0.977469631247379,0.956466905034884,0.8334681075497,0.8334681075497,0.951673794898406,0.919251072977822,0.977503836862863,0.956466905034884,0.984612358777693,0.916322251463588,0.984815293069826
"S11264",0.985365803818127,0.987547667914855,0.942689253918305,0.942883929156947,0.942782008132274,0.941528569127045,0.999966510790712,1,1,0.979683016294715,0.970947080423957,1,0.998959666266737,0.969780286918629,0.998860106497004,0.998892714547419,0.998992137133913,0.998892714547419,0.968139170658746,0.995705543806776,0.975437925080648,0.89255317526593,0.89255317526593,0.93603106197958,0.976856083806677,0.860173598407058,0.860995148241589,0.799916235782247,0.799916235782247,0.99550758143239,0.995642893222709,0.823271024613353,0.818297351464284,0.995284223032085,0.848152160565124,0.848152160565124,0.995642893222709,0.972818338359715,0.802833575858274,0.971845964189144,0.975240484602813,0.978136879559768,0.957388650309896,0.835506723485229,0.835506723485229,0.952626636814247,0.920746915746519,0.978220745315505,0.957388650309896,0.985360344849829,0.917845504921909,0.985545035663852
"S11383",0.985365803818127,0.987547667914855,0.942689253918305,0.942883929156947,0.942782008132274,0.941528569127045,0.999966510790712,1,1,0.979683016294715,0.970947080423957,1,0.998959666266737,0.969780286918629,0.998860106497004,0.998892714547419,0.998992137133913,0.998892714547419,0.968139170658746,0.995705543806776,0.975437925080648,0.89255317526593,0.89255317526593,0.93603106197958,0.976856083806677,0.860173598407058,0.860995148241589,0.799916235782247,0.799916235782247,0.99550758143239,0.995642893222709,0.823271024613353,0.818297351464284,0.995284223032085,0.848152160565124,0.848152160565124,0.995642893222709,0.972818338359715,0.802833575858274,0.971845964189144,0.975240484602813,0.978136879559768,0.957388650309896,0.835506723485229,0.835506723485229,0.952626636814247,0.920746915746519,0.978220745315505,0.957388650309896,0.985360344849829,0.917845504921909,0.985545035663852
"S11384",0.987390932339089,0.988119787259549,0.949012093995557,0.948805984890497,0.947850812965846,0.946084419261112,0.979109450911797,0.979683016294715,0.979683016294715,1,0.998881647708579,0.979683016294715,0.985153605083761,0.998580812582742,0.984080426611128,0.98478202808871,0.985178535410707,0.98478202808871,0.998129926188881,0.982139439820712,0.999445128286243,0.934895087428235,0.934895087428235,0.947507138470171,0.999629785505587,0.923653768370688,0.924765883920704,0.865256394428861,0.865256394428861,0.984766185314165,0.983162789234146,0.887751555849664,0.883744035077844,0.981870779753212,0.912644208961887,0.912644208961887,0.983162789234146,0.974996761795682,0.873025753782257,0.975312416677113,0.975563787910256,0.974548817809291,0.99431827974621,0.902478888047487,0.902478888047487,0.992675621802017,0.943404800446619,0.974858566071061,0.99431827974621,0.987272398807013,0.942048280469706,0.988454508040185
"S11498",0.981460206162977,0.981385650879133,0.941521325837548,0.941151015746015,0.940031780823462,0.938262769509029,0.970252910591868,0.970947080423957,0.970947080423957,0.998881647708579,1,0.970947080423957,0.977174147759905,0.999936528605913,0.975796308947806,0.976755066823913,0.977264433338452,0.976755066823913,0.999825833102127,0.972682765652289,0.999123651191362,0.934746593098744,0.934746593098744,0.940902562288782,0.999147966083689,0.929106185794691,0.930462403344137,0.873771676667474,0.873771676667474,0.976081908275677,0.974076520693202,0.895518148634555,0.891799857984326,0.972412143962669,0.919083819675275,0.919083819675275,0.974076520693202,0.968418856593842,0.885752980822086,0.968865886219996,0.968821145824346,0.967344164307319,0.998124160365737,0.916607952556735,0.916607952556735,0.997134168512929,0.938450182759326,0.967691922742806,0.998124160365737,0.981482074257766,0.937296508541762,0.982582135378315
"S11618",0.985365803818127,0.987547667914855,0.942689253918305,0.942883929156947,0.942782008132274,0.941528569127045,0.999966510790712,1,1,0.979683016294715,0.970947080423957,1,0.998959666266737,0.969780286918629,0.998860106497004,0.998892714547419,0.998992137133913,0.998892714547419,0.968139170658746,0.995705543806776,0.975437925080648,0.89255317526593,0.89255317526593,0.93603106197958,0.976856083806677,0.860173598407058,0.860995148241589,0.799916235782247,0.799916235782247,0.99550758143239,0.995642893222709,0.823271024613353,0.818297351464284,0.995284223032085,0.848152160565124,0.848152160565124,0.995642893222709,0.972818338359715,0.802833575858274,0.971845964189144,0.975240484602813,0.978136879559768,0.957388650309896,0.835506723485229,0.835506723485229,0.952626636814247,0.920746915746519,0.978220745315505,0.957388650309896,0.985360344849829,0.917845504921909,0.985545035663852
