"","S1593","S1597","S1599","S1606","S1611","S1760","S1798","S1800","S1806","S1818","S2102","S2109","S2113","S2119","S2136","S2598","S2784","S2785"
"S1593",1,0.99989631298312,1,0.999778943219975,0.999804825220549,0.999514200060113,0.999444794628008,0.999444794628008,0.999444794628008,0.998769689911088,0.999280681275325,0.999252464451107,0.999280681275325,0.999508379304022,0.99895383002066,0.998574892662816,0.997680649127393,0.997680649127393
"S1597",0.99989631298312,1,0.99989631298312,0.999795040793823,0.999894846275805,0.999591755546954,0.999546375876965,0.999546375876965,0.999546375876965,0.998831451079935,0.999228237375039,0.999197638486887,0.999228237375039,0.999496474849076,0.998762801382482,0.998475683189198,0.997408446275601,0.997408446275601
"S1599",1,0.99989631298312,1,0.999778943219975,0.999804825220549,0.999514200060113,0.999444794628008,0.999444794628008,0.999444794628008,0.998769689911088,0.999280681275325,0.999252464451107,0.999280681275325,0.999508379304022,0.99895383002066,0.998574892662816,0.997680649127393,0.997680649127393
"S1606",0.999778943219975,0.999795040793823,0.999778943219975,1,0.999777374403725,0.999833330852542,0.999711225476853,0.999711225476853,0.999711225476853,0.999048876895628,0.999330156641017,0.9993071610221,0.999330156641017,0.999609195457029,0.999079893741109,0.998469925933769,0.997403768597848,0.997403768597848
"S1611",0.999804825220549,0.999894846275805,0.999804825220549,0.999777374403725,1,0.999510478355129,0.999374387220938,0.999374387220938,0.999374387220938,0.998816284936205,0.998945431428736,0.999001142186883,0.998945431428736,0.999238420849692,0.998521032022622,0.997904521686904,0.996709695115525,0.996709695115525
"S1760",0.999514200060113,0.999591755546954,0.999514200060113,0.999833330852542,0.999510478355129,1,0.999914046808418,0.999914046808418,0.999914046808418,0.99931513842039,0.999403403309328,0.999480638831682,0.999403403309328,0.999561582818709,0.999186589102897,0.998418921869612,0.997364893849435,0.997364893849435
"S1798",0.999444794628008,0.999546375876965,0.999444794628008,0.999711225476853,0.999374387220938,0.999914046808418,1,1,1,0.999346260301441,0.999416437333059,0.999399448416332,0.999416437333059,0.999466193735601,0.99917870031495,0.998382522784794,0.997268792567128,0.997268792567128
"S1800",0.999444794628008,0.999546375876965,0.999444794628008,0.999711225476853,0.999374387220938,0.999914046808418,1,1,1,0.999346260301441,0.999416437333059,0.999399448416332,0.999416437333059,0.999466193735601,0.99917870031495,0.998382522784794,0.997268792567128,0.997268792567128
"S1806",0.999444794628008,0.999546375876965,0.999444794628008,0.999711225476853,0.999374387220938,0.999914046808418,1,1,1,0.999346260301441,0.999416437333059,0.999399448416332,0.999416437333059,0.999466193735601,0.99917870031495,0.998382522784794,0.997268792567128,0.997268792567128
"S1818",0.998769689911088,0.998831451079935,0.998769689911088,0.999048876895628,0.998816284936205,0.99931513842039,0.999346260301441,0.999346260301441,0.999346260301441,1,0.9991786216656,0.999280394203826,0.9991786216656,0.999244841409408,0.999403369699464,0.997617813453553,0.996451105148673,0.996451105148673
"S2102",0.999280681275325,0.999228237375039,0.999280681275325,0.999330156641017,0.998945431428736,0.999403403309328,0.999416437333059,0.999416437333059,0.999416437333059,0.9991786216656,1,0.999888801469047,1,0.999816326702525,0.999736670213117,0.999520366392256,0.99891397704121,0.99891397704121
"S2109",0.999252464451107,0.999197638486887,0.999252464451107,0.9993071610221,0.999001142186883,0.999480638831682,0.999399448416332,0.999399448416332,0.999399448416332,0.999280394203826,0.999888801469047,1,0.999888801469047,0.999734490893553,0.99969611298193,0.999219575090557,0.998674698482047,0.998674698482047
"S2113",0.999280681275325,0.999228237375039,0.999280681275325,0.999330156641017,0.998945431428736,0.999403403309328,0.999416437333059,0.999416437333059,0.999416437333059,0.9991786216656,1,0.999888801469047,1,0.999816326702525,0.999736670213117,0.999520366392256,0.99891397704121,0.99891397704121
"S2119",0.999508379304022,0.999496474849076,0.999508379304022,0.999609195457029,0.999238420849692,0.999561582818709,0.999466193735601,0.999466193735601,0.999466193735601,0.999244841409408,0.999816326702525,0.999734490893553,0.999816326702525,1,0.999604304697205,0.999310616293023,0.998619225527091,0.998619225527091
"S2136",0.99895383002066,0.998762801382482,0.99895383002066,0.999079893741109,0.998521032022622,0.999186589102897,0.99917870031495,0.99917870031495,0.99917870031495,0.999403369699464,0.999736670213117,0.99969611298193,0.999736670213117,0.999604304697205,1,0.999059582787708,0.998412514587178,0.998412514587178
"S2598",0.998574892662816,0.998475683189198,0.998574892662816,0.998469925933769,0.997904521686904,0.998418921869612,0.998382522784794,0.998382522784794,0.998382522784794,0.997617813453553,0.999520366392256,0.999219575090557,0.999520366392256,0.999310616293023,0.999059582787708,1,0.99974984104188,0.99974984104188
"S2784",0.997680649127393,0.997408446275601,0.997680649127393,0.997403768597848,0.996709695115525,0.997364893849435,0.997268792567128,0.997268792567128,0.997268792567128,0.996451105148673,0.99891397704121,0.998674698482047,0.99891397704121,0.998619225527091,0.998412514587178,0.99974984104188,1,1
"S2785",0.997680649127393,0.997408446275601,0.997680649127393,0.997403768597848,0.996709695115525,0.997364893849435,0.997268792567128,0.997268792567128,0.997268792567128,0.996451105148673,0.99891397704121,0.998674698482047,0.99891397704121,0.998619225527091,0.998412514587178,0.99974984104188,1,1
