"","S4939","S4948","S5173","S5226","S5241","S5258","S5263","S5267","S5358","S5373","S5432","S5537","S5603","S5648"
"S4939",1,0.0310978510075882,-0.00570493041003854,-0.0224567189897883,0.115837872155724,-0.283700397473131,NA,NA,-0.103074077869764,0.897328459045814,0.964837852634478,0.685027795613641,-0.196246501844606,-0.235033557228604
"S4948",0.0310978510075882,1,-0.20322869592605,-0.135916925013425,0.227918161300281,-0.0997222785615302,NA,NA,0.530254818313501,0.256799145309178,0.147295679086049,0.154175114930695,0.343046260566498,0.305937390492774
"S5173",-0.00570493041003854,-0.20322869592605,1,-0.193259310486224,0.101970626682734,-0.216984757373023,NA,NA,-0.12948967144735,-0.16268357256089,-0.0853213196484249,-0.180179778419138,-0.193115806146464,-0.111111111111111
"S5226",-0.0224567189897883,-0.135916925013425,-0.193259310486224,1,-0.945707109055677,0.326442161234901,NA,NA,0.0260301123367833,0.0203910185051423,0.0238770929068968,-0.140443822666182,0.488671850741919,0.0806230056897507
"S5241",0.115837872155724,0.227918161300281,0.101970626682734,-0.945707109055677,1,-0.433677763219943,NA,NA,0.0168835936522233,0.145301047432887,0.118223553144419,0.12654464530869,-0.275120639728686,0.158502955836999
"S5258",-0.283700397473131,-0.0997222785615302,-0.216984757373023,0.326442161234901,-0.433677763219943,1,NA,NA,-0.0707270852757332,-0.279746230399539,-0.319627590626011,-0.352750317804406,-0.0375812026718476,-0.131107466978762
"S5263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S5267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S5358",-0.103074077869764,0.530254818313501,-0.12948967144735,0.0260301123367833,0.0168835936522233,-0.0707270852757332,NA,NA,1,0.261510486914144,-0.0945876451392478,-0.206678215676372,0.545430525338699,-0.12948967144735
"S5373",0.897328459045814,0.256799145309178,-0.16268357256089,0.0203910185051423,0.145301047432887,-0.279746230399539,NA,NA,0.261510486914144,1,0.910140970172127,0.555128198615113,0.171686262234291,-0.0758822324060252
"S5432",0.964837852634478,0.147295679086049,-0.0853213196484249,0.0238770929068968,0.118223553144419,-0.319627590626011,NA,NA,-0.0945876451392478,0.910140970172127,1,0.642263542256606,-0.0905718105156806,-0.0853213196484249
"S5537",0.685027795613641,0.154175114930695,-0.180179778419138,-0.140443822666182,0.12654464530869,-0.352750317804406,NA,NA,-0.206678215676372,0.555128198615113,0.642263542256606,1,-0.274342775911825,-0.180179778419138
"S5603",-0.196246501844606,0.343046260566498,-0.193115806146464,0.488671850741919,-0.275120639728686,-0.0375812026718476,NA,NA,0.545430525338699,0.171686262234291,-0.0905718105156806,-0.274342775911825,1,0.610039725068757
"S5648",-0.235033557228604,0.305937390492774,-0.111111111111111,0.0806230056897507,0.158502955836999,-0.131107466978762,NA,NA,-0.12948967144735,-0.0758822324060252,-0.0853213196484249,-0.180179778419138,0.610039725068757,1
