"","S1559","S1581","S1587","S1598","S1619","S1674","S417","S469","S491","S517","S561","S591","S666","S678"
"S1559",1,0.920969195001895,0.927814631621668,0.92617061727763,0.92617061727763,0.951270533199511,0.89220902130074,0.89232370055185,0.89232370055185,0.892740144770396,0.892827182664455,0.892795977590373,0.53466130372283,0.893573005296271
"S1581",0.920969195001895,1,0.995188249282073,0.986479770403246,0.986479770403246,0.980295645706931,0.952055630700309,0.951990935683982,0.951990935683982,0.951846588298088,0.951840530437948,0.951720428450685,0.588987113446831,0.951474167460867
"S1587",0.927814631621668,0.995188249282073,1,0.985743093571052,0.985743093571052,0.972389184626899,0.942529884129841,0.942444681308094,0.942444681308094,0.942202720332803,0.942188313940329,0.9420451041147,0.582258970327371,0.941637715260391
"S1598",0.92617061727763,0.986479770403246,0.985743093571052,1,1,0.964959681903148,0.962926465731627,0.962918859979379,0.962918859979379,0.962920447317592,0.962931288762584,0.962872150712614,0.652948963993443,0.962845411656699
"S1619",0.92617061727763,0.986479770403246,0.985743093571052,1,1,0.964959681903148,0.962926465731627,0.962918859979379,0.962918859979379,0.962920447317592,0.962931288762584,0.962872150712614,0.652948963993443,0.962845411656699
"S1674",0.951270533199511,0.980295645706931,0.972389184626899,0.964959681903148,0.964959681903148,1,0.938387731078842,0.93846053329872,0.93846053329872,0.938798043170872,0.938860417364763,0.938831300603606,0.584242953549475,0.939470351902916
"S417",0.89220902130074,0.952055630700309,0.942529884129841,0.962926465731627,0.962926465731627,0.938387731078842,1,0.999999540661046,0.999999540661046,0.99998980476314,0.999987730713149,0.999983709033981,0.712515951190765,0.999921413805834
"S469",0.89232370055185,0.951990935683982,0.942444681308094,0.962918859979379,0.962918859979379,0.93846053329872,0.999999540661046,1,1,0.999993622580146,0.999991966640086,0.99998867648325,0.712598751666856,0.99993272245539
"S491",0.89232370055185,0.951990935683982,0.942444681308094,0.962918859979379,0.962918859979379,0.93846053329872,0.999999540661046,1,1,0.999993622580146,0.999991966640086,0.99998867648325,0.712598751666856,0.99993272245539
"S517",0.892740144770396,0.951846588298088,0.942202720332803,0.962920447317592,0.962920447317592,0.938798043170872,0.99998980476314,0.999993622580146,0.999993622580146,1,0.999999899634117,0.999999261210303,0.712625504334169,0.999967635618629
"S561",0.892827182664455,0.951840530437948,0.942188313940329,0.962931288762584,0.962931288762584,0.938860417364763,0.999987730713149,0.999991966640086,0.999991966640086,0.999999899634117,1,0.999999667773579,0.712613394071133,0.999971014591799
"S591",0.892795977590373,0.951720428450685,0.9420451041147,0.962872150712614,0.962872150712614,0.938831300603606,0.999983709033981,0.99998867648325,0.99998867648325,0.999999261210303,0.999999667773579,1,0.712755359867136,0.999976331787873
"S666",0.53466130372283,0.588987113446831,0.582258970327371,0.652948963993443,0.652948963993443,0.584242953549475,0.712515951190765,0.712598751666856,0.712598751666856,0.712625504334169,0.712613394071133,0.712755359867136,1,0.71227729349055
"S678",0.893573005296271,0.951474167460867,0.941637715260391,0.962845411656699,0.962845411656699,0.939470351902916,0.999921413805834,0.99993272245539,0.99993272245539,0.999967635618629,0.999971014591799,0.999976331787873,0.71227729349055,1
