"","S6720","S6728","S6742","S7053","S7179","S7181","S7186","S7203","S7313","S7315","S7327","S7331"
"S6720",1,NA,0.272447447533593,NA,0.160253991273471,0.204201868633969,NA,0.133630620956212,NA,NA,0.149071198499986,0.222222222222222
"S6728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6742",0.272447447533593,NA,1,NA,0.703143057058601,0.738983058769445,NA,0.37992295505977,NA,NA,0.415156298070529,0.702843954089894
"S7053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S7179",0.160253991273471,NA,0.703143057058601,NA,1,0.947284674324237,NA,0.45888943638397,NA,NA,0.0614295116833951,0.343401409871723
"S7181",0.204201868633969,NA,0.738983058769445,NA,0.947284674324237,1,NA,0.570622182023703,NA,NA,0.00924778246882112,0.43080563002947
"S7186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S7203",0.133630620956212,NA,0.37992295505977,NA,0.45888943638397,0.570622182023703,NA,1,NA,NA,0.239045721866879,0.356348322549899
"S7313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S7315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S7327",0.149071198499986,NA,0.415156298070529,NA,0.0614295116833951,0.00924778246882112,NA,0.239045721866879,NA,NA,1,0.670820393249937
"S7331",0.222222222222222,NA,0.702843954089894,NA,0.343401409871723,0.43080563002947,NA,0.356348322549899,NA,NA,0.670820393249937,1
