"","S1245","S2548","S3048","S3785","S3908","S4024","S5899","S7644"
"S1245",1,0.224560369229571,-0.194259214667653,-0.174831374301487,-0.502105343968867,-0.394542134807461,-0.0607820063374703,-0.132189365917678
"S2548",0.224560369229571,1,-0.382309981042713,-0.450168947813955,-0.0591087629253054,-0.523071750457931,-0.0630557258889589,0.0515523145487846
"S3048",-0.194259214667653,-0.382309981042713,1,0.00309223106572751,-0.0377396545699246,0.591300186677348,-0.170009890575699,0.215986285513728
"S3785",-0.174831374301487,-0.450168947813955,0.00309223106572751,1,0.524554520544516,0.278864969871593,-0.164467174384163,0.235495608714683
"S3908",-0.502105343968867,-0.0591087629253054,-0.0377396545699246,0.524554520544516,1,0.467337873995044,-0.482071588338907,0.0949750962556543
"S4024",-0.394542134807461,-0.523071750457931,0.591300186677348,0.278864969871593,0.467337873995044,1,-0.218911884341577,0.303064098961395
"S5899",-0.0607820063374703,-0.0630557258889589,-0.170009890575699,-0.164467174384163,-0.482071588338907,-0.218911884341577,1,-0.0700602998874181
"S7644",-0.132189365917678,0.0515523145487846,0.215986285513728,0.235495608714683,0.0949750962556543,0.303064098961395,-0.0700602998874181,1
