"","S1559","S1581","S1587","S1598","S1619","S1674","S417","S469","S491","S517","S561","S591","S666","S678"
"S1559",1,-0.429565706371513,0.149591618788163,-0.29646640004718,-0.239176823307679,-0.106220638909698,0.605190981385566,-0.28882029684881,-0.223306492824854,-0.315709553479301,-0.365306223855368,0.302948299530317,-0.197860666937287,0.197437848411479
"S1581",-0.429565706371513,1,0.168240339423039,0.0101749069195529,-0.262116037535762,0.188428956960389,-0.821732079292621,-0.268111340788594,0.359291968965905,-0.444651741354038,0.0766881944407855,-0.184893885686422,-0.306152336708592,-0.334480827102177
"S1587",0.149591618788163,0.168240339423039,1,-0.0842569270272108,-0.29145767324065,-0.209576422140847,0.195984839268959,-0.196169145879193,0.00237904406549175,-0.469017846707793,-0.246355769238978,0.125025752834154,-0.329825852583096,-0.291359666041897
"S1598",-0.29646640004718,0.0101749069195529,-0.0842569270272108,1,0.837366876975402,0.410886943686485,-0.357923359118546,0.840830758132334,0.658161614064628,0.464858667677248,0.42688805255148,-0.958102901038161,0.791501100220278,0.485901262047375
"S1619",-0.239176823307679,-0.262116037535762,-0.29145767324065,0.837366876975402,1,0.279846570739024,-0.272855155762282,0.941084632262294,0.171745306624514,0.656175334528706,0.639025238665191,-0.709775206052541,0.989203814881216,0.735080237602846
"S1674",-0.106220638909698,0.188428956960389,-0.209576422140847,0.410886943686485,0.279846570739024,1,-0.333494880904521,0.480411241704295,0.485223540843467,-0.271357402178333,0.505111309576209,-0.418385623867474,0.283661223104254,0.0504175639515943
"S417",0.605190981385566,-0.821732079292621,0.195984839268959,-0.357923359118546,-0.272855155762282,-0.333494880904521,1,-0.222247978316654,-0.314255055051364,0.0413530426100995,-0.473462442360689,0.471244260215888,-0.242519949072245,-0.0575938711483262
"S469",-0.28882029684881,-0.268111340788594,-0.196169145879193,0.840830758132334,0.941084632262294,0.480411241704295,-0.222247978316654,1,0.242358227418845,0.494668952372421,0.659806186796321,-0.705651986778853,0.931637412821125,0.563680672764801
"S491",-0.223306492824854,0.359291968965905,0.00237904406549175,0.658161614064628,0.171745306624514,0.485223540843467,-0.314255055051364,0.242358227418845,1,0.00742451593707405,-0.0191005972800932,-0.770833643553671,0.116499982583969,-0.0835497377433748
"S517",-0.315709553479301,-0.444651741354038,-0.469017846707793,0.464858667677248,0.656175334528706,-0.271357402178333,0.0413530426100995,0.494668952372421,0.00742451593707405,1,0.294983289827659,-0.337159401864179,0.624644170865055,0.616217426092291
"S561",-0.365306223855368,0.0766881944407855,-0.246355769238978,0.42688805255148,0.639025238665191,0.505111309576209,-0.473462442360689,0.659806186796321,-0.0191005972800932,0.294983289827659,1,-0.323294202897393,0.642013201201268,0.477433094689772
"S591",0.302948299530317,-0.184893885686422,0.125025752834154,-0.958102901038161,-0.709775206052541,-0.418385623867474,0.471244260215888,-0.705651986778853,-0.770833643553671,-0.337159401864179,-0.323294202897393,1,-0.674690981827766,-0.322974247465768
"S666",-0.197860666937287,-0.306152336708592,-0.329825852583096,0.791501100220278,0.989203814881216,0.283661223104254,-0.242519949072245,0.931637412821125,0.116499982583969,0.624644170865055,0.642013201201268,-0.674690981827766,1,0.694801542979507
"S678",0.197437848411479,-0.334480827102177,-0.291359666041897,0.485901262047375,0.735080237602846,0.0504175639515943,-0.0575938711483262,0.563680672764801,-0.0835497377433748,0.616217426092291,0.477433094689772,-0.322974247465768,0.694801542979507,1
