"","S1283","S1362","S374","S439","S553","S560","S592","S609","S660","S969"
"S1283",1,0.999879131275247,0.998661823757808,0.99923875421305,0.999514873885927,0.999101861986335,0.998892857024523,0.998892857024523,0.998977096628914,0.99956339881077
"S1362",0.999879131275247,1,0.99883751491626,0.999329055564885,0.999501162287936,0.999221598652787,0.998802761000017,0.998802761000017,0.998982829323502,0.999578365474556
"S374",0.998661823757808,0.99883751491626,1,0.999763610142043,0.999599395324793,0.999777885890566,0.999573696733544,0.999573696733544,0.999688355430453,0.999653307804982
"S439",0.99923875421305,0.999329055564885,0.999763610142043,1,0.999894704726945,0.999807531316756,0.999638061232668,0.999638061232668,0.999741471110128,0.999874342102038
"S553",0.999514873885927,0.999501162287936,0.999599395324793,0.999894704726945,1,0.999720575098244,0.999494843053849,0.999494843053849,0.999591744024665,0.999903008063441
"S560",0.999101861986335,0.999221598652787,0.999777885890566,0.999807531316756,0.999720575098244,1,0.999755692640561,0.999755692640561,0.999922373363395,0.999795493430502
"S592",0.998892857024523,0.998802761000017,0.999573696733544,0.999638061232668,0.999494843053849,0.999755692640561,1,1,0.999906428094665,0.999648828913646
"S609",0.998892857024523,0.998802761000017,0.999573696733544,0.999638061232668,0.999494843053849,0.999755692640561,1,1,0.999906428094665,0.999648828913646
"S660",0.998977096628914,0.998982829323502,0.999688355430453,0.999741471110128,0.999591744024665,0.999922373363395,0.999906428094665,0.999906428094665,1,0.999751517222845
"S969",0.99956339881077,0.999578365474556,0.999653307804982,0.999874342102038,0.999903008063441,0.999795493430502,0.999648828913646,0.999648828913646,0.999751517222845,1
