"","S1095","S1657","S2075","S4061","S4714","S5118","S522","S5934","S8253"
"S1095",1,0.985746941281343,0.997039763187889,0.993021782231191,0.979253725975674,0.335581666992386,0.467682599060048,0.992128999483847,0.947862991314963
"S1657",0.985746941281343,1,0.989307251790121,0.997361823651477,0.95824880094739,0.385454440610355,0.465580995724539,0.993571290995269,0.933194059713055
"S2075",0.997039763187889,0.989307251790121,1,0.995863546001675,0.975116717261937,0.296260438644443,0.418604703325492,0.989947599111644,0.928157934271681
"S4061",0.993021782231191,0.997361823651477,0.995863546001675,1,0.971778427050747,0.355156328082693,0.458324580631118,0.993656975526798,0.936716047007015
"S4714",0.979253725975674,0.95824880094739,0.975116717261937,0.971778427050747,1,0.354268393598426,0.507862303542341,0.971353010066395,0.951661628229634
"S5118",0.335581666992386,0.385454440610355,0.296260438644443,0.355156328082693,0.354268393598426,1,0.921413371995428,0.399758741509959,0.547095152820631
"S522",0.467682599060048,0.465580995724539,0.418604703325492,0.458324580631118,0.507862303542341,0.921413371995428,1,0.510139954555374,0.695479856477888
"S5934",0.992128999483847,0.993571290995269,0.989947599111644,0.993656975526798,0.971353010066395,0.399758741509959,0.510139954555374,1,0.960536615227995
"S8253",0.947862991314963,0.933194059713055,0.928157934271681,0.936716047007015,0.951661628229634,0.547095152820631,0.695479856477888,0.960536615227995,1
