"","S1558","S2467","S2515","S2523","S2528","S2541","S2543","S2545","S2552","S3159","S3175","S3257","S3260","S3270","S3283","S3867","S4857","S4863","S4864"
"S1558",1,0.192427227428066,0.309218363112386,0.273268672121968,0.389451832229747,-0.225611060025265,-0.30719256392366,-0.286194176417236,-0.181806330935066,-0.132708255868733,-0.311313756508147,-0.0434492791358032,0.41356262438877,0.643304801941302,-0.0939827112544421,0.347401656346117,-0.21066770356352,0.530684486579828,0.963731226351261
"S2467",0.192427227428066,1,-0.203166049811934,0.247915249393843,-0.216338860229066,0.0159329158039795,0.0882137287253053,0.421855673643615,0.235445067300363,0.337196671914449,0.291651589067163,-0.48098551765276,0.234704710818163,0.294497452117889,-0.253462256294697,0.52311959127811,-0.468570155489595,-0.23060243581622,0.253760637206169
"S2515",0.309218363112386,-0.203166049811934,1,-0.261325154066,0.435780379542519,-0.4128479239192,0.37954477406293,-0.31861225375943,-0.044838579723493,0.231691617696387,-0.382467421938288,0.401606207704349,0.760152751099896,-0.245259048855682,0.220433786815114,-0.151697450582261,-0.240973388596681,0.590131897444038,0.190954806420578
"S2523",0.273268672121968,0.247915249393843,-0.261325154066,1,0.128805568715108,0.368409079890942,-0.324670352806866,0.200870538095625,0.303865948434112,0.122325676282679,0.0871009260405618,-0.350431136236029,-0.183765330808813,0.487373046410003,-0.516066536193799,0.0085670692481663,0.302097292000957,-0.338834504875991,0.339362854376553
"S2528",0.389451832229747,-0.216338860229066,0.435780379542519,0.128805568715108,1,0.185139400839956,-0.122939735979387,-0.231411046914102,-0.324555086872005,0.0844480227294065,-0.738925018753518,-0.350447080158845,0.215631646633037,0.00248988910046007,-0.0209636732386064,-0.365485602328276,0.285369306951287,-0.0518335393191682,0.222187584386943
"S2541",-0.225611060025265,0.0159329158039795,-0.4128479239192,0.368409079890942,0.185139400839956,1,0.192838436233363,-0.262591407920659,-0.108981326940902,-0.214646881837348,0.0184790254591629,-0.451726604513429,-0.450137776120807,0.418590306017916,-0.139977142556108,-0.598749314327982,0.207947287903902,-0.603216496429736,-0.350340821956448
"S2543",-0.30719256392366,0.0882137287253053,0.37954477406293,-0.324670352806866,-0.122939735979387,0.192838436233363,1,-0.259168812976905,-0.328029694094023,0.42139701974289,-0.0332909651345934,0.302878972784909,0.518612886519484,-0.0416453907834908,0.223423470533174,-0.505199833212384,-0.383747016340439,0.159765583274976,-0.450302118840432
"S2545",-0.286194176417236,0.421855673643615,-0.31861225375943,0.200870538095625,-0.231411046914102,-0.262591407920659,-0.259168812976905,1,0.442775905260971,0.411638810372066,0.428871674010935,-0.225965373169832,-0.194553282089899,-0.361275656294788,-0.334604147610325,0.361092874738388,-0.164377088112161,-0.48415099752238,-0.097004145847081
"S2552",-0.181806330935066,0.235445067300363,-0.044838579723493,0.303865948434112,-0.324555086872005,-0.108981326940902,-0.328029694094023,0.442775905260971,1,-0.145967634588975,0.687110688897521,-0.117247552865571,-0.324859776663693,-0.230124993236177,-0.139192672902353,0.422323723508595,-0.158621102863696,-0.264655866299897,-0.0274515528244856
"S3159",-0.132708255868733,0.337196671914449,0.231691617696387,0.122325676282679,0.0844480227294065,-0.214646881837348,0.42139701974289,0.411638810372066,-0.145967634588975,1,-0.0974713187802364,-0.164063020569841,0.46738939236776,-0.254929955594012,0.145483319872189,0.0187648822294712,-0.107938339202568,0.0319511606337558,-0.133684372435288
"S3175",-0.311313756508147,0.291651589067163,-0.382467421938288,0.0871009260405618,-0.738925018753518,0.0184790254591629,-0.0332909651345934,0.428871674010935,0.687110688897521,-0.0974713187802364,1,-0.00784679547854286,-0.456311461967939,0.0341859824607661,0.128251123040702,0.38530195801488,-0.510219245202146,-0.150199581282128,-0.159306919623868
"S3257",-0.0434492791358032,-0.48098551765276,0.401606207704349,-0.350431136236029,-0.350447080158845,-0.451726604513429,0.302878972784909,-0.225965373169832,-0.117247552865571,-0.164063020569841,-0.00784679547854286,1,0.360813884174249,-0.149259159722564,-0.0694846972941918,-0.2050943666805,-0.127460932673189,0.547765623226213,-0.0144613454286577
"S3260",0.41356262438877,0.234704710818163,0.760152751099896,-0.183765330808813,0.215631646633037,-0.450137776120807,0.518612886519484,-0.194553282089899,-0.324859776663693,0.46738939236776,-0.456311461967939,0.360813884174249,1,0.0133067607170066,-0.0321835857937251,0.00858272613714342,-0.314813952979196,0.568225275955614,0.329200756308218
"S3270",0.643304801941302,0.294497452117889,-0.245259048855682,0.487373046410003,0.00248988910046007,0.418590306017916,-0.0416453907834908,-0.361275656294788,-0.230124993236177,-0.254929955594012,0.0341859824607661,-0.149259159722564,0.0133067607170066,1,-0.192084232940943,0.0363899466104226,-0.196270723927977,0.148531011488917,0.596229826180446
"S3283",-0.0939827112544421,-0.253462256294697,0.220433786815114,-0.516066536193799,-0.0209636732386064,-0.139977142556108,0.223423470533174,-0.334604147610325,-0.139192672902353,0.145483319872189,0.128251123040702,-0.0694846972941918,-0.0321835857937251,-0.192084232940943,1,0.112205236491651,-0.242753578894309,0.486673978307057,-0.183891272216118
"S3867",0.347401656346117,0.52311959127811,-0.151697450582261,0.0085670692481663,-0.365485602328276,-0.598749314327982,-0.505199833212384,0.361092874738388,0.422323723508595,0.0187648822294712,0.38530195801488,-0.2050943666805,0.00858272613714342,0.0363899466104226,0.112205236491651,1,-0.302499976631984,0.254511055338449,0.517995829879438
"S4857",-0.21066770356352,-0.468570155489595,-0.240973388596681,0.302097292000957,0.285369306951287,0.207947287903902,-0.383747016340439,-0.164377088112161,-0.158621102863696,-0.107938339202568,-0.510219245202146,-0.127460932673189,-0.314813952979196,-0.196270723927977,-0.242753578894309,-0.302499976631984,1,-0.317617986472262,-0.208707561812242
"S4863",0.530684486579828,-0.23060243581622,0.590131897444038,-0.338834504875991,-0.0518335393191682,-0.603216496429736,0.159765583274976,-0.48415099752238,-0.264655866299897,0.0319511606337558,-0.150199581282128,0.547765623226213,0.568225275955614,0.148531011488917,0.486673978307057,0.254511055338449,-0.317617986472262,1,0.49055526607386
"S4864",0.963731226351261,0.253760637206169,0.190954806420578,0.339362854376553,0.222187584386943,-0.350340821956448,-0.450302118840432,-0.097004145847081,-0.0274515528244856,-0.133684372435288,-0.159306919623868,-0.0144613454286577,0.329200756308218,0.596229826180446,-0.183891272216118,0.517995829879438,-0.208707561812242,0.49055526607386,1
