"","S6801","S6809","S6812","S6817","S6831","S6833","S6837","S6840","S6841","S6842","S6844","S6850","S6851","S6853","S6855","S6857","S6859","S6860","S6863","S6869","S6870","S6882","S6897","S6898","S6900","S6959","S6964"
"S6801",1,0.0767185353744063,-0.0806171140820667,-0.733954684995011,0.143995838618263,-0.32046211185915,-0.516371572295562,NA,0.3921367907796,NA,NA,-0.593276214661649,-0.381336817083816,0.0246758652448276,NA,-0.0145750425386757,0.401310174496552,NA,0.407332607830332,NA,0.250151489989077,-0.176076571316322,0.12683724259086,-0.621539314373892,-0.346881177899366,0.181656220449676,0.325372561876667
"S6809",0.0767185353744063,1,0.33887947323434,0.149922893461084,-0.545009026471243,0.0670965156690509,-0.333704317512102,NA,0.0172998865023608,NA,NA,-0.108773024869239,0.192074217304451,0.308167195176091,NA,0.143863962918932,-0.622262961316521,NA,0.115986703904707,NA,-0.509484049777949,-0.0684623791752876,0.429635149048147,-0.238855274361445,0.141756872381535,-0.27317595241156,0.00257500375630521
"S6812",-0.0806171140820667,0.33887947323434,1,-0.181921536430866,-0.222836326473877,0.822887851220197,-0.377398175991802,NA,0.463876085472725,NA,NA,-0.41582710633297,0.168176082651174,-0.213181725735874,NA,-0.308400554047802,-0.33054771507449,NA,-0.109685212663432,NA,-0.286067783458056,0.180621315734576,0.382240188630578,0.174272822372267,-0.191335949494578,-0.120533352554906,-0.0889429235454879
"S6817",-0.733954684995011,0.149922893461084,-0.181921536430866,1,-0.48264433593447,0.0257647189939412,0.762270390199425,NA,-0.346324430489289,NA,NA,0.730376689247158,0.146432273167312,-0.196834641611268,NA,-0.0775297495717056,-0.252730626830471,NA,-0.305235258078076,NA,-0.597387563571127,0.22542439563621,-0.391341608814371,0.432105564266037,0.0564333786255113,-0.266834775126164,-0.554533260355474
"S6831",0.143995838618263,-0.545009026471243,-0.222836326473877,-0.48264433593447,1,-0.0840942804087079,-0.291609088904903,NA,-0.215505125890974,NA,NA,-0.227166219395029,-0.055239848768658,-0.0710759611358755,NA,0.322280690573285,0.274528328419359,NA,0.200715156507211,NA,0.749932160468671,-0.449075847084019,-0.225736621581951,-0.488012745344921,-0.00971844181875793,0.0125738381013548,0.64695452417896
"S6833",-0.32046211185915,0.0670965156690509,0.822887851220197,0.0257647189939412,-0.0840942804087079,1,-0.0706329142757445,NA,0.319140024985594,NA,NA,-0.0376512219941716,0.288908520955973,-0.216817927090821,NA,-0.147606749737727,-0.277520441185421,NA,0.0539140296403046,NA,-0.114540878371218,0.0164665498693129,0.350083817686362,0.401038435708613,-0.115527718804039,0.205066978280175,-0.0551200575399903
"S6837",-0.516371572295562,-0.333704317512102,-0.377398175991802,0.762270390199425,-0.291609088904903,-0.0706329142757445,1,NA,-0.242598620612537,NA,NA,0.858867538485909,-0.258730750581106,-0.274410109651839,NA,-0.397493312103571,0.0502216453811034,NA,-0.13351427378529,NA,-0.452825612674005,0.453521929796933,-0.437569058065374,0.570314650935269,-0.22442026267933,0.104577472505399,-0.390697467743599
"S6840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6841",0.3921367907796,0.0172998865023608,0.463876085472725,-0.346324430489289,-0.215505125890974,0.319140024985594,-0.242598620612537,NA,1,NA,NA,-0.380636987965545,0.229108857409796,-0.323765337545516,NA,-0.383022491143897,-0.0749002388238219,NA,-0.136969494564259,NA,-0.210497816925222,0.406197179058891,0.0891214815905781,0.0726804821548859,-0.394903492579183,-0.0667281568382356,-0.358463130743933
"S6842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
