"","S6784","S6810","S6811","S6815","S6879","S6883","S6905","S6909","S6945","S7043","S7105"
"S6784",1,0.999580180699863,0.999623220289898,0.999580180699863,0.997905794626924,0.998322667290064,0.997698554116218,0.997698554116218,0.997356790997998,0.997001307591943,0.995937787436227
"S6810",0.999580180699863,1,0.999956673978328,1,0.999292091421085,0.999469018693197,0.999156884910551,0.999156884910551,0.998885667712916,0.998704583797038,0.997889342084321
"S6811",0.999623220289898,0.999956673978328,1,0.999956673978328,0.999122056875148,0.999375347569843,0.999021118628623,0.999021118628623,0.998708133092655,0.998495647319395,0.997631368453304
"S6815",0.999580180699863,1,0.999956673978328,1,0.999292091421085,0.999469018693197,0.999156884910551,0.999156884910551,0.998885667712916,0.998704583797038,0.997889342084321
"S6879",0.997905794626924,0.999292091421085,0.999122056875148,0.999292091421085,1,0.999931529667851,0.999967067530284,0.999967067530284,0.999916368316701,0.999883909827437,0.999515097166403
"S6883",0.998322667290064,0.999469018693197,0.999375347569843,0.999469018693197,0.999931529667851,1,0.999903396829768,0.999903396829768,0.99985515193246,0.999756055270782,0.999358805444628
"S6905",0.997698554116218,0.999156884910551,0.999021118628623,0.999156884910551,0.999967067530284,0.999903396829768,1,1,0.99993854437265,0.999922718079723,0.999608099683491
"S6909",0.997698554116218,0.999156884910551,0.999021118628623,0.999156884910551,0.999967067530284,0.999903396829768,1,1,0.99993854437265,0.999922718079723,0.999608099683491
"S6945",0.997356790997998,0.998885667712916,0.998708133092655,0.998885667712916,0.999916368316701,0.99985515193246,0.99993854437265,0.99993854437265,1,0.999955030300746,0.999740556057691
"S7043",0.997001307591943,0.998704583797038,0.998495647319395,0.998704583797038,0.999883909827437,0.999756055270782,0.999922718079723,0.999922718079723,0.999955030300746,1,0.99984176976862
"S7105",0.995937787436227,0.997889342084321,0.997631368453304,0.997889342084321,0.999515097166403,0.999358805444628,0.999608099683491,0.999608099683491,0.999740556057691,0.99984176976862,1
