"","S1133","S1157","S1159","S2247","S2252","S2257","S2290","S3715","S3723","S4684","S4690","S4692","S4693","S4707","S4723","S5017","S5513","S810","S811","S813","S819","S892","S894","S903"
"S1133",1,0.998619114879497,0.998613068237002,0.99950917893115,0.985986527298749,0.987258897464155,0.990016113222136,0.916388161119022,0.915880240944385,0.990162187510294,0.997394719538696,0.996652461672843,0.997186629043726,0.995510937452658,0.987332703881076,0.971409521217856,0.859881739003404,0.957895165221842,0.960141426173419,0.941929109547498,0.941982689984469,0.849084971611654,0.860374584432765,0.855970606494376
"S1157",0.998619114879497,1,0.999805602220168,0.998275675778556,0.984480131188043,0.985436886992342,0.989174959881885,0.919313775350313,0.917864531500974,0.989262294645296,0.998668770139706,0.995263553415165,0.998005639690766,0.995287972581754,0.985429210082955,0.972155076917316,0.859676956756067,0.958044919122416,0.959762638276857,0.94161025060913,0.940837488393902,0.852288782533746,0.863504947189075,0.857947680284774
"S1159",0.998613068237002,0.999805602220168,1,0.99823139512159,0.98198624863266,0.983353433946841,0.98716312568877,0.912936879989599,0.911514000973896,0.987440964077575,0.998528957141212,0.994584770976424,0.997982518778622,0.994080962976835,0.983515520868668,0.968720451889664,0.852727368848893,0.953881086714731,0.956019199733795,0.937068375505369,0.936369933153521,0.844660381773967,0.856202169166507,0.85105698378369
"S2247",0.99950917893115,0.998275675778556,0.99823139512159,1,0.987838296590727,0.989450260191421,0.992205183840454,0.922421379236158,0.921565599151456,0.991624955900472,0.997154697400596,0.997693230586043,0.99728449544785,0.99620755655868,0.989429465019828,0.97502088256805,0.865231621057613,0.961092628540327,0.962277854369399,0.944569586505904,0.944780141143543,0.855633513151162,0.866376962078698,0.861820587386117
"S2252",0.985986527298749,0.984480131188043,0.98198624863266,0.987838296590727,1,0.998494599083095,0.997957324474526,0.967009883679983,0.966405893238389,0.997353977366718,0.983394389434095,0.994261712036939,0.982619771781228,0.993480663385586,0.997761090442531,0.99488320014233,0.917338063610043,0.985203348140818,0.981906450290379,0.971617707911746,0.971621332663247,0.91307354548803,0.920275081595429,0.913511464466297
"S2257",0.987258897464155,0.985436886992342,0.983353433946841,0.989450260191421,0.998494599083095,1,0.999017436426485,0.959806879721539,0.957871476658124,0.999086342427439,0.986141492001359,0.996155573296616,0.986335086409658,0.995131494248877,0.999741911267985,0.995540285651837,0.898591632723669,0.976588962298754,0.971534135783275,0.958947697272789,0.958591793518886,0.895364497738014,0.902877499485683,0.894667729923123
"S2290",0.990016113222136,0.989174959881885,0.98716312568877,0.992205183840454,0.997957324474526,0.999017436426485,1,0.957774113219647,0.955973893137481,0.999031993307535,0.989464907980904,0.997003720110368,0.989703157278826,0.99728982595881,0.998559932689251,0.994438558346162,0.898587061845872,0.97837776657708,0.973703633305028,0.961202661892469,0.960673328572364,0.895100904505707,0.902925281147682,0.895065612974739
"S3715",0.916388161119022,0.919313775350313,0.912936879989599,0.922421379236158,0.967009883679983,0.959806879721539,0.957774113219647,1,0.998003245315942,0.952902701715446,0.915593458590024,0.937521658549541,0.913736144792486,0.93890487244634,0.956763515789744,0.97738286625809,0.964418101806671,0.98073192934728,0.971749568028469,0.973142205958987,0.973455171204939,0.973719281367115,0.974674097005101,0.964841157631499
"S3723",0.915880240944385,0.917864531500974,0.911514000973896,0.921565599151456,0.966405893238389,0.957871476658124,0.955973893137481,0.998003245315942,1,0.950190646116843,0.913216082508474,0.935821985026985,0.910204624161987,0.93597445686379,0.954076613028377,0.973258365108141,0.975451193233245,0.986256487871423,0.97845722000141,0.98156037344398,0.980533363190695,0.981368517526692,0.983208752433713,0.97563781953606
"S4684",0.990162187510294,0.989262294645296,0.987440964077575,0.991624955900472,0.997353977366718,0.999086342427439,0.999031993307535,0.952902701715446,0.950190646116843,1,0.990368699149323,0.997673062354233,0.990568647283965,0.997819445690764,0.999224885673283,0.993938473904337,0.888080723266442,0.972568338555497,0.967712623655474,0.954067803575317,0.953403062979965,0.885129322239612,0.893148282753952,0.884360077955591
