"","S1283","S1362","S374","S439","S553","S560","S592","S609","S660","S969"
"S1283",1,0.999988951959167,0.998903823194308,0.999397873229182,0.999635508833575,0.999290129887199,0.999234587765139,0.999234587765139,0.999436312558604,0.999781307344724
"S1362",0.999988951959167,1,0.998876625723181,0.999385376298244,0.999604139619666,0.999240223001394,0.999190829605223,0.999190829605223,0.999369696730659,0.999746783621895
"S374",0.998903823194308,0.998876625723181,1,0.999796911239583,0.9996017069765,0.999722030533375,0.999557669659161,0.999557669659161,0.99960854317762,0.99953603913516
"S439",0.999397873229182,0.999385376298244,0.999796911239583,1,0.999841893134073,0.99983085130865,0.999732546160486,0.999732546160486,0.999763039380941,0.999831938189567
"S553",0.999635508833575,0.999604139619666,0.9996017069765,0.999841893134073,1,0.999577466817428,0.999416938750261,0.999416938750261,0.999576453357039,0.999822168025712
"S560",0.999290129887199,0.999240223001394,0.999722030533375,0.99983085130865,0.999577466817428,1,0.999908352434082,0.999908352434082,0.999914449754539,0.999755274781068
"S592",0.999234587765139,0.999190829605223,0.999557669659161,0.999732546160486,0.999416938750261,0.999908352434082,1,1,0.999947797915464,0.999746978528334
"S609",0.999234587765139,0.999190829605223,0.999557669659161,0.999732546160486,0.999416938750261,0.999908352434082,1,1,0.999947797915464,0.999746978528334
"S660",0.999436312558604,0.999369696730659,0.99960854317762,0.999763039380941,0.999576453357039,0.999914449754539,0.999947797915464,0.999947797915464,1,0.999866372661955
"S969",0.999781307344724,0.999746783621895,0.99953603913516,0.999831938189567,0.999822168025712,0.999755274781068,0.999746978528334,0.999746978528334,0.999866372661955,1
