"","S7362","S7410","S7415","S7453","S7457","S7498","S7509","S7517","S7526","S7531","S7533","S7545","S7547","S7548","S7552","S7568","S7592","S7626","S7633"
"S7362",1,0.978903521884845,0.978712931014612,0.953854325074278,0.938162921740185,0.885020370976263,0.979537793249124,0.981687197447836,0.982582135824219,0.982605864213106,0.876043962267092,0.815426695428303,0.966901968631664,0.895256389980935,0.95417797051422,0.961390776232782,0.936868068585419,0.960546322122056,0.958360582584323
"S7410",0.978903521884845,1,0.999993858937845,0.966740354388236,0.977967169415801,0.90156503559941,0.997565149837479,0.996379008626025,0.994048677124247,0.993222200619639,0.880556087059494,0.814573557743943,0.979420259471066,0.908945538438382,0.960796026937352,0.972735547445036,0.947720312212695,0.93812175348999,0.92980630398947
"S7415",0.978712931014612,0.999993858937845,1,0.96688112888076,0.978146665283599,0.901728663240482,0.997691990860623,0.996524580519819,0.994241703986685,0.993433350786651,0.881183345620191,0.815442483282914,0.979751916358396,0.909442036154936,0.961304306421917,0.973108034012286,0.948359864357021,0.938416026828356,0.930134304339208
"S7453",0.953854325074278,0.966740354388236,0.96688112888076,1,0.963406965931678,0.966698029988187,0.976814103615542,0.97799115540985,0.978065061914316,0.976789696365046,0.949515895769567,0.882242087142902,0.978647709272776,0.972504503156716,0.978105914085063,0.993568478989103,0.975359217450548,0.96670283841027,0.964553337776675
"S7457",0.938162921740185,0.977967169415801,0.978146665283599,0.963406965931678,1,0.940765934316648,0.975890705576923,0.973917029565109,0.971638622008449,0.97030560938817,0.912750675631926,0.826147662412671,0.975708282565786,0.92344299931193,0.957080062007257,0.96829957637586,0.964036224327588,0.914864603572023,0.90169637560088
"S7498",0.885020370976263,0.90156503559941,0.901728663240482,0.966698029988187,0.940765934316648,1,0.91274521029723,0.913878068649384,0.915613169552944,0.915037278198423,0.981039194458938,0.847482338276928,0.938137629729758,0.967554708268993,0.943530204211416,0.95859995407734,0.961014181486865,0.934042811184422,0.928424001206071
"S7509",0.979537793249124,0.997565149837479,0.997691990860623,0.976814103615542,0.975890705576923,0.91274521029723,1,0.999739621238866,0.99870953963922,0.997944230184435,0.900498578361758,0.832498704037266,0.98854900612806,0.925017642553596,0.975679414389559,0.983427719712047,0.961873917079059,0.95416994152641,0.947407115133514
"S7517",0.981687197447836,0.996379008626025,0.996524580519819,0.97799115540985,0.973917029565109,0.913878068649384,0.999739621238866,1,0.999554155061585,0.998995193840248,0.904431633027387,0.839842471657607,0.989362640641339,0.929107777671253,0.977544542244344,0.985511673436991,0.964279181395596,0.95882603102369,0.952385435316179
"S7526",0.982582135824219,0.994048677124247,0.994241703986685,0.978065061914316,0.971638622008449,0.915613169552944,0.99870953963922,0.999554155061585,1,0.999827085659586,0.911121362812062,0.844753924877436,0.990750346086893,0.933579849973505,0.980532922197145,0.987581193399649,0.967761390424296,0.964595226269797,0.958010159260135
"S7531",0.982605864213106,0.993222200619639,0.993433350786651,0.976789696365046,0.97030560938817,0.915037278198423,0.997944230184435,0.998995193840248,0.999827085659586,1,0.912732493681954,0.84545561873227,0.989824687589379,0.935229188442441,0.979846717207545,0.9876958402528,0.967381688314721,0.966058592470559,0.958941811188924
"S7533",0.876043962267092,0.880556087059494,0.881183345620191,0.949515895769567,0.912750675631926,0.981039194458938,0.900498578361758,0.904431633027387,0.911121362812062,0.912732493681954,1,0.8560869938676,0.938555909736947,0.970348199975792,0.955107776441578,0.958347985105919,0.970800151983631,0.955169972022552,0.950456424580003
"S7545",0.815426695428303,0.814573557743943,0.815442483282914,0.882242087142902,0.826147662412671,0.847482338276928,0.832498704037266,0.839842471657607,0.844753924877436,0.84545561873227,0.8560869938676,1,0.835114011352249,0.918472800761061,0.842764135819561,0.891374555699837,0.877214708435935,0.860344023290974,0.857315714479242
"S7547",0.966901968631664,0.979420259471066,0.979751916358396,0.978647709272776,0.975708282565786,0.938137629729758,0.98854900612806,0.989362640641339,0.990750346086893,0.989824687589379,0.938555909736947,0.835114011352249,1,0.934203198419006,0.995283765389722,0.987582236720225,0.985526623082723,0.96910355737863,0.962005773351032
"S7548",0.895256389980935,0.908945538438382,0.909442036154936,0.972504503156716,0.92344299931193,0.967554708268993,0.925017642553596,0.929107777671253,0.933579849973505,0.935229188442441,0.970348199975792,0.918472800761061,0.934203198419006,1,0.942991348536271,0.974450959582059,0.958969541076966,0.946930698698483,0.943352204416241
"S7552",0.95417797051422,0.960796026937352,0.961304306421917,0.978105914085063,0.957080062007257,0.943530204211416,0.975679414389559,0.977544542244344,0.980532922197145,0.979846717207545,0.955107776441578,0.842764135819561,0.995283765389722,0.942991348536271,1,0.987438186880032,0.990885126567495,0.977129138680012,0.975453580673446
"S7568",0.961390776232782,0.972735547445036,0.973108034012286,0.993568478989103,0.96829957637586,0.95859995407734,0.983427719712047,0.985511673436991,0.987581193399649,0.9876958402528,0.958347985105919,0.891374555699837,0.987582236720225,0.974450959582059,0.987438186880032,1,0.987205695691216,0.977981783115056,0.973852285538862
"S7592",0.936868068585419,0.947720312212695,0.948359864357021,0.975359217450548,0.964036224327588,0.961014181486865,0.961873917079059,0.964279181395596,0.967761390424296,0.967381688314721,0.970800151983631,0.877214708435935,0.985526623082723,0.958969541076966,0.990885126567495,0.987205695691216,1,0.964708065075537,0.965605875792089
"S7626",0.960546322122056,0.93812175348999,0.938416026828356,0.96670283841027,0.914864603572023,0.934042811184422,0.95416994152641,0.95882603102369,0.964595226269797,0.966058592470559,0.955169972022552,0.860344023290974,0.96910355737863,0.946930698698483,0.977129138680012,0.977981783115056,0.964708065075537,1,0.993268866493725
"S7633",0.958360582584323,0.92980630398947,0.930134304339208,0.964553337776675,0.90169637560088,0.928424001206071,0.947407115133514,0.952385435316179,0.958010159260135,0.958941811188924,0.950456424580003,0.857315714479242,0.962005773351032,0.943352204416241,0.975453580673446,0.973852285538862,0.965605875792089,0.993268866493725,1
