"","S10089","S10329","S10459","S8637","S8762","S8891","S9167","S9315","S9449","S9583","S9721","S9965"
"S10089",1,0.997832524563697,0.995110318032317,0.983509627479125,0.993083749269324,0.987960535848035,0.975417090059478,0.967524012938565,0.949199325168397,0.98542975247894,0.999288886034914,0.999716933206811
"S10329",0.997832524563697,1,0.99872796618452,0.977488632983658,0.997164804993504,0.995240804496229,0.98592421162125,0.978777198975323,0.964424656624393,0.979110403186633,0.996599466664251,0.998257746136446
"S10459",0.995110318032317,0.99872796618452,1,0.971834854965667,0.999209878031855,0.997792832596458,0.990604704239007,0.983484392266644,0.970661189340457,0.974418871568378,0.993169421667963,0.995589527347007
"S8637",0.983509627479125,0.977488632983658,0.971834854965667,1,0.969330963113667,0.960622282930261,0.951780094048201,0.952439031756815,0.934262802196059,0.998452885007173,0.988291031138889,0.984885395974491
"S8762",0.993083749269324,0.997164804993504,0.999209878031855,0.969330963113667,1,0.998181000040142,0.992874136346059,0.986516204526368,0.974874402409115,0.972773690833308,0.99102403899802,0.993600540946368
"S8891",0.987960535848035,0.995240804496229,0.997792832596458,0.960622282930261,0.998181000040142,1,0.99591861067367,0.989750254335056,0.980981371437546,0.963494864650564,0.985404863429769,0.98885034831495
"S9167",0.975417090059478,0.98592421162125,0.990604704239007,0.951780094048201,0.992874136346059,0.99591861067367,1,0.997972782519064,0.993362341675754,0.955089456172682,0.973541688093413,0.977184712332067
"S9315",0.967524012938565,0.978777198975323,0.983484392266644,0.952439031756815,0.986516204526368,0.989750254335056,0.997972782519064,1,0.99690157822795,0.955683280487153,0.967530116807829,0.970038226060389
"S9449",0.949199325168397,0.964424656624393,0.970661189340457,0.934262802196059,0.974874402409115,0.980981371437546,0.993362341675754,0.99690157822795,1,0.936114485548265,0.948524013891432,0.952717349143747
"S9583",0.98542975247894,0.979110403186633,0.974418871568378,0.998452885007173,0.972773690833308,0.963494864650564,0.955089456172682,0.955683280487153,0.936114485548265,1,0.990291580827427,0.98677549502995
"S9721",0.999288886034914,0.996599466664251,0.993169421667963,0.988291031138889,0.99102403899802,0.985404863429769,0.973541688093413,0.967530116807829,0.948524013891432,0.990291580827427,1,0.999337061518047
"S9965",0.999716933206811,0.998257746136446,0.995589527347007,0.984885395974491,0.993600540946368,0.98885034831495,0.977184712332067,0.970038226060389,0.952717349143747,0.98677549502995,0.999337061518047,1
