"","S10015","S10038","S11887","S11924","S11928","S12211","S12290","S12298","S12306","S12317"
"S10015",1,0.999802939264815,0.999760526312345,0.999868792245104,0.999768115467122,0.999892876982585,0.999868792245104,0.999964528403848,0.999964528403848,0.999868792245104
"S10038",0.999802939264815,1,0.999910742512947,0.999701998089822,0.999943755772284,0.999742418864633,0.999701998089822,0.999837018376059,0.999837018376059,0.999701998089822
"S11887",0.999760526312345,0.999910742512947,1,0.999512413883214,0.999947671395641,0.999560281909641,0.999512413883214,0.999744392783415,0.999744392783415,0.999512413883214
"S11924",0.999868792245104,0.999701998089822,0.999512413883214,1,0.99959085758301,0.999924416531397,1,0.999895549933713,0.999895549933713,1
"S11928",0.999768115467122,0.999943755772284,0.999947671395641,0.99959085758301,1,0.9996836770509,0.99959085758301,0.99980660285289,0.99980660285289,0.99959085758301
"S12211",0.999892876982585,0.999742418864633,0.999560281909641,0.999924416531397,0.9996836770509,1,0.999924416531397,0.999957948984178,0.999957948984178,0.999924416531397
"S12290",0.999868792245104,0.999701998089822,0.999512413883214,1,0.99959085758301,0.999924416531397,1,0.999895549933713,0.999895549933713,1
"S12298",0.999964528403848,0.999837018376059,0.999744392783415,0.999895549933713,0.99980660285289,0.999957948984178,0.999895549933713,1,1,0.999895549933713
"S12306",0.999964528403848,0.999837018376059,0.999744392783415,0.999895549933713,0.99980660285289,0.999957948984178,0.999895549933713,1,1,0.999895549933713
"S12317",0.999868792245104,0.999701998089822,0.999512413883214,1,0.99959085758301,0.999924416531397,1,0.999895549933713,0.999895549933713,1
