"","S26","S3870","S3901","S3957","S3966","S3972","S42","S5","S6","S62","S63","S7","S8"
"S26",1,0.964395181881858,0.977252931683582,0.991468492199635,0.998136228480364,0.996959239446859,0.999120593270577,0.997702430296686,0.998239565892015,0.999833110398743,0.9976137308534,0.998239565892015,0.998233284610053
"S3870",0.964395181881858,1,0.997236073482389,0.989215475868555,0.973147212553405,0.980968662458939,0.962857393862314,0.957235247244666,0.957626471460952,0.965204981610699,0.955899429108745,0.957626471460952,0.969766647321897
"S3901",0.977252931683582,0.997236073482389,1,0.996033941608054,0.983422205191143,0.989827385689252,0.975752784418929,0.971637631701182,0.971770829979151,0.977993096955179,0.968542950721974,0.971770829979151,0.982372417756329
"S3957",0.991468492199635,0.989215475868555,0.996033941608054,1,0.994077296959307,0.998138130130357,0.989640426907273,0.986533990132435,0.986994150125797,0.991655444496056,0.984432291557235,0.986994150125797,0.993212849669968
"S3966",0.998136228480364,0.973147212553405,0.983422205191143,0.994077296959307,1,0.998427544864269,0.9973763889656,0.994837198657849,0.995417446952005,0.998148455940438,0.997160911078354,0.995417446952005,0.997514793665899
"S3972",0.996959239446859,0.980968662458939,0.989827385689252,0.998138130130357,0.998427544864269,1,0.99574113473848,0.993405338311379,0.993819381593009,0.996990028084802,0.992944143320154,0.993819381593009,0.997333598994274
"S42",0.999120593270577,0.962857393862314,0.975752784418929,0.989640426907273,0.9973763889656,0.99574113473848,1,0.999292066203565,0.999600414106224,0.999554068542113,0.997209377901764,0.999600414106224,0.99883778466726
"S5",0.997702430296686,0.957235247244666,0.971637631701182,0.986533990132435,0.994837198657849,0.993405338311379,0.999292066203565,1,0.999821019721372,0.998420456808047,0.995250202945261,0.999821019721372,0.998301202967658
"S6",0.998239565892015,0.957626471460952,0.971770829979151,0.986994150125797,0.995417446952005,0.993819381593009,0.999600414106224,0.999821019721372,1,0.998883980591823,0.995948061313796,1,0.998071505852413
"S62",0.999833110398743,0.965204981610699,0.977993096955179,0.991655444496056,0.998148455940438,0.996990028084802,0.999554068542113,0.998420456808047,0.998883980591823,1,0.997243641683901,0.998883980591823,0.99872248409299
"S63",0.9976137308534,0.955899429108745,0.968542950721974,0.984432291557235,0.997160911078354,0.992944143320154,0.997209377901764,0.995250202945261,0.995948061313796,0.997243641683901,1,0.995948061313796,0.994782830011184
"S7",0.998239565892015,0.957626471460952,0.971770829979151,0.986994150125797,0.995417446952005,0.993819381593009,0.999600414106224,0.999821019721372,1,0.998883980591823,0.995948061313796,1,0.998071505852413
"S8",0.998233284610053,0.969766647321897,0.982372417756329,0.993212849669968,0.997514793665899,0.997333598994274,0.99883778466726,0.998301202967658,0.998071505852413,0.99872248409299,0.994782830011184,0.998071505852413,1
