"","S2805","S2867","S2896","S2966","S2976","S3039","S3090","S3103","S3109","S3115","S3149","S3151","S3154","S3165","S3176","S3191","S3217","S3224","S3253","S3269","S3271","S3282","S3338","S3346","S3410"
"S2805",1,0.999918034631254,0.998801717838951,0.998982262198106,0.999815416007828,0.998280126478805,0.999874369174366,0.998170086013698,0.998170086013698,0.998170086013698,0.999599223543265,0.999505884181395,0.999599223543265,0.999387047265878,0.999316126609012,0.999316126609012,0.997514766645387,0.999128571398701,0.997514766645387,0.999054076820227,0.998555886929306,0.999085720218635,0.998759358115006,0.998463010992239,0.997941224790135
"S2867",0.999918034631254,1,0.998858149882648,0.998897872447968,0.999750469015738,0.99833344310795,0.999761035999362,0.998202047923524,0.998202047923524,0.998202047923524,0.999588360483293,0.99945207953011,0.999588360483293,0.999333382085927,0.999262160441815,0.999262160441815,0.997630990574194,0.999039939858086,0.997630990574194,0.999038651488272,0.998638117519825,0.999031154990777,0.998688435358741,0.998444734964372,0.997930472143613
"S2896",0.998801717838951,0.998858149882648,1,0.999850460396037,0.99847782931063,0.999866886168055,0.998943882285599,0.999736100199611,0.999736100199611,0.999736100199611,0.999223716813211,0.998896254670106,0.999223716813211,0.999018234988005,0.998974919946131,0.998974919946131,0.999396370471589,0.998803191648167,0.999396370471589,0.999226319573654,0.999434581460836,0.999136637745697,0.999145178711693,0.999001447522219,0.998711110995131
"S2966",0.998982262198106,0.998897872447968,0.999850460396037,1,0.998615836972478,0.999761648539194,0.999132689081222,0.999663307485967,0.999663307485967,0.999663307485967,0.99931759479885,0.999112467867725,0.99931759479885,0.99911877716892,0.999071497675745,0.999071497675745,0.999293866407707,0.999088507841031,0.999293866407707,0.99931068396938,0.999363550213316,0.999278688528537,0.999208247154076,0.999099899408291,0.998736418487117
"S2976",0.999815416007828,0.999750469015738,0.99847782931063,0.998615836972478,1,0.997886079880075,0.99976226467142,0.998024751230027,0.998024751230027,0.998024751230027,0.999697224392209,0.999660656287727,0.999697224392209,0.999619017019674,0.999539995320059,0.999539995320059,0.997310824620272,0.999290326114378,0.997310824620272,0.999147285486267,0.998662725945946,0.999301174652627,0.998908262083887,0.998688426039279,0.998303271197142
"S3039",0.998280126478805,0.99833344310795,0.999866886168055,0.999761648539194,0.997886079880075,1,0.998529078769697,0.999796420578259,0.999796420578259,0.999796420578259,0.998915370708809,0.998664351354084,0.998915370708809,0.998754544151315,0.998733640543874,0.998733640543874,0.999539253604011,0.998698172918912,0.999539253604011,0.999108826128005,0.999362542633822,0.998914957685859,0.999065044451341,0.998947387045229,0.998657044086513
"S3090",0.999874369174366,0.999761035999362,0.998943882285599,0.999132689081222,0.99976226467142,0.998529078769697,1,0.998588731827737,0.998588731827737,0.998588731827737,0.999783376469707,0.999761999629575,0.999783376469707,0.999658936709788,0.999681537333158,0.999681537333158,0.998059373215937,0.999553380245968,0.998059373215937,0.99950145350873,0.99902869268629,0.999503845817132,0.999329484487626,0.999077737987936,0.998658246354698
"S3103",0.998170086013698,0.998202047923524,0.999736100199611,0.999663307485967,0.998024751230027,0.999796420578259,0.998588731827737,1,1,1,0.999166378132246,0.998905201759703,0.999166378132246,0.999001273487113,0.99902527693422,0.99902527693422,0.99986571714102,0.999014313471178,0.99986571714102,0.999474850405527,0.999713637757392,0.99935895808269,0.999468929102477,0.999478955643971,0.999318892553243
"S3109",0.998170086013698,0.998202047923524,0.999736100199611,0.999663307485967,0.998024751230027,0.999796420578259,0.998588731827737,1,1,1,0.999166378132246,0.998905201759703,0.999166378132246,0.999001273487113,0.99902527693422,0.99902527693422,0.99986571714102,0.999014313471178,0.99986571714102,0.999474850405527,0.999713637757392,0.99935895808269,0.999468929102477,0.999478955643971,0.999318892553243
"S3115",0.998170086013698,0.998202047923524,0.999736100199611,0.999663307485967,0.998024751230027,0.999796420578259,0.998588731827737,1,1,1,0.999166378132246,0.998905201759703,0.999166378132246,0.999001273487113,0.99902527693422,0.99902527693422,0.99986571714102,0.999014313471178,0.99986571714102,0.999474850405527,0.999713637757392,0.99935895808269,0.999468929102477,0.999478955643971,0.999318892553243
"S3149",0.999599223543265,0.999588360483293,0.999223716813211,0.99931759479885,0.999697224392209,0.998915370708809,0.999783376469707,0.999166378132246,0.999166378132246,0.999166378132246,1,0.999907530174607,1,0.999873752622429,0.999861367637124,0.999861367637124,0.998759339329619,0.999766914530586,0.998759339329619,0.999810230562525,0.999525810806011,0.999847628430315,0.999637774747017,0.999544669857708,0.999228680641488
"S3151",0.999505884181395,0.99945207953011,0.998896254670106,0.999112467867725,0.999660656287727,0.998664351354084,0.999761999629575,0.998905201759703,0.998905201759703,0.998905201759703,0.999907530174607,1,0.999907530174607,0.99989826944012,0.999916669364023,0.999916669364023,0.998432595015234,0.999901172826725,0.998432595015234,0.999797305198175,0.999436401317121,0.999820366871417,0.999663027035501,0.999572286938501,0.999280181156166
"S3154",0.999599223543265,0.999588360483293,0.999223716813211,0.99931759479885,0.999697224392209,0.998915370708809,0.999783376469707,0.999166378132246,0.999166378132246,0.999166378132246,1,0.999907530174607,1,0.999873752622429,0.999861367637124,0.999861367637124,0.998759339329619,0.999766914530586,0.998759339329619,0.999810230562525,0.999525810806011,0.999847628430315,0.999637774747017,0.999544669857708,0.999228680641488
"S3165",0.999387047265878,0.999333382085927,0.999018234988005,0.99911877716892,0.999619017019674,0.998754544151315,0.999658936709788,0.999001273487113,0.999001273487113,0.999001273487113,0.999873752622429,0.99989826944012,0.999873752622429,1,0.999962660353,0.999962660353,0.998489918216527,0.999812233048314,0.998489918216527,0.999711018283857,0.999396305567775,0.999828453225909,0.99966859539536,0.999566560383133,0.999293338019875
"S3176",0.999316126609012,0.999262160441815,0.998974919946131,0.999071497675745,0.999539995320059,0.998733640543874,0.999681537333158,0.99902527693422,0.99902527693422,0.99902527693422,0.999861367637124,0.999916669364023,0.999861367637124,0.999962660353,1,1,0.998578196879291,0.999888123758216,0.998578196879291,0.999818085431925,0.999515905805022,0.999885819290242,0.999800022149346,0.999693857180855,0.99945951531278
"S3191",0.999316126609012,0.999262160441815,0.998974919946131,0.999071497675745,0.999539995320059,0.998733640543874,0.999681537333158,0.99902527693422,0.99902527693422,0.99902527693422,0.999861367637124,0.999916669364023,0.999861367637124,0.999962660353,1,1,0.998578196879291,0.999888123758216,0.998578196879291,0.999818085431925,0.999515905805022,0.999885819290242,0.999800022149346,0.999693857180855,0.99945951531278
"S3217",0.997514766645387,0.997630990574194,0.999396370471589,0.999293866407707,0.997310824620272,0.999539253604011,0.998059373215937,0.99986571714102,0.99986571714102,0.99986571714102,0.998759339329619,0.998432595015234,0.998759339329619,0.998489918216527,0.998578196879291,0.998578196879291,1,0.99867391648398,1,0.99921976711437,0.999509326296015,0.999053857652281,0.99919312213093,0.999303265392761,0.999132136936111
"S3224",0.999128571398701,0.999039939858086,0.998803191648167,0.999088507841031,0.999290326114378,0.998698172918912,0.999553380245968,0.999014313471178,0.999014313471178,0.999014313471178,0.999766914530586,0.999901172826725,0.999766914530586,0.999812233048314,0.999888123758216,0.999888123758216,0.99867391648398,1,0.99867391648398,0.999824987469974,0.999488819130596,0.999875203487084,0.999771001529084,0.999740078138135,0.999456196996963
"S3253",0.997514766645387,0.997630990574194,0.999396370471589,0.999293866407707,0.997310824620272,0.999539253604011,0.998059373215937,0.99986571714102,0.99986571714102,0.99986571714102,0.998759339329619,0.998432595015234,0.998759339329619,0.998489918216527,0.998578196879291,0.998578196879291,1,0.99867391648398,1,0.99921976711437,0.999509326296015,0.999053857652281,0.99919312213093,0.999303265392761,0.999132136936111
"S3269",0.999054076820227,0.999038651488272,0.999226319573654,0.99931068396938,0.999147285486267,0.999108826128005,0.99950145350873,0.999474850405527,0.999474850405527,0.999474850405527,0.999810230562525,0.999797305198175,0.999810230562525,0.999711018283857,0.999818085431925,0.999818085431925,0.99921976711437,0.999824987469974,0.99921976711437,1,0.999851354867939,0.999909215286063,0.999938117955385,0.999894899458062,0.999724628546816
"S3271",0.998555886929306,0.998638117519825,0.999434581460836,0.999363550213316,0.998662725945946,0.999362542633822,0.99902869268629,0.999713637757392,0.999713637757392,0.999713637757392,0.999525810806011,0.999436401317121,0.999525810806011,0.999396305567775,0.999515905805022,0.999515905805022,0.999509326296015,0.999488819130596,0.999509326296015,0.999851354867939,1,0.999731674171182,0.999825278088772,0.999836755656818,0.999782042128117
"S3282",0.999085720218635,0.999031154990777,0.999136637745697,0.999278688528537,0.999301174652627,0.998914957685859,0.999503845817132,0.99935895808269,0.99935895808269,0.99935895808269,0.999847628430315,0.999820366871417,0.999847628430315,0.999828453225909,0.999885819290242,0.999885819290242,0.999053857652281,0.999875203487084,0.999053857652281,0.999909215286063,0.999731674171182,1,0.999874821945471,0.999876674929943,0.99968395997614
"S3338",0.998759358115006,0.998688435358741,0.999145178711693,0.999208247154076,0.998908262083887,0.999065044451341,0.999329484487626,0.999468929102477,0.999468929102477,0.999468929102477,0.999637774747017,0.999663027035501,0.999637774747017,0.99966859539536,0.999800022149346,0.999800022149346,0.99919312213093,0.999771001529084,0.99919312213093,0.999938117955385,0.999825278088772,0.999874821945471,1,0.99993943322638,0.999838330337685
"S3346",0.998463010992239,0.998444734964372,0.999001447522219,0.999099899408291,0.998688426039279,0.998947387045229,0.999077737987936,0.999478955643971,0.999478955643971,0.999478955643971,0.999544669857708,0.999572286938501,0.999544669857708,0.999566560383133,0.999693857180855,0.999693857180855,0.999303265392761,0.999740078138135,0.999303265392761,0.999894899458062,0.999836755656818,0.999876674929943,0.99993943322638,1,0.999922716574277
"S3410",0.997941224790135,0.997930472143613,0.998711110995131,0.998736418487117,0.998303271197142,0.998657044086513,0.998658246354698,0.999318892553243,0.999318892553243,0.999318892553243,0.999228680641488,0.999280181156166,0.999228680641488,0.999293338019875,0.99945951531278,0.99945951531278,0.999132136936111,0.999456196996963,0.999132136936111,0.999724628546816,0.999782042128117,0.99968395997614,0.999838330337685,0.999922716574277,1
