"","S6785","S6791","S6793","S6795","S6796","S6797","S6798","S6806","S6816","S6821","S6835","S6836","S6861","S6862","S6866","S6867","S6872","S6931","S6955","S7041","S7054"
"S6785",1,0.0299191754187775,0.272821920429567,0.154836406339621,0.327050488508765,0.0928921051267317,0.187297084680086,-0.010089019457213,NA,-0.00239002557891821,0.0212369463970843,-0.337729392589075,0.15020602685835,-0.22654388502821,0.417143263915879,0.0681858905522341,-0.203238789134151,-0.420248896361732,-0.27383784194857,-0.0828612702264007,-0.20107299775591
"S6791",0.0299191754187775,1,0.560206300797211,-0.0251816962301271,-0.0815906469510264,-0.185686671166266,0.236458292417324,-0.195968571480677,NA,-0.133581239011889,-0.355119452643719,-0.395292943579346,0.427913276530962,0.237010993155737,-0.41616367514169,-0.163324295230855,-0.16766436632948,-0.22714424916649,-0.380196168025813,-0.027049443643463,0.0499949385915994
"S6793",0.272821920429567,0.560206300797211,1,-0.1045307301103,0.195936677616888,0.100722175435493,-0.16350087682745,0.0545200260438363,NA,0.559421445510705,0.00366789960641086,-0.542045513917129,-0.250113577797874,0.231852192188731,0.284778822369354,0.594798531827847,0.124934508384678,-0.176145070156253,0.0566563518275787,-0.162004363209896,-0.177099544496078
"S6795",0.154836406339621,-0.0251816962301271,-0.1045307301103,1,-0.23343363704002,0.0921774000119857,-0.111111111111111,0.0629978464190549,NA,-0.378889604643848,0.134129086939496,-0.0640853770933464,-0.174179983032008,0.225041786635058,0.108336012765492,0.0962208664661329,0.248942902933854,0.270609457310235,-0.435440809284208,0.569913171417141,0.11249404311599
"S6796",0.327050488508765,-0.0815906469510264,0.195936677616888,-0.23343363704002,1,0.546503840976492,0.361097430832472,0.336669100233241,NA,0.501787673963831,0.71346985198147,0.41591083414165,0.125743639220096,0.249487767615632,0.664433002185917,0.378447738178812,0.150843384705095,0.0119925938402205,0.168986869287721,-0.377628466516929,-0.213028674942111
"S6797",0.0928921051267317,-0.185686671166266,0.100722175435493,0.0921774000119857,0.546503840976492,1,-0.302603789053915,-0.2360287966141,NA,0.302741237722488,0.843982603315495,0.403895696848909,0.0801562912926254,0.744764388359833,0.710651794396959,0.371516475909451,0.385255622550994,0.72260657988756,0.542969785846924,0.448774847099732,-0.194728960690371
"S6798",0.187297084680086,0.236458292417324,-0.16350087682745,-0.111111111111111,0.361097430832472,-0.302603789053915,1,0.141078204918431,NA,-0.145954603139407,0.0217803720051805,0.133087397096314,0.599249352780562,-0.422517976531458,-0.258964762989588,-0.331246395221054,-0.677624571234197,-0.422323397273574,-0.678182745103502,-0.467591311383258,0.11037101531241
"S6806",-0.010089019457213,-0.195968571480677,0.0545200260438363,0.0629978464190549,0.336669100233241,-0.2360287966141,0.141078204918431,1,NA,0.433901887346394,0.0884421495208384,0.382924010879245,-0.509571260612056,-0.0434996483702204,0.180849929048266,0.457237996730559,0.400734378886154,-0.281377584710407,-0.209104058622321,-0.680869771426124,-0.113258409836543
"S6816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6821",-0.00239002557891821,-0.133581239011889,0.559421445510705,-0.378889604643848,0.501787673963831,0.302741237722488,-0.145954603139407,0.433901887346394,NA,1,0.388749854817669,0.144921473757646,-0.42364277949816,0.178299154407397,0.605983570339944,0.707611194173469,0.213211356477082,-0.0142428414497801,0.40626913091282,-0.496086125825177,-0.00453255149961026
